"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","information regarding for control of yellow ust in wheat ?","spray of tilt @ 200 ml in 200 litre of water/acre.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-01 07:15:21.073"
"RABI","AGRICULTURE","Others","Others","Weather","weather of reewari ?","today atmosphere of clean.","HARYANA","REWARI","JATUSANA                                          ","2014-12-01 07:20:09.107"
"RABI","AGRICULTURE","Cereals","Wheat","Bio-Pesticides and Bio-Fertilizers","information regarding HAU Helpline No.?","information regarding HAU Helpline No.?
H.A.U. Helpline no.  1800-180-3001contect :-Monday ,Wednesday,and Friday (10  am to 12 am)","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-01 07:21:24.147"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","how to control slow groth and yelow leaf in sarson crops?","how to control slow groth and yelow leaf in sarson crops?
control are:-spray-2.5 kg urea+500 gram zink 16% in 200 liter water per acer.","HARYANA","REWARI","BAWAL                                             ","2014-12-01 07:29:40.730"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding late varieties of wheat?","raj 3765,h.d 2851 , u.p.-2338, pbw-373 ,pbw 660, pbw 550 .","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-01 07:31:29.980"
"RABI","HORTICULTURE","Fruits","Sapota","Fertilizer Use and Availability","information reagrding for fertilizer dose in sapota during8-10 year ?","give 500 gm potash ,500 gm single super phosphater,300 gm urea,10 kg f.y.m./plant","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-01 07:32:05.207"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding late varieties of wheat?","raj 3765,h.d 2851 , u.p.-2338, pbw-373 ,pbw 660, pbw 550 .","HARYANA","REWARI","REWARI                                            ","2014-12-01 07:51:13.087"
"RABI","HORTICULTURE","Vegetables","Tomato","Cultural Practices","information regarding sowing time of tomato nursery?","For winter season June-July and for spring season November-December.","HARYANA","REWARI","REWARI                                            ","2014-12-01 08:13:11.410"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","Information regarding sowing time of tomato nursery?","For winter season June-July and for spring season November-December.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-01 08:35:20.743"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Water Management	","INFORMATION   REGARDING First    IRRIGATION    OF  pea   CROP ?","First    IRRIGATION  35 days   OF PEA   CROP","HARYANA","REWARI","BAWAL                                             ","2014-12-01 08:50:54.657"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","IMPROVED extra growth in in wheat crop?
spray 2.5 kg urea ,500 gm zink in 100 liter water pre acre .","IMPROVED extra growth in in wheat crop?
spray 2.5 kg urea ,500 gm zink in 100 liter water pre acre .","HARYANA","REWARI","REWARI                                            ","2014-12-01 09:34:32.497"
"RABI","AGRICULTURE","Cereals","Wheat","Bio-Pesticides and Bio-Fertilizers","HOW TO  WEEDS CONTROL IN WHEAT CROP ?","HOW TO  WEEDS CONTROL IN WHEAT CROP ?
SPRAY 16 Gm ,TOTAL,IN  250 LITRE   WATER /ACRE  30-35 DAYS AFTER SOWING TIMe .","HARYANA","REWARI","BAWAL                                             ","2014-12-01 10:09:08.970"
"RABI","AGRICULTURE","Cereals","Wheat","	Water Management	","information regarding first irrigation in wheat ?","22 - 25 days after sowing.","HARYANA","REWARI","NAHAR                                             ","2014-12-01 10:25:57.690"
"RABI","AGRICULTURE","Cereals","Wheat","Bio-Pesticides and Bio-Fertilizers","how to control weeds of wheat crop ?","spray 160 gram topik in 200 liter water pera acre .","HARYANA","REWARI","REWARI                                            ","2014-12-01 11:26:48.033"
"RABI","AGRICULTURE","Others","Others","Weather","weather of rewari ?","weather of rewari ? no chance rain fall in today.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-01 12:19:53.637"
"RABI","AGRICULTURE","Oilseeds","Mustard","Bio-Pesticides and Bio-Fertilizers","information regarding weeds control in musterd crop ?","information regarding weeds control in musterd crop ? 
information regarding weeds control in musterd crop ? spray 25 ml glyboset or glysofate (rounup)in 125- 150 litre water / acre .","HARYANA","REWARI","BAWAL                                             ","2014-12-01 13:00:19.123"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","How to control fungal disease in mustard ?","Spray of dithen m-45 @ 600 gm in 200 liter water/acre .","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-01 15:36:33.053"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","How to control Early Blight in Brinjal?","Spray 400 gm.Indofil, M-45 in 200 lt. of water per acre.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-01 16:00:41.453"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","Information regarding to improved yellowness in wheat crop ?","Information regarding to improved yellowness in wheat crop ?
spray ferous sulphate @ 500 gm in 100 litre of water/acre.","HARYANA","REWARI","REWARI                                            ","2014-12-01 16:04:05.990"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather of rewari.?","weather of rewari.? no chance of rainfall today.?","HARYANA","REWARI","NAHAR                                             ","2014-12-01 18:56:53.813"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","Animal Husbandry Toll Free No.?","Animal Husbandry Toll Free No-1800-180-1184","HARYANA","REWARI","NAHAR                                             ","2014-12-01 19:10:11.240"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","information regarding first irrigation in wheat ?","22 - 25 days after sowing.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-02 06:07:55.690"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","Information regarding weather in rewari?","today some clouds, some no chances of rainfall.","HARYANA","REWARI","NAHAR                                             ","2014-12-02 07:18:47.890"
"RABI","HORTICULTURE","Condiments and Spices","Methi (Fenugreek)","	Plant Protection	","control of termite?","broadcast forate @ 5 kg / acre.","HARYANA","REWARI","NAHAR                                             ","2014-12-02 07:52:45.393"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding how to control Phalaris Minor weeds in wheat?","spray 160gm topik@200 lt water per acre,","HARYANA","REWARI","BAWAL                                             ","2014-12-02 08:13:17.453"
"RABI","HORTICULTURE","Condiments and Spices","Fenugreek","Seeds and Planting Material","varieties of fenugreek ?","hisar mukta, hisar sonali, kasuri, pusa early banching.","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-02 08:21:19.037"
"RABI","AGRICULTURE","Others","Others","Weather","information regarding late varieties in wheat ?","HD-2851,pbw-373,raj-3765,wh-1021,up-2338","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-02 08:36:32.547"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in rewari ?","mostly clear , no chance of rain today .","HARYANA","REWARI","JATUSANA                                          ","2014-12-02 08:49:15.340"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in rewari?","today some clouds, no chances of rainfall.","HARYANA","REWARI","JATUSANA                                          ","2014-12-02 08:56:46.883"
"RABI","HORTICULTURE","Vegetables","Onion","Cultural Practices","improved varieties of onion crop ?","hisar-2,pusa red,hisar pyaj-3.","HARYANA","REWARI","NAHAR                                             ","2014-12-02 09:30:52.407"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","Information regarding How to control thirips in PEA ?","Spray of melathion @ 200 ml/200 liter water/acre  or ROGOR 350 ml/200 litre of water.","HARYANA","REWARI","REWARI                                            ","2014-12-02 09:54:37.747"
"RABI","AGRICULTURE","Oilseeds","Mustard","Weed Management","How many days farst irrigation applied in mustard crop?","30-35 days after sowing.","HARYANA","REWARI","REWARI                                            ","2014-12-02 11:22:12.743"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","How to control fungal diseases in mustard?","Spray 400 gm. Mencozeb in 200 lt. of water per acre.","HARYANA","REWARI","REWARI                                            ","2014-12-02 11:23:30.913"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","How to control Early Blight in pea?","Spray 400 gm. M-45 in 200 lt. of water per acre.","HARYANA","REWARI","JATUSANA                                          ","2014-12-02 13:12:49.910"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","HOW TO CONTROL FUNGAL DISEASE IN POTATO CROP ?","spray 400 gm indofil, m-45  or bavestin in 200 litre water /acre .","HARYANA","REWARI","NAHAR                                             ","2014-12-02 13:33:02.150"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","information regarding low grouth /yellow leaf of crop ?","information regarding low grouth /yellow leaf of crop ?
spray;- 1 kg n.p.k (19;19;19);in 100 lit water / acre.","HARYANA","REWARI","JATUSANA                                          ","2014-12-02 14:12:00.197"
"RABI","HORTICULTURE","Fruits","Lemon","	Plant Protection	","How to control flower and fruit dropping ?","spray 1 ml planofix in 4.5 ltr water.","HARYANA","REWARI","REWARI                                            ","2014-12-02 14:18:30.747"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","information regarding late verieties of wheat?","PBW-373, HD-2851, UP-2338, RAJ-3765, SONALIKA, WH-1021.wh-711,896,-pdw-233,-,542-, 912,","HARYANA","REWARI","KHOL AT REWARI                                    ","2014-12-02 14:36:14.340"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","How to improved growth in wheat crop?","Spray of NPK(19:19:19) @1 Kg in 100 Lt water/acre.","HARYANA","REWARI","REWARI                                            ","2014-12-02 14:38:16.380"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","information regarding low grouth /yellow leaf of crop ?","information regarding low grouth /yellow leaf of crop ?
spray;- 1 kg n.p.k (19;19;19);in 100 lit water / acre.","HARYANA","REWARI","BAWAL                                             ","2014-12-02 15:11:41.713"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","information regarding control of weed in wheat ?","spray of acord plus @ 500 ml in 200 liter water/acre .","HARYANA","REWARI","REWARI                                            ","2014-12-02 15:28:21.457"
