"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","	Water Management	","information regarding first irrigation in wheat ?","22 - 25 days after sowing.","HARYANA","ROHTAK","MAHAM                                             ","2014-12-01 07:51:28.397"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Information regarding HAU Helpline No.?","Information regarding HAU Helpline No.?
1800-180-3001 Monday, Wednesday & Friday 10 AM-12PM.","HARYANA","ROHTAK","ROHTAK                                            ","2014-12-01 07:56:01.277"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Information regarding HAU Helpline No.?","Information regarding HAU Helpline No.?
1800-180-3001 Monday, Wednesday & Friday 10 AM-12PM.","HARYANA","ROHTAK","ROHTAK                                            ","2014-12-01 07:58:02.933"
"RABI","AGRICULTURE","Fodder Crops","Barseem","Bio-Pesticides and Bio-Fertilizers","information regarding low grouth of crop ?","spray;- 1 kg n.p.k (19;19;19);in 100 lit water / acre.","HARYANA","ROHTAK","SAMPLA                                            ","2014-12-01 08:28:42.750"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","information regarding  fertilizer dose  of wheat crop ?","fertilizer dose in wheat crop :-130 kg urea, 50kg,dap ,40kg potas. 10kg zinc/acre.","HARYANA","ROHTAK","LAKHAN MAJRA                                      ","2014-12-01 09:04:11.037"
"RABI","HORTICULTURE","Vegetables","Potato","Bio-Pesticides and Bio-Fertilizers","How to control fungal desease in POTATO crop ?","Spray 600 gm. Mencozeb in 200 lt. of water per acre.","HARYANA","ROHTAK","MAHAM                                             ","2014-12-01 09:25:27.243"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","information regarding HAU Helpline No.?","H.A.U. Helpline no.  1800-180-3001contect :-Monday ,Wednesday,and Friday (10  am to 12 am)","HARYANA","ROHTAK","ROHTAK                                            ","2014-12-01 11:04:24.630"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","information regarding HAU Helpline No.?","H.A.U. Helpline no.  1800-180-3001contect :-Monday ,Wednesday,and Friday (10  am to 12 am)","HARYANA","ROHTAK","KALANAUR                                          ","2014-12-01 11:08:06.570"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","how to control fengel diesese in guava ?","spray 1 gm coprooxicloride @ per litre water.","HARYANA","ROHTAK","SAMPLA                                            ","2014-12-01 11:43:10.680"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","information regarding  how to control thirps in tomato crop ?","spray ;500 gm melathion or 500 ml  rogor in 200 liter water  / acre .","HARYANA","ROHTAK","ROHTAK                                            ","2014-12-01 11:50:16.223"
