"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","How to control thirips in mustard ?","How to control thirips in mustard ?
Spray of melathion @ 400 ml/200 liter water/acre  or ROGOR 350 ml/200 litre of water.","HARYANA","SIRSA","RANIA                                             ","2014-12-01 06:53:25.567"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","information regrading contact of above details ?","contact of above details -0172-2571542 .","HARYANA","SIRSA","DABWALI                                           ","2014-12-01 07:02:17.980"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","how to control of thrips in potato ?","spray of rogor 300 ml in 200 liter water per acre .","HARYANA","SIRSA","ELLENABAD                                         ","2014-12-01 07:27:38.833"
"RABI","HORTICULTURE","Vegetables","Tomato","Field Preparation","Information regarding sowing time of tomato nursery?","For winter season June-July and for spring season November-December.","HARYANA","SIRSA","DABWALI                                           ","2014-12-01 07:45:50.183"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding how to control termite pest in wheat?","Broadcast 1.5 lt. Chlorpyriphos mix in 20-25 kg. dry sand per acre than apply light irrigation.","HARYANA","SIRSA","SIRSA                                             ","2014-12-01 08:05:24.020"
"RABI","AGRICULTURE","Oilseeds","Indian rapeseed and mustard (yellow sarson)","	Plant Protection	","information regarding for control of leaf blight in sarson ?","spray of m-45 @ 400 gm in 150 litre of water/acre.","HARYANA","SIRSA","SIRSA                                             ","2014-12-01 08:10:47.070"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","information regarding control of mixed weed in wheat ?","spray 500ml accord plus in 200 Ltr of water /acre .","HARYANA","SIRSA","SIRSA                                             ","2014-12-01 08:27:39.530"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","information regarding control of weed in wheat ?","spray of acord plus @ 500 ml in 200 liter water/acre .","HARYANA","SIRSA","NATHUSARI CHOPTA                                  ","2014-12-01 09:30:46.993"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding late varieties of wheat?","HD-2851, DBW-550, HD-2894, RAJ-3765, UP-2338.","HARYANA","SIRSA","DABWALI                                           ","2014-12-01 09:52:30.457"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","information regarding fertilizer dose in wheat crop ?","50 Kg. DAP, 40 Kg. Potash, 10 Kg. Zinc and 20 Kg. Urea per acre at sowing time.","HARYANA","SIRSA","RANIA                                             ","2014-12-01 10:51:43.683"
