"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","VETERINARY HELPLINE NUMBER","VETERINARY HELPLINE NUMBER 
Please contact this no. vet. 1800 180 8006, 01894 230467","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-01 13:09:14.010"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in bilaspur ?","weather in Bilaspur are : Today No chance of rain .","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-01 14:57:20.590"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Agriculture Mechanization","Information regarding Sowing time of Lentil Crop ?","Sowing time of Lentil Crop are : End Week of October-Mid November.","HIMACHAL PRADESH","BILASPUR","GHUMARWIN                                         ","2014-11-01 16:37:19.783"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","How to weed control Of Wheat Crop ?","Spray ISOPROTURON @ 80 Gm + 2,4-D @ 40 Gm / 60 Liters of water / Bigha.","HIMACHAL PRADESH","BILASPUR","GHUMARWIN                                         ","2014-11-01 16:38:35.207"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Agriculture Mechanization","Information regarding Sowing Time of Gram ?","Sowing Time of Gram are : Mid October.","HIMACHAL PRADESH","BILASPUR","GHUMARWIN                                         ","2014-11-01 16:43:04.203"
"KHARIF","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","How much Dose fertilizer 12:32:16  in Wheat crop ?","Dose fertilizer 12:32:16  in Wheat crop are : 10 kg /Bhiga .","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-01 16:58:24.407"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Bilashpur Distt. ?","Weather Today in Bilashpur Distt. are : Mostaly Cloudy  No Chance of Rain.","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-01 21:27:44.710"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","How to weed control of Potato Crop ?","Spray ISOPROTURON @ 1.5 Gram / 1 Liter of water.","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-02 08:12:57.060"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Bilashpur Distt. ?","Weather Today in Bilashpur Distt. are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-02 09:40:31.953"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Field Preparation","how to control thrips in cauliflower ?","spray 1 ml melathion , 1 litre water .","HIMACHAL PRADESH","BILASPUR","GHUMARWIN                                         ","2014-11-02 15:45:47.203"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","Information regarding Sowing time of Wheat Crop ?","Sowing time of Wheat Crop are : Mid October-Mid November .","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-03 06:42:05.107"
"RABI","AGRICULTURE","Others","Others","Weather","How much subsides in Poly House ?","Subsides in Poly House are : 85 % Please Contect Nearest Block.","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-03 07:27:34.010"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Agriculture Mechanization","Information regarding Sowing Time of Pea Crop ?","Sowing Time of Pea Crop are : October-November .","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-03 07:38:28.063"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","Information regarding Improve Var. in wheat ?","Improve Var. in wheat are : H.P.W-236,147,155,211,349.","HIMACHAL PRADESH","BILASPUR","GEHRWIN                                           ","2014-11-03 10:47:24.777"
"RABI","AGRICULTURE","Others","Others","Weather","How much subsides in Poly House ?","Subsides in PolY House are : 85 % Please contect Nearset Agriculture Block.","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-03 11:56:22.800"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","how to control aphids in cauliflower ?","spray 1 ml rogor per litre of water.","HIMACHAL PRADESH","BILASPUR","BILASPUR SADAR                                    ","2014-11-03 13:00:11.630"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding Improve Var. in wheat ?","Improve Var. in wheat are : H.P.W-236,147,155,211,349.","HIMACHAL PRADESH","BILASPUR","GEHRWIN                                           ","2014-11-03 13:38:30.290"
