"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Apple","Field Preparation","Lichen in apple plants ?","Lichen in apple plants are spray caustic soda @ 2kg/200litre of water.","HIMACHAL PRADESH","CHAMBA","BHARMOUR","2014-12-01 09:59:59.380"
"RABI","HORTICULTURE","Vegetables","Onion","Field Preparation","HOW TO CONTROL FANGAL IN ONION ?","SPRAY 3 GM M45 , 1 LITRE WATER .","HIMACHAL PRADESH","CHAMBA","TISA","2014-12-01 10:58:33.590"
"RABI","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Breeding","the farmer asked give me contact no. vet.?","please contact this no. vet. 1800 180 8006.","HIMACHAL PRADESH","CHAMBA","CHAMBA                                            ","2014-12-01 18:22:32.810"
"RABI","AGRICULTURE","Others","Others","Weather","weather of chamba ?","today no chance of rain .","HIMACHAL PRADESH","CHAMBA","MEHLA                                             ","2014-12-02 10:48:18.303"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather in Chamba ?","Weather in Chamba are : Today No chance of rain .","HIMACHAL PRADESH","CHAMBA","BHATTIYAT                                         ","2014-12-02 11:36:48.740"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Field Preparation","how to control tela in pea ?","spray 1 ml melathion , 1 litre water .","HIMACHAL PRADESH","CHAMBA","BHATTIYAT                                         ","2014-12-02 12:16:53.150"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","Information regarding Give Vet. Helpline Phone No ?","Vet. Helpline Phone No are :1800-180-8006 .","HIMACHAL PRADESH","CHAMBA","BHATTIYAT                                         ","2014-12-02 14:29:21.050"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Chamba Distt. ?","Weather Today in Chamba Distt. are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","CHAMBA","TISA","2014-12-02 15:16:37.270"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Chamba Distt. ?","Weather Today in Chamba Distt. are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","CHAMBA","CHAMBA                                            ","2014-12-02 19:21:21.140"
"RABI","AGRICULTURE","Others","Others","Weather","weather of chamba ?","today no chance of rain .","HIMACHAL PRADESH","CHAMBA","CHAMBA                                            ","2014-12-03 09:12:20.337"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","How to control Damping Off Of onion ?","control Damping Off Of onion are : Drenching Ridomil @ 2.5 Gm /1 liter of water .","HIMACHAL PRADESH","CHAMBA","CHAMBA                                            ","2014-12-03 09:14:39.500"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF CHAMBA ?","TODAY NO CHANCE OF RAIN .","HIMACHAL PRADESH","CHAMBA","MEHLA                                             ","2014-12-03 12:26:59.843"
"RABI","AGRICULTURE","Others","Others","Weather","Varieties of pea ?","Varieties of pea is Kanuri, linkan, palam priya, solan nirog,arkal,bonbila.","HIMACHAL PRADESH","CHAMBA","MEHLA                                             ","2014-12-03 12:43:39.460"
"RABI","HORTICULTURE","Fruits","Apple","Fertilizer Use and Availability","How much  does of CAN ,SSP and MOP in 10 Year's Above Apple Plant ?","Does of CAN are : 2800 Gm  ,SSP are : 2200 Gm and MOP are : 1200 Gm in 10 Year's Above Apple Plant . First Halp Dose of CAN are Apply Feb.-March and Secound Does are Apply After Fruit Seting .","HIMACHAL PRADESH","CHAMBA","CHAMBA                                            ","2014-12-03 16:01:56.310"
