"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","Information regarding Sowing time of Potato Crop ?","Sowing time of Potato Crop are : Dec.-Jan.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-01 16:50:19.837"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Information regarding whare i give soil & Leaf sample ?","Please Contect Nearest Horticulture Block and kvk.","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-01 16:55:20.910"
"RABI","AGRICULTURE","Others","Others","Weather","Information reagrding Weather Today in Hamirpur Distt. ?","Weather Today in Hamirpur Distt. are Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","HAMIRPUR","TIRA SUJANPUR                                     ","2014-12-01 21:36:35.017"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","How much Pruning after Time Spray in Apple Plant ?","Pruning after Time Spray in Apple Plant are : copperOxichloride @ 600 gm /200 liter of water .","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-03 06:31:10.360"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Tell Me about Plantation time in Onion ?","Plantation time in Onion are : December-january .","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-03 08:46:50.867"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","How to control Damping Off Of onion ?","control Damping Off Of onion are : Drenching Ridomil @ 2.5 Gm /1 liter of water .","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-03 10:21:34.320"
"RABI","HORTICULTURE","Vegetables","Onion","Cultural Practices","How to Control termites in onion ?","Control termites in onion are drenching chlorpyriphos @ 3ml/litre of water.","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-03 18:06:21.083"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","How much Spray Dose urea fosphate in Onion Nursey  ?","Spray Dose urea fosphate in Onion Nursey  are : 1 gm /1 liter of water .","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-04 09:40:47.587"
"RABI","AGRICULTURE","Others","Others","Weather","weather of hamirpur ?","today no chance of rain .","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-04 11:14:12.257"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","how to control fungal disease in onion ?","spray 2.5 gram m-45 per litre of water","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-04 16:34:20.810"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","Information regarding Give Me Vet. Helpline Phone No ?","Vet. Helpline Phone No are :1800-180-8006 .","HIMACHAL PRADESH","HAMIRPUR","TIRA SUJANPUR                                     ","2014-12-04 20:29:21.843"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Farmer SMS Disconnect ?","Farmer SMS Disconnect are :Farmers can also register by sending anKISAAN USSD SMS  No on 51969 or 7738299899.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-05 09:28:30.433"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Nadaun ?","Weather Today in Nadaun are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-05 09:29:43.503"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","Gow much subsides in Poly House ?","Subsides in Poly House are : 85 % Please Contect Neraest Agriculture Block.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-05 10:25:42.357"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Sowing time fertilizer dose of potato","Sowing time fertilizer dose of potato 
UREA 21kg + 40 SSP + MOP 8kg/bigha.","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-06 17:21:14.713"
"RABI","AGRICULTURE","Others","Others","Weather","Information reagrding Weather Today in Hamirpur Distt. ?","Weather Today in Hamirpur Distt.are : Mostaly Cloudy No chance of Rain.","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-06 18:19:17.200"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","How much subsides in Poly House ?","Subsides in Poly House are : 85 % Please Contect Nearset Agriculture Block.","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-06 18:26:36.390"
"RABI","HORTICULTURE","Vegetables","Summer Squash (Vegetable Marrow)","Seeds and Planting Material","Tell me About Sowing Time in Suummer Squash ?","Sowing Time in Suummer Squash are : January.","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-06 19:59:19.700"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","Information reagrding Sowing Time of Potato Crop ?","Sowing Time of Potato Crop are : Mid December-Mid January.","HIMACHAL PRADESH","HAMIRPUR","BHORANJ                                           ","2014-12-06 20:00:18.030"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Hamirpur Distt. ?","Weather Today in Hamirpur Distt. are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-07 16:34:19.920"
"RABI","HORTICULTURE","Vegetables","Potato","Market Information","Information regarding market RAte in Potao ?","market RAte in Potao are : 1000-1100 Rs/Qt.","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-08 08:01:46.940"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information Regarding Weather in Hamirpur ?","Weather in Hamirpur are : Today no chance of rain .","HIMACHAL PRADESH","HAMIRPUR","BHORANJ                                           ","2014-12-08 10:02:59.930"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","How to weed control of Wheat Crop ?","Spray ISOPROTURON @ 80 Gm + 40 Gm 2,4-D / 60 Liters of Water / Bigha .After Sowing Time 30-35 Days.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-08 15:34:25.587"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Field Preparation","HOW TO CONTROL FANGAL IN PEA ?","SPRAY 3 GM M45 , 1 LITER WATER .","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-08 16:03:00.410"
"RABI","AGRICULTURE","Others","Others","Varieties","Information reagrding Weather Today in Hamirpur Distt. ?","Weather Today in Hamirpur Distt. are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-08 18:50:32.907"
"RABI","AGRICULTURE","Others","Others","Government Schemes","How Much Subsidies in poly house ?","Subsidies in poly house are : 85 % .","HIMACHAL PRADESH","HAMIRPUR","BHORANJ                                           ","2014-12-08 21:32:40.367"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Field Preparation	","How to Weed Control in sarso crop ?","Weed  Control in sarso crop are : NO Weedicide Use .","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-09 08:52:41.720"
"RABI","HORTICULTURE","Vegetables","Turnip (Saljam)","Agriculture Mechanization","Information regarding Sowing Time of Turnip ?","Sowing Time of Turnip are : November.","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-09 11:17:36.050"
"RABI","AGRICULTURE","Others","Others","Weather","Information reagarding Weather Today in Hamirpur Tehsil ?","Weather Today in Hamirpur Tehsil are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-09 13:01:28.777"
"RABI","HORTICULTURE","Vegetables","Tomato","Agriculture Mechanization","Information reagrding Sowing Time of Tomato Crop ?","Sowing Time of Tomato Crop are : Feb._march.","HIMACHAL PRADESH","HAMIRPUR","TIRA SUJANPUR                                     ","2014-12-09 14:26:28.910"
"RABI","AGRICULTURE","Others","Others","Weather","weather of hamirpur ?","tonight no chance of rain .","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-09 18:11:37.897"
"RABI","HORTICULTURE","Vegetables","Onion","Agriculture Mechanization","How much Distance Between Line-Line and Plant-Plant in Onion ?","Distance Between Line-Line are : 15 Cm  and Plant-Plant are : 5-7 Cm in Onion .","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-09 18:36:03.493"
"RABI","AGRICULTURE","Others","Others","Weather","Information reagrding Weather Today in Hamirpur Distt. ?","Weather Today in Hamirpur Distt.are : Mostaly Cloudy No chance of Rain.","HIMACHAL PRADESH","HAMIRPUR","BHORANJ                                           ","2014-12-09 19:54:45.700"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","WEED CONTROL IN WHEAT ?","SPRAY 80 GM ISOPROTORON , 60 LITRE WATER PER BIGHA .","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-10 11:26:19.020"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","how to Weed control in wheat ?","spray with ISOPROTURAN-80GM/60 liter of water +2 4,D-40GM/60 liter/bigha after 30-40 days of sowing time.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-10 11:45:16.810"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Market Information","information regarding market rate number ?","market rate number are :1800 180 2060","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-10 12:02:22.727"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","WEED CONTROL IN WHEAT ?","SPRAY 80 GM ISOPROTORON , 40 GM 2,4 D , 60 LITRE WATER PER BIGHA .","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-10 12:58:02.310"
"RABI","AGRICULTURE","Others","Others","Weather","Weather today of hamirpur ?","Weather today of hamirpur is cloudy and no chance of rainfall.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-10 13:20:51.057"
"RABI","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Reporting","Information regarding Give Me Vet. Helpline Phone No ?","Vet. Helpline Phone No are :1800-180-8006.","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-10 15:18:26.047"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","How To control Leaf Sport in Pea crop ?","control Leaf Sport in Pea crop are l Spray Bavistin @ 10 gm /10 liter of water .","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-11 07:40:28.957"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Hamirpur Distt. ?","Weather Today in Hamirpur Distt. are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-11 18:07:25.750"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","How to control Stem rot in Onion Nursery ?","control Stem rot in Onion Nursery are : spray  saaf @ 25 gm /10 liter of water","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-12 09:37:48.620"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF HAMIRPUR ?","TONIGHT CHANCE OF RAIN .","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-12 17:18:06.370"
"RABI","AGRICULTURE","Others","Others","Weather","Information reagrding Weather Today in Hamirpur Distt. ?","Weather Today in Hamirpur Distt. are : Mostaly Cloudy 5 % Chance of Rain","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-12 18:07:22.453"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report of hamirpur ?","Weather report of hamirpur is today cloudy and chance of rainfall.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-13 09:14:40.393"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER OF HAMIRPUR ?","TONIGHT CHANCE OF RAIN .","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-13 15:18:25.023"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","how to controle damping off in onion crops?","irrigation with DYTHEN M 45@25GM/10 LITER OF WATER+BEVISTIN @10gm/10 LITER OF WATER","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-13 18:51:11.703"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report of hamirpur ?","Weather report of hamirpur is today cloudy and chance of rainfall.","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-14 08:48:56.313"
"RABI","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Breeding","the farmer asked give me contact no. vet.?","please contact this no. vet. 1800 180 8006.","HIMACHAL PRADESH","HAMIRPUR","TIRA SUJANPUR                                     ","2014-12-14 10:15:22.430"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","information regarding for weed controle in wheat crops?","spray with ISOPROTURAN-80GM/60 liter of water +2 4,D-40GM/60 liter/bigha after 30-40 days of sowing time.","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-14 10:25:32.750"
"RABI","AGRICULTURE","Others","Others","Weather","weather of hamirpur ?","today chance of rain .","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-14 13:23:44.667"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","how to control weeds in field ?","spray 3 ml glyphosate per litre of water","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-14 18:47:14.950"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","Field Preparation","HOW TO CONTROL FANGAL IN GARLIC ?","SPRAY 3 GM M45 , 1 LITRE WATER .","HIMACHAL PRADESH","HAMIRPUR","BHORANJ                                           ","2014-12-15 06:50:10.240"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","HOW TO CONTROL FANGAL IN CAULIFLOWER ?","SPRAY 3 GM M45 , 1 LITRE WATER .","HIMACHAL PRADESH","HAMIRPUR","NADAUN                                            ","2014-12-15 08:36:20.777"
"RABI","HORTICULTURE","Vegetables","Tomato","Field Preparation","HOW TO CONTROL THRIPS IN TOMATO ?","SPRAY 1 ML CONFIDOR , 1 LITRE WATER .","HIMACHAL PRADESH","HAMIRPUR","BIJHRI                                            ","2014-12-15 12:41:44.303"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","information regarding spray dose of 19:19:19 in cauliflower ?","spray dose of 19:19:19 in cauliflower is 3-4gm/litre of water.","HIMACHAL PRADESH","HAMIRPUR","HAMIRPUR                                          ","2014-12-15 16:45:14.400"
