"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Subsidy of agriculture equipment ?","Subsidy of agriculture equipment is please contact to nearest block ADO.","HIMACHAL PRADESH","KANGRA","KANGRA                                            ","2014-12-01 09:36:28.163"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Wethaer in Kangra ?","Wethaer in Kangra are : Today No Chance of rain .","HIMACHAL PRADESH","KANGRA","BHAWARNA                                          ","2014-12-01 10:26:12.160"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather in Kangra ?","Weather in Kangra are : Today No chance of rain .","HIMACHAL PRADESH","KANGRA","NAGROTA SURIAN                                    ","2014-12-01 10:46:30.547"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","Seeds and Planting Material","Information regarding Improve var. in Potato ?","Improve var. in Potato are : Kufri jyoti,Kufri chandermukhi.Kufri Giriraj .","HIMACHAL PRADESH","KANGRA","BHAWARNA                                          ","2014-12-01 11:03:38.083"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","How to control Leaf Curl in Marigold ?","control Leaf Curl in Marigold are : Spray Rogor @ 1 ml /1 liter of water .","HIMACHAL PRADESH","KANGRA","PRAGPUR                                           ","2014-12-01 11:59:26.510"
"RABI","AGRICULTURE","Others","Others","Varieties","CONTACT NO PALAMPUR UNIVERSITY ?","01894-230395 .","HIMACHAL PRADESH","KANGRA","NAGROTA BAGWAN                                    ","2014-12-01 12:04:51.293"
"RABI","HORTICULTURE","Fruits","Orange","	Plant Protection	","how to control fruit dropping in orange ?","control fruit dropping in orange is spray planofix @ 1 ml/4.5litre of water.","HIMACHAL PRADESH","KANGRA","PRAGPUR                                           ","2014-12-01 14:28:23.750"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how much Fertilizer dose of apple plants ?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (January - march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","KANGRA","PRAGPUR                                           ","2014-12-01 15:11:50.480"
"RABI","HORTICULTURE","Vegetables","Capsicum","	Plant Protection	","information regarding Varieties of potato ?","Varieties of potato are kufri chandermukhi, kufri jyoti.","HIMACHAL PRADESH","KANGRA","FATEHPUR                                          ","2014-12-01 16:10:44.300"
"RABI","HORTICULTURE","Vegetables","Mushroom","	Plant Protection	","Information regarding whare i Get Mashroom Trainning ?","Please Contect Nearest Horticulture Block and Uni Palampur.","HIMACHAL PRADESH","KANGRA","FATEHPUR                                          ","2014-12-01 16:39:38.193"
"RABI","HORTICULTURE","Vegetables","Onion","Agriculture Mechanization","Information Regarding Sowing time of Potato crop ?","Sowing time of Potato crop are : December-January.","HIMACHAL PRADESH","KANGRA","NAGROTA SURIAN                                    ","2014-12-01 16:44:06.463"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","information regarding sms stop","type KISAAN STOP and send to 51969","HIMACHAL PRADESH","KANGRA","KANGRA                                            ","2014-12-01 17:27:48.670"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","information regarding varieties of wheat ?","varieties of wheat is PBW-550,VL-892,HPW-236,HPW-251","HIMACHAL PRADESH","KANGRA","PRAGPUR                                           ","2014-12-01 18:01:50.450"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report of kangra?","Weather report of kangra is today cloudy and no chance of rainfall.","HIMACHAL PRADESH","KANGRA","PRAGPUR                                           ","2014-12-01 18:09:20.040"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","How to Control woolly aphid in apple plants ?","Control woolly aphid in apple plants are spray chlorpariphos @ 400ml/200 litre of water.","HIMACHAL PRADESH","KANGRA","DEHRA GOPIPUR                                     ","2014-12-01 18:20:48.050"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Palampur Tehsil ?","Weather Today in Palampur Tehsil are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","KANGRA","PANCHRUKHI                                        ","2014-12-01 18:26:13.440"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","Information reagrding Sowing time of Potato Crop ?","Sowing time of Potato Crop are : Dec.-Jan.","HIMACHAL PRADESH","KANGRA","BAIJNATH                                          ","2014-12-01 19:11:50.973"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","How to Improve Milk our Buffalo ?","Apply Ostacalcium @ 40-45 ml + 30-35 Gm Ostacalcium / Day .","HIMACHAL PRADESH","KANGRA","KANGRA                                            ","2014-12-01 19:30:30.347"
"RABI","AGRICULTURE","Others","Others","Weather","Information reagrding Weather Today in kangra Distt. ?","Weather Today in kangra Distt. are : Mostaly Cloudy No chance of Rain.","HIMACHAL PRADESH","KANGRA","KANGRA                                            ","2014-12-01 19:39:01.917"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Agriculture Mechanization","Information reagrding Late Var. of Cauliflower ?","Late Var. of Cauliflower are : Pusa Sanow ball, Pussa Sanowball K-1 ,Palam Uppahar Etc.","HIMACHAL PRADESH","KANGRA","KANGRA                                            ","2014-12-01 20:35:37.113"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Kangra Distt. ?","Weather Today in Kangra Distt.are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","KANGRA","KANGRA                                            ","2014-12-01 20:39:40.333"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report of kangra ?","Weather report of kangra is clear and no chance of rainfall.","HIMACHAL PRADESH","KANGRA","KANGRA                                            ","2014-12-01 20:49:06.060"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Baijnath Tehsil ?","Weather Today in Baijnath Tehsil are Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","KANGRA","BAIJNATH                                          ","2014-12-01 20:50:39.170"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","information regarding sms stop","type KISAAN STOP and send to 51969","HIMACHAL PRADESH","KANGRA","PANCHRUKHI                                        ","2014-12-01 20:56:18.637"
