"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","Information regatrding Weather Today in Kalpa Tehsil ?","Weather Today in Kalpa Tehsil are : Mostaly Cloudy 5 % Chance of Rain.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-11-02 10:07:54.627"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","how much Fertilizer dose of apple plants ?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (January - march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-11-03 20:51:59.787"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how to control woolly aphid in apple.?","spray chlopyriphos@2ml/L of water","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-11-05 11:39:29.863"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how to Control root borer in apple plants ?","Control root borer in apple plants are drenching chlorpariphos @ 3ml/litre of water.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-11-05 12:31:03.970"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Kinaur Distt. ?","Weather Today in Kinaur Distt.are : Mostaly Cloudy 5 % Chance of Rain.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-11-07 19:54:19.180"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Kinaur Distt. ?","Weather Today in Kinaur Distt.are Mostaly Cloudy Chance 5-10 %of Rain.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-11-08 20:00:08.250"
"RABI","HORTICULTURE","Fruits","Apple","Agriculture Mechanization","How much Does of CAN ,SSP and MOP in 10 Year's And Above Apple Plant ?","Dose of CAN are : 2800 Gm , SSP are : 2200 Gm  And MOP are : 1200 Gm in 10 Year's And Above Apple Plants . First Half Does of CAN are Apply Feb-Mach and Secound Are Apply After One Months Lettar ,SSP And Mop are Apply Dec.-Jan .","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-11-09 21:27:16.777"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","The farmers asked give me contact no. vet. ?","Please contact this no. vet. 1800 180 8006, 01894 230467","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-11-10 08:07:49.740"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","Information regarding Soil Samle ?","Soil Samle are : Nearest Contect in Block Level .","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-11-10 16:09:29.043"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how to control woolly aphid in apple.?","spray chlopyriphos@2ml/L of water.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-11-11 10:39:44.583"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how much Fertilizer dose of apple plants?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (January march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-11-11 12:10:38.080"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","fertilizer dose in in apple plant","fertilizer dose in in apple plant are : superposphate -2.200 gm ,F.Y.M-100 kg ,Potash-1kg ,and CAN-1.400 gm Before flowering 15-20 day and 1.400 gm may -june .in 10 year above all plant .","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-11-12 09:36:23.370"
"RABI","HORTICULTURE","Fruits","Apple","Fertilizer Use and Availability","How much Dose Urea Dormace Before Spray in Apple plant ?","Dose Urea Dormace Before Spray in Apple plant are : 10 kg /200 liter of water .","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-11-12 15:30:19.697"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how to Control woolly aphid in apple plants ?","Control woolly aphid in apple plants are spray chlorpariphos @ 400ml/200 litre of water.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-11-14 21:23:57.767"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how much  Fertilizer dose of apple plants ?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (January march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-11-21 16:09:03.407"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Agriculture Mechanization","Information regarding Sowing time Pea Crop ?","Sowing time Pea Crop are : October-November.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-11-22 14:22:03.707"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","How to control Woolly Aphid in apple plant ?","control Woolly Aphid in apple plant are : Spray Chloropyrifos @ 400 ml /200 liter of water .","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-11-22 20:30:03.177"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","How to control Wooly Aphid in Apple Plant ?","Drainching With Chaloropayriphos @ 3-5 Ml / 1 Liters of Water.","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-11-23 14:37:04.093"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","Please give me contect no. in solan uni.?","contect no. in solan uni. are : 01792-252706.","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-11-24 20:00:45.250"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","Information regarding Weather Today in Kinour Distt. ?","Weather Today in Kinour Distt.are : Mostaly Cloudy No Chance of Rain.","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-11-24 20:11:32.060"
"RABI","HORTICULTURE","Fruits","Apple","Agriculture Mechanization","Information regarding Planting Time of Apple Plant ?","Planting Time of Apple Plant are : Dec.-March.","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-11-24 21:18:44.813"
"RABI","HORTICULTURE","Fruits","Apple","Fertilizer Use and Availability","How much Dose Fertilizer in apple plant ?","Dose Fertilizer in apple plant are : Superposphate -2.200 kg ,potash -1 kg ,F.Y.M-100 kg in use December-January Month and Nitrogen Dose (Urea )-1.400 kg in Use 1/2 Dose February-march and 1/2 Dose -april-may month .10  Year to all Above plant .","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-11-25 17:31:37.280"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how much Fertilizer dose of apple plants ?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (February- march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-11-26 12:32:52.900"
"RABI","HORTICULTURE","Fruits","Apple","Agriculture Mechanization","How to control Lichan In Apple Plant ?","Spray Kastik Soda @ 2 Kg / 200 Liters of Water.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-11-27 20:09:07.677"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how much  Fertilizer dose of apple plants ?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (January - march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-11-30 10:33:52.073"
"RABI","HORTICULTURE","Fruits","Apple","Fertilizer Use and Availability","How much Fertilizer dose of apple plants ?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (February- march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-11-30 12:03:05.790"
