"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","How to control Root Rot in Cauliflower ?","control Root Rot in Cauliflower are : Drenching Saaf @ 25 gm /10 liter of water .","HIMACHAL PRADESH","KULLU","NAGGAR","2014-12-01 08:04:56.100"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in kullu ?","weather in kullu are : Today no chance of rain .","HIMACHAL PRADESH","KULLU","KULLU                                             ","2014-12-01 12:03:22.160"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","Information Regarding Pruning Time in Apple plant ?","Pruning Time in Apple plant are : December -january .","HIMACHAL PRADESH","KULLU","NIRMAND","2014-12-01 12:16:12.353"
"RABI","HORTICULTURE","Vegetables","Onion","Field Preparation","HOW TO CONTROL FANGAL IN ONION ?","SPRAY 2.5 GM SAAF , 1 LITRE WATER .","HIMACHAL PRADESH","KULLU","NAGGAR","2014-12-01 12:26:43.533"
"RABI","HORTICULTURE","Fruits","Apple","Agriculture Mechanization","Information reagrding Prunining Time of Apple Plant ?","Prunining Time of Apple Plant Are : December-January .","HIMACHAL PRADESH","KULLU","BANJAR                                            ","2014-12-01 15:10:56.780"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","How much does of 12:32:16 in Potato Crop ?","Does of 12:32:16 in Potato Crop are : 13-15 Kg / Bigha .","HIMACHAL PRADESH","KULLU","ANNI","2014-12-01 19:08:48.080"
"RABI","AGRICULTURE","Others","Others","Weather","how to control fangal in pea ?","spray 3 gm m45 , 1 litre water .","HIMACHAL PRADESH","KULLU","BANJAR                                            ","2014-12-02 10:32:15.343"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","How much Pruning after Time Spray in Apple Plant ?","Pruning after Time Spray in Apple Plant are : copperOxichloride @ 600 gm /200 liter of water .","HIMACHAL PRADESH","KULLU","ANNI","2014-12-02 11:24:30.450"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","How much Pruning after Time Spray in Apple Plant ?","Pruning after Time Spray in Apple Plant are : copperOxichloride @ 600 gm /200 liter of water .","HIMACHAL PRADESH","KULLU","ANNI","2014-12-02 11:25:36.933"
"RABI","HORTICULTURE","Fruits","Apple","Fertilizer Use and Availability","How much fertilizer  Dose in Apple plant ?","fertilizer  Dose in Apple plant are : Superfosphate -2.200 kg ,Potash -1 kg and F.Y.M -100 kg in use December -january and urea -1.400 gm  in use Two type -1/2 Dose february-march and 1/2 Dose April-may .all ten year above plant .","HIMACHAL PRADESH","KULLU","ANNI","2014-12-02 11:27:57.847"
"RABI","HORTICULTURE","Fruits","Apple","Fertilizer Use and Availability","How much fertilizer  Dose in Apple plant ?","fertilizer  Dose in Apple plant are : Superfosphate -2.200 kg ,Potash -1 kg and F.Y.M -100 kg in use December -january and urea -1.400 gm  in use Two type -1/2 Dose february-march and 1/2 Dose April-may .all ten year above plant .","HIMACHAL PRADESH","KULLU","ANNI","2014-12-02 11:57:13.863"
"RABI","HORTICULTURE","Fruits","Apple","Fertilizer Use and Availability","Fertilizer dose of apple plants ?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (February- march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","KULLU","ANNI","2014-12-02 12:30:06.483"
"RABI","HORTICULTURE","Fruits","Apple","Agriculture Mechanization","Information regarding Pruning Time of Apple Plant ?","Pruning Time of Apple Plant are : December-Januaray .","HIMACHAL PRADESH","KULLU","ANNI","2014-12-02 15:05:15.483"
"RABI","HORTICULTURE","Fruits","Apple","Fertilizer Use and Availability","How much Fertilizer dose of apple plants ?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (February- march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","KULLU","NAGGAR","2014-12-02 18:39:27.497"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","How to control Root Rot in Apple plant ?","control Root Rot in Apple plant are :Drenching Copper Oxichloride @ 3 gm /1 liter of water .","HIMACHAL PRADESH","KULLU","ANNI","2014-12-03 11:31:09.483"
"RABI","AGRICULTURE","Others","Others","Soil Testing","Information regarding Weather in kullu ?","Weather in kullu are : Today no chance of rain .","HIMACHAL PRADESH","KULLU","ANNI","2014-12-03 11:34:54.347"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","How to control Leaf Caterpiler in Sarso ?","control Leaf Caterpiler in Sarso are : Spray Cypermethrin 25 Ec @ 1 ml /1 liter of water .","HIMACHAL PRADESH","KULLU","BANJAR                                            ","2014-12-03 11:49:13.490"
"RABI","AGRICULTURE","Others","Others","Weather","Information reagrding Give Me KVK Bajaura Helpline Phon No ?","KVK Bajaura Helpline Phon No are : 01925-287318.","HIMACHAL PRADESH","KULLU","NAGGAR","2014-12-03 15:01:56.093"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","How to control Canker in Apple Plante After Pruining Time ?","Spray Blaitox @ 600 Gm / 200 Liters of Water.","HIMACHAL PRADESH","KULLU","BANJAR                                            ","2014-12-03 17:16:06.733"
"RABI","HORTICULTURE","Fruits","Apple","Field Preparation","Control canker in apple plants ?","Control canker in apple plants are spray copper ox chloride @ 600gm/200litre of water.","HIMACHAL PRADESH","KULLU","NIRMAND","2014-12-04 10:09:59.110"
"RABI","HORTICULTURE","Vegetables","Potato","Field Preparation","how to control thrips in potato ?","spray 1 ml melathion , 1 litre water .","HIMACHAL PRADESH","KULLU","BANJAR                                            ","2014-12-04 10:23:59.843"
"RABI","HORTICULTURE","Fruits","Apple","Field Preparation","Control canker in apple plants ?","Control canker in apple plants are spray copper ox chloride @ 600gm/200litre of water.","HIMACHAL PRADESH","KULLU","NIRMAND","2014-12-04 13:13:31.217"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","Information Regarding Pruning Time in Apple plant ?","Pruning Time in Apple plant are : December -january .","HIMACHAL PRADESH","KULLU","BANJAR                                            ","2014-12-04 13:21:09.830"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Anni Tehsil ?","Weather Today in Anni Tehsil are : Mostaly Cloudy No Chance Of Rain.","HIMACHAL PRADESH","KULLU","ANNI","2014-12-04 15:27:08.947"
