"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","how much Fertilizer dose of apple plants ?","Fertilizer dose of apple plants are 100kg FYM + 2800gm CAN (January march month)+ 2200gm SP + 1200gm MOP (December month)/plant.","HIMACHAL PRADESH","SHIMLA","RAMPUR                                            ","2014-11-01 07:48:24.780"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","weather of shimla?","some chance of rainfall .","HIMACHAL PRADESH","SHIMLA","THEOG                                             ","2014-11-01 08:16:35.800"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","The farmers asked give me contact no. vet. ?","Please contact this no. vet. 1800 180 8006, 01894 230467","HIMACHAL PRADESH","SHIMLA","NARKANDA                                          ","2014-11-01 08:59:23.417"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","How to control Woolly Aphid in Apple plant ?","control Woolly Aphid in Apple plant are : Spray  Chloropyrifos @400 ml /200 liter of water .","HIMACHAL PRADESH","SHIMLA","ROHRU                                             ","2014-11-01 10:35:31.193"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","How  Much Pruning time in Apple plant ?","Pruning time in Apple plant  are : December -January .","HIMACHAL PRADESH","SHIMLA","THEOG                                             ","2014-11-01 11:10:54.320"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","How much Pruning Harvest after time spray on apple ?","Pruning Harvest after time spray on apple are : Spray Blitox @ 3 gm /1 liter of water .","HIMACHAL PRADESH","SHIMLA","MASHOBRA                                          ","2014-11-01 11:15:48.427"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","How to control Root rot in Apple plant ?","control Root rot in Apple plant are : Drenching Saaf @ 25 gm /10 liter of water .","HIMACHAL PRADESH","SHIMLA","ROHRU                                             ","2014-11-01 14:41:15.563"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Seeds and Planting Material","Information Regarding Improve var. in pea crop ?","Improve var. in pea crop are : Punjab-89,Palam prya ,Bonbila,Kinnauri,Solan Nirog,Palam sumul .","HIMACHAL PRADESH","SHIMLA","BASANTPUR                                         ","2014-11-01 15:04:37.547"
"RABI","HORTICULTURE","Fruits","Apple","Bio-Pesticides and Bio-Fertilizers","how to control wooly apple aphid","how to control wooly apple aphid 
spray 400 ml chlorpyriphos per200 litre of water","HIMACHAL PRADESH","SHIMLA","THEOG                                             ","2014-11-01 16:19:02.053"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","	Plant Protection	","How much Distance Between Line-Line in Barley Crop ?","Distance Between Line-Line are : 20-22 Cm  in Barley Crop .","HIMACHAL PRADESH","SHIMLA","THEOG                                             ","2014-11-01 16:25:51.360"
