"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","MANDI RATES OF  APPLE IN  JAMMU  MANDI  ?","Jammu and Kashmir 
Narwal Jammu (F&V) 684 Tonnes NR American 1500 2000 1750 Rs/Quintal 
   NR Delicious 2800 3600 3200 Rs/Quintal 
   NR Maharaji 1800 2500 2150 Rs/Quintal 
   NR Other 2800 4200 3500 Rs/Quintal 
Reasi 0.6 Tonnes NR Delicious 3800 4000 3800 Rs/Quintal 
   NR Delicious 2800 3000 2800 Rs/Quintal","JAMMU AND KASHMIR","BADGAM","KHAG                                              ","2014-12-01 08:42:55.317"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","COPPER OXYCHLORIDE SPRAY IN APPLE?","SPRAY OF COPPER OXYCHLORIDE AND OTHER FUNGICIDES WILL START IN MONTH OF MARCH","JAMMU AND KASHMIR","BADGAM","KHAN-SAHIB                                        ","2014-12-01 10:14:28.510"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","INFORMATION REGARDING CANKER DISEASE IN APPLE?","CLEAN THAT SURFACE WITH KNIFE ANDAPPLY BORDEUX MIXTURE ON IT","JAMMU AND KASHMIR","BADGAM","BADGAM                                            ","2014-12-01 10:19:54.413"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST?","A full day of sunshine
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","BADGAM","BEERWAH                                           ","2014-12-01 11:50:18.007"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","SUBMERGED GRASS IN FLOOD WATER?","DO NOT USE THAT GRASS AS FEED FOR ANIMALS IT MAY CONTAIN SOME INFECTIOUS SUBSTANCES THAT CAN AFFECT ANIMAL HEALTH.","JAMMU AND KASHMIR","BADGAM","BEERWAH                                           ","2014-12-01 11:56:17.370"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","WEATHER FORECAST?","A full day of sunshine
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","BADGAM","KHAN-SAHIB                                        ","2014-12-01 12:47:03.807"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","CANKER","BORDEAUX PASTE","JAMMU AND KASHMIR","BADGAM","BADGAM                                            ","2014-12-01 13:12:18.520"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","TIME OF MANURE IN APPLE.","APPLY FARM YARD MANURE TO APPLE PLANTS.","JAMMU AND KASHMIR","BADGAM","KHAG                                              ","2014-12-01 17:35:32.230"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","TIME OF SPRAY IN APPLE.","APPLY CHEMICAL IN THE MONTH OF MARCH.","JAMMU AND KASHMIR","BADGAM","CHADOORA                                          ","2014-12-01 17:57:37.460"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","WEATHER REPORT","Sunny
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0","JAMMU AND KASHMIR","BADGAM","CHADOORA                                          ","2014-12-01 20:32:27.490"
