"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","HOW TO CONTROL ROOT ROT IN APPLE ?","DRENCH THE ROOT WITH MANCOZEB + CARBENDAZIM @ 3GM/LITER OF WATER","JAMMU AND KASHMIR","BANDIPORE","HAJIN                                             ","2014-11-01 10:34:12.247"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","control of root rot in apple tree","drench carbendazim @ 2gm /litre of water","JAMMU AND KASHMIR","BANDIPORE","HAJIN                                             ","2014-11-01 13:49:33.953"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","WEATHER  FORECAST  ?","Increasing cloudiness
 Max UV Index: 5 (Moderate)
Thunderstorms: 24%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","BANDIPORE","BANDIPORA                                         ","2014-11-02 07:53:41.783"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST?","N
E
S
W

NNE 4 km/h 
Gusts: 7 km/h 
Sun and areas of high clouds this morning followed by considerable cloudiness

Max UV Index: 4 (Moderate) 
Thunderstorms: 0% 
Precipitation: 0 mm 
Rain: 0 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 0 hrs 
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","BANDIPORE","SUMBAL                                            ","2014-11-02 10:47:57.933"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER","Some sun, then turning cloudy
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","BANDIPORE","BANDIPORA                                         ","2014-11-02 12:27:39.817"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report?","Increasing cloudiness","JAMMU AND KASHMIR","BANDIPORE","SUMBAL                                            ","2014-11-02 18:37:13.420"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report?","Increasing cloudiness","JAMMU AND KASHMIR","BANDIPORE","SUMBAL                                            ","2014-11-02 18:58:50.740"
"KHARIF","HORTICULTURE","Fruits","Apple","Weather","weather forecast ?","Mostly cloudy with a shower in places
Max UV Index: 3 (Moderate)
Thunderstorms: 20%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","BANDIPORE","SUMBAL                                            ","2014-11-04 10:38:39.037"
"RABI","AGRICULTURE","Others","Others","Varieties","weather forecast?","Cooler; periods of snow and rain this morning followed by a shower in spots this afternoon
Max UV Index: 3 (Moderate)
Thunderstorms: 29%
Precipitation: 0.17 in
Rain: 0.15 in
Snow: 0.1 in
Ice: 0 in
Hours of Precipitation: 3 hrs
Hours of Rain: 2.5 hrs","JAMMU AND KASHMIR","BANDIPORE","HAJIN                                             ","2014-11-04 10:58:51.590"
"KHARIF","HORTICULTURE","Fruits","Apple","Weather","weather forecast ?","Mostly cloudy with a shower in places
Max UV Index: 3 (Moderate)
Thunderstorms: 20%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","BANDIPORE","BANDIPORA                                         ","2014-11-04 11:02:08.777"
