"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","FERTILIZER APPLICATION IN APPLE TREE?","APPLY FERTILIZERS IN MONTH OF MARCH","JAMMU AND KASHMIR","KULGAM","KULGAM                                            ","2014-12-01 07:44:22.760"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER  FOREACST   ?","Sunny and mild
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","KULGAM","KULGAM                                            ","2014-12-01 08:59:09.990"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","SPRAY AT 50% LEAF FALL","COPPER OYYCHLORIDE 300GM/100LT WATER","JAMMU AND KASHMIR","KULGAM","DEVSAR                                            ","2014-12-01 10:14:29.730"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","WEATHER?","Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","KULGAM","PAHLOO                                            ","2014-12-01 11:21:16.563"
"RABI","HORTICULTURE","Fruits","Apple","Weather","WEATHER REPORT","Sunny and mild
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","KULGAM","KULGAM                                            ","2014-12-01 15:11:52.327"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","DOSE OF COPPER OXYCHLORIDE","DOSE OF COPPER OXYCHLORIDE IS 3GM / LITRE OF WATER","JAMMU AND KASHMIR","KULGAM","KULGAM                                            ","2014-12-01 15:30:54.077"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER.","Sunny and mild
 Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","KULGAM","D.H.PORA","2014-12-02 08:13:26.880"
"RABI","AGRICULTURE","Others","Others","Weather","weather forecast?","Mostly sunny and mild
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","KULGAM","KULGAM                                            ","2014-12-02 12:03:59.593"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","weather report","Plenty of sunshine
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","KULGAM","D.H.PORA","2014-12-03 10:22:30.520"
"KHARIF","HORTICULTURE","Fruits","Apple","Agriculture Mechanization","CONTROL OF RAT  IN APPLE  ORCHARD   ?","USE  ALLMUNIUM PHOSPHATE   TABLETS.","JAMMU AND KASHMIR","KULGAM","KULGAM                                            ","2014-12-03 13:10:45.010"
