"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Apple","Weather","weather forecast ?","Sunshine
Max UV Index: 6 (High)
Thunderstorms: 1%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","KELLER                                            ","2014-11-01 10:17:40.100"
"KHARIF","HORTICULTURE","Fruits","Apple","Weather","control of aphids ?","methyl demeton (0.025%)","JAMMU AND KASHMIR","PULWAMA","KELLER                                            ","2014-11-01 11:24:08.553"
"KHARIF","HORTICULTURE","Fruits","Apple","Weather","FARMER WANTS INFORMATION REGARDING TIME FOR PRUNNING ?","WHEN 50 TO 60 % LEAF FALLS GO FOR PRUNNING","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-01 13:04:01.167"
"KHARIF","HORTICULTURE","Fruits","Apple","Weather","WEATHER FORECAS ?","Sunshine
Max UV Index: 6 (High)
Thunderstorms: 1%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-01 13:04:59.033"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","Sunshine
Max UV Index: 6 (High)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-01 14:57:23.010"
"RABI","HORTICULTURE","Fruits","Apple","Weather","TODAYS WEATHER FORECAST ?","Mainly clear

Max UV Index: N/A 
Thunderstorms: 0% 
Precipitation: 0 mm 
Rain: 0 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 0 hrs 
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-11-01 15:25:50.027"
"KHARIF","HORTICULTURE","Vegetables","Knol-Khol","	Plant Protection	","SOWING  TIME  OF  VEGETABLES  IN","SOW SPANICH,   FENIQRIK,  KNOL KHOL,   CARROT,  RDAISH.","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-11-02 08:19:36.007"
"RABI","HORTICULTURE","Fruits","Apple","Weather","TODAYS WEATHER FORECAST ?","Cloudy
Max UV Index: N/A
Thunderstorms: 24%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-11-02 15:38:15.610"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","Sun and areas of high clouds this morning, then turning cloudy
Max UV Index: 4 (Moderate)
Thunderstorms: 24%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-03 11:52:56.253"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","Sun and areas of high clouds this morning, then turning cloudy
Max UV Index: 4 (Moderate)
Thunderstorms: 24%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-11-03 12:02:20.687"
"RABI","AGRICULTURE","Others","Others","Weather","weather forecast?","Sun and areas of high clouds this morning, then turning cloudy
Max UV Index: 4 (Moderate)
Thunderstorms: 24%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-03 12:39:46.280"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","information regarding control of sanjoscale in apple tree","spray chloropyriphos 20ec @ 2ml /litre of water","JAMMU AND KASHMIR","PULWAMA","","2014-11-03 15:18:27.887"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","CONTROL OF  ROOT  ROT  IN  APPLE","DRENCH  CARBNEADZIM  OR RADOMIL   @  2.5 ML PER  LITRE OF  WATER NEAR THE  ROOT ZONE AREA.","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-04 08:28:09.960"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather  forecast  ?","Cooler; periods of snow and rain this morning followed by a shower in spots this afternoon
 Max UV Index: 3 (Moderate)
Thunderstorms: 29%
Precipitation: 4 mm
Rain: 4 mm
Snow: 0.3 CM
Ice: 0 mm
Hours of Precipitation: 3 hrs
Hours of Rain: 2.5 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-04 08:58:07.890"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST","Times of clouds and sun with a couple of showers and a thunderstorm, mainly later

Max UV Index: 5 (Moderate) 
Thunderstorms: 41% 
Precipitation: 5 mm 
Rain: 5 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 2.5 hrs 
Hours of Rain: 2.5 hrs","JAMMU AND KASHMIR","PULWAMA","PAMPORE                                           ","2014-11-04 10:01:41.937"
"RABI","HORTICULTURE","Flowers","Gerbera","	Plant Protection	","CONTROL OF WILTING IN GERBERA ?","SPRAY CARBENDAZIM 50WP @ 2GM OR KARATHANE @ 2GM IN 1 LITRE OF WATER .","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-04 11:33:21.337"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather  forecast   ?","Cooler; periods of snow and rain this morning followed by a shower in spots this afternoon
 Max UV Index: 3 (Moderate)
Thunderstorms: 29%
Precipitation: 4 mm
Rain: 4 mm
Snow: 0.3 CM
Ice: 0 mm
Hours of Precipitation: 3 hrs
Hours of Rain: 2.5 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-04 12:51:52.790"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER   FORECAST  ?","Mostly sunny
 Max UV Index: 5 (Moderate)
Thunderstorms: 24%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-05 07:55:34.300"
"RABI","AGRICULTURE","Others","Others","Weather","Mostly sunny and warmer; a shower or thunderstorm in spots this afternoon

Max UV Index: 5 (Moderate) 
Thunderstorms: 40% 
Precipitation: 1 mm 
Rain: 1 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 0.5 hrs 
Hours of Rain: 0.5 hrs","Mostly sunny and warmer; a shower or thunderstorm in spots this afternoon

Max UV Index: 5 (Moderate) 
Thunderstorms: 40% 
Precipitation: 1 mm 
Rain: 1 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 0.5 hrs 
Hours of Rain: 0.5 hrs","JAMMU AND KASHMIR","PULWAMA","KAKAPORA                                          ","2014-11-05 08:56:13.840"
"RABI","AGRICULTURE","Others","Others","Weather","weather forecast?","Mostly sunny and warmer; a shower or thunderstorm in spots this afternoon
Max UV Index: 5 (Moderate)
Thunderstorms: 40%
Precipitation: 0.04 in
Rain: 0.04 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0.5 hrs
Hours of Rain: 0.5 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-05 10:36:21.067"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST","Milder with variable cloudiness; a shower or thunderstorm in spots this afternoon

Max UV Index: 5 (Moderate) 
Thunderstorms: 40% 
Precipitation: 1 mm 
Rain: 1 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 0.5 hrs 
Hours of Rain: 0.5 hrs","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-05 10:37:45.803"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","information regarding time of fertilizer in apple tree","time of fertilizer in apple tree is marc-apri and june july","JAMMU AND KASHMIR","PULWAMA","KELLER                                            ","2014-11-05 12:56:50.267"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","seed rate of pea","seed rate of pea is 5kg/ kanal","JAMMU AND KASHMIR","PULWAMA","KAKAPORA                                          ","2014-11-05 14:48:11.960"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","PREPRATION OF BORDEAUX PAINT ?","MIX COPPER SULPHATE +LIME DUST+LINSEED OIL .","JAMMU AND KASHMIR","PULWAMA","KAKAPORA                                          ","2014-11-05 17:43:59.017"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Field Preparation	","HOW TO CONTROL APHID IN MUSTARD ?","SPRAY WITH IMIDACLOPRIDE @ 2ML/LITER OF WATER","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-05 20:01:27.740"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","HOW TO CONTROL ROOT ROT IN APPLE ?","DRENCH THE ROOT WITH CARBENDAZIM @ 2ML/LITER OF WATER","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-05 20:42:40.660"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Times of sun and clouds with a thundershower in spots this afternoon
Max UV Index: 5 (Moderate)
Thunderstorms: 31%
Precipitation: 0.02 in
Rain: 0.02 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0.5 hrs
Hours of Rain: 0.5 hrs","JAMMU AND KASHMIR","PULWAMA","KELLER                                            ","2014-11-06 07:27:08.730"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","INFORMATION REGARDING SOIL TESTING IN APPLE ?","IN THIS REGARD VISIT NEAREST HORTICULTURE OFFICE OR KVK.","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-06 10:43:33.950"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","HOW TO CONTROL COLLAR ROT IN APPLE ?","apply Chaubatia paint or Bordex paint after
scarification of the affected areas.","JAMMU AND KASHMIR","PULWAMA","KELLER                                            ","2014-11-06 11:11:17.910"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","information regarding fertilizer dose in onion","apply urea -11kg, dap-7kg, mop-5kg/kanal","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-06 12:09:31.823"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","HOW TO CONTROL ROOT ROT IN APPLE ?","drenching
the root zone of tree with Carbendazim 50 WP + Mancozeb 75 WP in the ratio
of 1:4 per litre of water need to be followed","JAMMU AND KASHMIR","PULWAMA","PULWAMA                                           ","2014-11-06 12:11:50.990"
"KHARIF","AGRICULTURE","Cereals","Wheat","Weather","TODAYS WEATHER FORECAST ?","Partly sunny and pleasant

Max UV Index: 5 (Moderate) 
Thunderstorms: 0% 
Precipitation: 0 mm 
Rain: 0 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 0 hrs 
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-11-06 13:11:21.580"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","RODENTS ATTACK","ZINC PHOSPHIDE","JAMMU AND KASHMIR","PULWAMA","TRAL                                              ","2014-11-06 14:11:25.857"
