"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST","Sun giving way to increasing clouds
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","RAJOURI","BUDHAL                                            ","2014-11-02 11:23:21.413"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST   ?","Increasing cloudiness
 Max UV Index: 5 (Moderate)
Thunderstorms: 0%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","RAJOURI","BUDHAL                                            ","2014-11-02 11:53:02.467"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","TODAYS WEATHER FORECAST ?","Partly cloudy
Max UV Index: N/A
Thunderstorms: 0%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","RAJOURI","NOWSHERA                                          ","2014-11-02 15:23:10.463"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT?","Sunshine mixing with some clouds","JAMMU AND KASHMIR","RAJOURI","NOWSHERA                                          ","2014-11-02 15:31:04.820"
"KHARIF","AGRICULTURE","Cereals","Wheat","Weather","INFORMATION REGARDING WEATHER REPORT ?","ncreasing cloudiness
Max UV Index: 4 (Moderate)
Thunderstorms: 24%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","RAJOURI","BUDHAL                                            ","2014-11-02 15:32:57.237"
"RABI","AGRICULTURE","Others","Others","Weather","SOIL PROBLEM","SOIL TEST AT YOUR NEAREST AGRICULTURE SOIL TESTING LABORATORY","JAMMU AND KASHMIR","RAJOURI","BUDHAL                                            ","2014-11-05 08:11:31.983"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","RAIN AND CLOUDLY","JAMMU AND KASHMIR","RAJOURI","BUDHAL                                            ","2014-11-05 20:31:56.057"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","varities of wheat","varities of wheat is hd-3077, pbw-509 etc","JAMMU AND KASHMIR","RAJOURI","SUNDERBANI                                        ","2014-11-06 11:01:57.570"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","DOSE OF D.A.P IN WHEAT ?","DOSE OF D.A.P IN WHEAT IS 5.5KG PER KANAL.","JAMMU AND KASHMIR","RAJOURI","SUNDERBANI                                        ","2014-11-06 12:07:31.377"
"RABI","HORTICULTURE","Fruits","Walnut","	Plant Protection	","information regarding control of insect in walnut","spray chloropyriphos 20ec @ 2ml /litre of water","JAMMU AND KASHMIR","RAJOURI","RAJOURI                                           ","2014-11-06 12:15:15.900"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","weather forecast ?","Cloudy and not as warm; a t-storm in spots this morning followed by a t-storm or two this afternoon
 Max UV Index: 4 (Moderate)
Thunderstorms: 60%
Precipitation: 0.21 in
Rain: 0.21 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 2.5 hrs
Hours of Rain: 2.5 hrs","JAMMU AND KASHMIR","RAJOURI","BUDHAL                                            ","2014-11-07 07:10:06.730"
