"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","SOWING TIME OF CARROT ?","SOWING TIME OF CARROT STARTS FROM THE MONTH OF OCTOBER .","JAMMU AND KASHMIR","REASI","REASI                                             ","2014-11-01 15:14:49.917"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST   ?","NNE 2 mph 
Gusts: 7 mph 

Increasing cloudiness
 Max UV Index: 5 (Moderate)
Thunderstorms: 0%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","REASI","REASI                                             ","2014-11-02 09:03:51.207"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","CONTROL OF TERMITE IN  PADDY   ?","USE   SEED TREATMENT -  CHLOROPYRIPHOS @  4 ML PER  KG OF  SEEED  BEFORE  SOWING.","JAMMU AND KASHMIR","REASI","REASI                                             ","2014-11-05 08:31:17.660"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","Cooler with periods of rain
Max UV Index: 3 (Moderate)
Thunderstorms: 24%
Precipitation: 21 mm
Rain: 21 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 7 hrs
Hours of Rain: 7 hrs","JAMMU AND KASHMIR","REASI","MAHORE                                            ","2014-11-07 10:59:12.997"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","HOW TO CONTROL WEED IN WHEAT ?","SPRAY WITH SULFOSULFURON @ 25GM IN 600 LITER WATER PER HAC","JAMMU AND KASHMIR","REASI","POUNI                                             ","2014-11-12 08:00:40.347"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","HOW TO CONTROL ROOT ROT IN CAULIFLOWER ?","DRENCH THE ROOT WITH CARBENDAZIM @ 2GM/LITER OF WATER","JAMMU AND KASHMIR","REASI","POUNI                                             ","2014-11-13 10:32:59.733"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","CONTROL OF YELLOW LEAVES IN ONION","SPRAY MANCOZEB 75WP @ 2GM /LITRE OF WATER","JAMMU AND KASHMIR","REASI","MAHORE                                            ","2014-11-13 12:50:40.667"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","CONTROL OF TERMITES IN WHEAT FIELD ?","DILUTE 4LITRE CHLORPYRIPHOS 20EC + 5LITRE WATER AND 50KG SAND PER HACTARE .BORADCAST THIS TREATED SOIL IN THE INFESTED AREAS.","JAMMU AND KASHMIR","REASI","ARNAS                                             ","2014-11-13 14:57:48.070"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","CONTROL OF TERMITES IN WHEAT FIELD ?","DILUTE 4LITRE CHLOROPYRIPHOS 20EC + 5 LITRE WATER AN 50KG SAND PER HACTARE .BROADCAST THIS TREAT SOIL IN THE INFESTED AREA .","JAMMU AND KASHMIR","REASI","ARNAS                                             ","2014-11-13 15:00:11.137"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","SOWING TIME OF HD 2967 ?","SOWING TIME OF HD 2967 STARTS FROM THE MONTH OF OCT-NOV .","JAMMU AND KASHMIR","REASI","REASI                                             ","2014-11-15 12:17:01.960"
