"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","SEED RATE OF PEA PER KANAL ?","SEED RATE OF PEA IS 3-6KG PER KANAL.","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-01 09:59:27.873"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","YIELD OF WHEAT VARIETY HD 2967 ?","YIELD OF WHEAT VARIETY HD 2967 IS 70 Q/HACTER .","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-01 12:20:42.243"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","WEATHER FORECAST ?","Pleasant with a full day of sunshine
Max UV Index: 5 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-01 12:44:24.580"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","FERTILIZER DOSE IN WHEAT PER KANAL ?","APPLY 8KG UREA,5KG DAP AND 2KG MOP PER KANAL.","JAMMU AND KASHMIR","SAMBA","GAGWAL","2014-11-01 12:54:16.527"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","VARIETIES OF PEA","VARIETIES OF PEA IS BONNEVILLE, APRANA ,RACHNA ETC.","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-01 15:14:25.680"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","SHARBATI  MANDI RATE ?","SHARBATI  MANDI RATE IS  Rs. 1300 - 2000 PER QUINTAL.","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-05 06:28:33.893"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","WHEAT CULTIVARS","PBW 3077, HD 2285,PBW 226","JAMMU AND KASHMIR","SAMBA","GAGWAL","2014-11-06 16:12:25.310"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","MANDI RATE OF  BASMATI  AND SHARBATI   ?","MANDI RTAE  BASMATI IS Rs = 1800 - 3350/Q,  AMD SHARBATI IS Rs. 1500-1900/Q.","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-07 06:44:27.450"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","SOWING TIME OF PEA ?","SOWING TIME OF PEA STARTS FROM THE MONTH OF OCTOBER .","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-09 12:06:16.000"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER FORECAST ?","Smoky with dimmed sunshine
Max UV Index: 5 (Moderate)
Thunderstorms: 0%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-10 13:42:17.290"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","HOW TO CONTROL STEM BORER IN MANGO ?","DIP THE COTTON PLUG INTO KEROSEN OIL AND PUT THE COTTON IN THE HOLE AND COVERD WITH MUD.","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-10 16:40:45.350"
"RABI","AGRICULTURE","Oilseeds","Toria","Fertilizer Use and Availability","FERTILIZER DOSE IN TORIA PER KANAL ?","APPLY 2.5KG UREA,2KG DAP AND 800GM MOP PER KANAL","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-10 16:57:02.483"
"RABI","HORTICULTURE","Vegetables","Onion","Nursery Management","information regarding time of sowing of onion?","sowing time of onion is oct.","JAMMU AND KASHMIR","SAMBA","GAGWAL","2014-11-12 11:58:28.440"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","SEED RATE OF WHEAT ?","SEED RATE OF WHEAT IS 5 KG PER KANAL .","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-12 13:20:20.467"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","FERTILIZER DOSE IN POTATO PER KANAL ?","APPLY 13KG UREA , 7KG DAP AND 11 MOP PER KANAL.","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-13 10:25:14.803"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","WEATHER  FOREACST   ?","Nice with plenty of sunshine
 Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 in
Rain: 0 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-13 12:41:58.177"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","SEED TREATMENT IN WHEAT ?","TREAT  THE SEED WITH CARBENDAZIM 50WP @ 2-3GM/KG SEED.","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-16 13:58:06.910"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","INFORMATION REGARDING SEED TREATMENT IN WHEAT ?","TREAT THE SEED WITH CARBENDAZIM @ 3GM/KG OF SEED","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-17 10:58:58.397"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","SOWING TIME OF WHEAT ?","SOWING TIME OF WHEAT START FROM 15TH NOV","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-17 19:06:06.657"
"RABI","HORTICULTURE","Vegetables","Onion","Cultural Practices","SEED RATE OF ONION PER KANAL ?","SEED RATE OF ONION PER KANAL IS 600GM PER KANAL.","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-18 10:54:21.130"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","TODAYS WEATHER FORECAST ?","Partly sunny and very warm
Max UV Index: 4 (Moderate)
Thunderstorms: 0%
Precipitation: 0 mm
Rain: 0 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0 hrs
Hours of Rain: 0 hrs","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-18 16:50:40.197"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","SEED TREATMENT IN WHEAT ?","TREAT THE SEED WITH CARBENDAZIM @ 3GM/KG OF SEED.","JAMMU AND KASHMIR","SAMBA","VIJAYPUR                                          ","2014-11-19 11:41:17.880"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT AND SHOOT BORER","SPRAY CYPERMETHRIN 2ML/LT WATER AT 10-15 DAYS  INTERVAL","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-20 10:12:31.320"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","HOW TO CONTROL WEED IN WHEAT ?","SPRAY WITH Metsulfuron Methyl 20% WG @ 20GM IN 500 LITER OF WATER","JAMMU AND KASHMIR","SAMBA","GAGWAL","2014-11-20 14:12:40.887"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","SEED RATE OF WHEAT PER KANAL ?","SEED RATE OF WHEAT PER KANAL IS 5KG","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-21 07:26:39.930"
"RABI","AGRICULTURE","Fodder Crops","Barseem","Sowing Time and Weather","SOWING TIME OF BARSEEM ?","SOWING TIME OF BARSEEM START FROM 15TH SEPT - 15TH OCT.","JAMMU AND KASHMIR","SAMBA","SAMBA                                             ","2014-11-21 07:57:20.150"
