"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Anthracnose and stalk end-rot mango","Anthracnose and stalk end-rot
Pre-harvest spraying of Mancozeb 2g/lit or Carbendazim 1g/lit or Thiophanate methyl 1g/lit or Chlorothalonil 2 g/lit, 3 times at 15 days interval will control anthracnose and stalk end-rot.","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-01 16:20:55.517"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","yellowing of leaves brinjal","yellowing of leaves brinjal
Spray metalyxl @ 2g/lit of water","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-01 16:57:19.750"
"KHARIF","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","	Plant Protection	","amphid attack in musterd","amphid attack in musterd
clorypiyriphos @ 1 ml par liter pani me mila kar spray kare","JHARKAND","GIRIDIH","GAWAN                                             ","2014-11-01 18:47:09.327"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Seeds","Good variety of maize","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-02 21:53:09.020"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information in gridih","Weather information in gridih Very low Cloudy weather in your area but no chance of rain","JHARKAND","GIRIDIH","BIRNI                                             ","2014-11-04 07:55:04.600"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","FALSE SMUT IN RICE","SPRAY COPUROXICHLORIDE 3KILOGRAM IN 1OOOLIT OF WATER","JHARKAND","GIRIDIH","JAMUA                                             ","2014-11-06 15:49:47.430"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Varieties OF wheats","Varieties OF wheats HD 2733 , PBW 343,PBW-443,HD-2967","JHARKAND","GIRIDIH","BENGABAD                                          ","2014-11-06 16:06:02.177"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect problem in paddy","insect problem in paddy spray  IMIDACHLROPRID @1ML/3LITER OF WATER","JHARKAND","GIRIDIH","BENGABAD                                          ","2014-11-06 16:08:17.110"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","fungi problem in tomato plant","spray carbendazim @ 1 gm/lt of water","JHARKAND","GIRIDIH","DHANWAR                                           ","2014-11-07 08:02:26.650"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","BLIGHT DISEASE IN POTATO","BLIGHT DISEASE IN POTATO Spray mencozeb @ 2g/lit of water","JHARKAND","GIRIDIH","GANDEY                                            ","2014-11-08 10:05:57.183"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Seeds","Variety of mustard –","Variety of mustard –
 rajendra sarson -1, swarna, 66-197-aren","JHARKAND","GIRIDIH","BIRNI                                             ","2014-11-09 13:32:32.710"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","insect probelm in cauliflower","Spray chlorpryphos @ 2ml/lit of water","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-11 07:30:44.850"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","JHARKAND","GIRIDIH","SARIYA","2014-11-11 11:24:18.687"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ACIDIC SOIL RECLAYMATION","USE DOLOMITE 1.5TON/HECT FOR ACIDIC SOIL","JHARKAND","GIRIDIH","JAMUA                                             ","2014-11-11 19:11:57.450"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","varities of WHEAT INFORMATION ?","varities of WHEAT -K 1006 , NW 5054 DBW 39 ,HD  2824 , PBW 343 ?","JHARKAND","GIRIDIH","DEORI                                             ","2014-11-13 10:11:16.483"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information weather in gridih","information weather in gridih 
Cloudy weather in your of rain area but no chance","JHARKAND","GIRIDIH","BAGODAR                                           ","2014-11-14 07:55:16.733"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","root and shoot borer in brinjal","root and shoot borer in brinjal spray in fame @ 2 gram per liter water","JHARKAND","GIRIDIH","JAMUA                                             ","2014-11-14 10:20:00.373"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem","Spray copper oxycloride @ 2 gram in 1 litre of water","JHARKAND","GIRIDIH","BAGODAR                                           ","2014-11-16 06:48:39.710"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Delay in growth","Spray boomflower @ 2 ml in 1 litre of water","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-17 09:02:41.940"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-17 09:39:20.353"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","Best variety of cauliflower","Best variety of cauliflower- kuari, patna aril, pusa katki, pusa dipali, patna men ,pusa subhra","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-17 10:08:13.160"
"RABI","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","Variety of tomato","Variety of tomato-rupali, pusa gaurav, labonita, punjab keshri","JHARKAND","GIRIDIH","BIRNI                                             ","2014-11-17 13:27:54.690"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","VARIETY OF GRAM-","VARIETY OF GRAM-PUSA-256,KPG-59,PUSDA-372,KWR-108","JHARKAND","GIRIDIH","BIRNI                                             ","2014-11-17 14:31:40.587"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","disease of brinjal crops","spray carbendazim @ 2gm/liter water","JHARKAND","GIRIDIH","JAMUA                                             ","2014-11-17 17:20:20.443"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","Micronutrients spray for controlling bronzing of leaves","Micronutrients spray for controlling bronzing of leaves
A combined spray should be given containing ZnSO4, MgSO4 and MnSo4 @ 0.5% and CuSO4 and FeSO4 @ 0.25 % plus Teepol @ 1ml per 5 lit of solution on various stages as","JHARKAND","GIRIDIH","BAGODAR                                           ","2014-11-18 11:41:49.937"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","insect problem","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","GIRIDIH","SARIYA","2014-11-18 14:50:21.770"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","varities of WHEAT INFORMATION ?","varities of WHEAT -K 1006 , NW 5054 DBW 39 ,HD  2824 , PBW 343 ?","JHARKAND","GIRIDIH","BIRNI                                             ","2014-11-19 06:27:23.123"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","insect problem","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","GIRIDIH","BIRNI                                             ","2014-11-19 06:29:05.863"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","JHARKAND","GIRIDIH","JAMUA                                             ","2014-11-20 10:23:18.097"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Late blight disese of potato","Late blight disese of potato
Mancozeb or dithane m-45ka 2 gram dava  1 liter pani me mila kar spray kare","JHARKAND","GIRIDIH","PIRTAND                                           ","2014-11-22 09:34:28.637"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","varities of WHEAT INFORMATION ?","varities of WHEAT -K 1006 , NW 5054 DBW 39 ,HD  2824 , PBW 343 ?","JHARKAND","GIRIDIH","DEORI                                             ","2014-11-22 19:32:07.620"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","JHARKAND","GIRIDIH","SARIYA","2014-11-23 07:09:38.913"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","fungi problem","Spray copper oxychloride @ 2 gram in 1 litre of water","JHARKAND","GIRIDIH","BIRNI                                             ","2014-11-23 08:19:34.833"
"RABI","HORTICULTURE","Fruits","Mango","Fertilizer Use and Availability","Fertilizer management in mango crop","MANGO 2YEAR PLANT-- COMPOST-25KG+N:P:K-500 GM+300GM+500GM+THIMATE-10GM.","JHARKAND","GIRIDIH","SARIYA","2014-11-24 11:47:34.910"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","GIRIDIH","SARIYA","2014-11-25 06:16:46.367"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","FUNGI PROBLEM IN MANGO PLANT","Spray carbendazym @ 2.5 gram in 1 litre of water","JHARKAND","GIRIDIH","BIRNI                                             ","2014-11-28 07:38:31.090"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PROBLEM IN BRINJAL","Spray imidachloprid @ 1ml/3lit of water","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-28 09:44:48.220"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-28 09:46:03.397"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","about good variety of onion crops","good variety of onion crops-   pusa red, pusa ranagar, punjab red,hisar-2, pusa safed chapta , seed rate- 8 se 10 kg/hactare.","JHARKAND","GIRIDIH","DEORI                                             ","2014-11-28 18:22:15.323"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","EARLY BLIGHT DISEASE POTATO","EARLY BLIGHT DISEASE POTATO Spray mencozeb @ 2g/lit of water","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-28 19:35:41.837"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem in brinjal","insect problem in brinjal Spray quinolphos @ 2 ml in one litre of water","JHARKAND","GIRIDIH","BIRNI                                             ","2014-11-28 19:53:11.087"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","ferlizer recomendation in maize","ferlizer recomendation in maize
use urea-1.5kg,dap-500g,potash-1kg and give urea in three split dose on 20,45,and60days from the day of  sowing","JHARKAND","GIRIDIH","SARIYA","2014-11-28 21:37:10.650"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","fungi probelm in chillies plant","¬¬¬¬¬¬¬¬¬Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","GIRIDIH","SARIYA","2014-11-29 07:03:30.160"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","insect probelm in chillies plant","Spray methyl demeton or dimethoate@ 1 ml in one liter of water","JHARKAND","GIRIDIH","GIRIDIH                                           ","2014-11-30 07:13:00.813"
