"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","INSECT PROEBLM IN POTATO PLANT","Spray deltamethrin @ 2 ml in 1 litre of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-02 15:01:02.580"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","varities of onion","VARIETY OF ONION- PATNA RED, NASIK RED, Arka niketan, Arka kalyan 76","JHARKAND","LATEHAR","BARWADIH                                          ","2014-12-03 10:58:15.900"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Variety of wheat","Variety of wheat- P.B.W-373, P.B.W-443, P.B.W-573 P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","JHARKAND","LATEHAR","MANIKA                                            ","2014-12-04 08:09:38.153"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Yellowinging of leaves","spray saaf @ 2 gram/liter of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-04 09:35:24.927"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Early blight disease in potato","Early blight disease in potato spray in mancozeb @ 2 gram per liter of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-06 06:51:17.807"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","VARIETIES OF WHEAT","VARIETIES OF WHEAT- PBW-343, PBW-373, PBW-502, PBW-154, HD-2733, UP-262,","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-06 06:54:53.980"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","VARIETIES OF WHEAT","VARIETIES OF WHEAT- PBW-343, PBW-373, PBW-502, PBW-154, HD-2733, UP-262,","JHARKAND","LATEHAR","CHANDWA                                           ","2014-12-07 09:29:53.090"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","fruit cracking","Spray Borex @ 2ml/lit of water","JHARKAND","LATEHAR","CHANDWA                                           ","2014-12-13 13:25:57.593"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","LATEHAR","CHANDWA                                           ","2014-12-13 13:28:05.310"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","LATEHAR","CHANDWA                                           ","2014-12-13 13:28:52.827"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","DISEASE OF ARHAR CROPS","SPRAY MANCOZEB(SAAF/SIXER) @ 2GM/LITER WATER IN ARHAR CROPS","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-18 20:09:48.043"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","weed management in wheat","use in 2,4-D 800 GRAM @ 600-700 LITER OF WATER","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-19 10:09:45.893"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","VARIETY OF ONION-","VARIETY OF ONION- PATNA RED, NASIK RED, Arka niketan, Arka kalyan 76","JHARKAND","LATEHAR","MANIKA                                            ","2014-12-19 12:06:51.140"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight disease in potato","spray carbendazym + mancojeb @ 2 gram in 1 litre of water","JHARKAND","LATEHAR","CHANDWA                                           ","2014-12-20 07:35:11.240"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","FUNGI PROBLEM IN POTATO PLANT","Spray mencozeb @ 2g/lit of water","JHARKAND","LATEHAR","MAHUADANR                                         ","2014-12-21 08:18:43.330"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-21 12:07:20.613"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-21 12:08:21.307"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-22 07:51:18.513"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","insect problem","spray quinalphos @ 1 ml / liter of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-24 10:02:12.403"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Cloudy weather in your area but no chance of rain","JHARKAND","LATEHAR","BARIYATU","2014-12-24 13:31:36.400"
"RABI","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","FUNGI PROBLEM PUMPKIN","Spray saaf @ 2 ml in 1 litre of water","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-28 07:41:10.853"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","LATEHAR","LATEHAR                                           ","2014-12-28 07:42:50.337"
