"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT DISEASE IN PADDY-","SHEATH BLIGHT DISEASE IN PADDY- spray hexaconazole @ 1ml/liter of water","JHARKAND","RAMGARH","RAMGARH                                           ","2014-11-01 17:59:23.767"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","INSECT PROBLEM IN FRENCH BEANS","INSECT PROBLEM IN FRENCH BEANS Spray imidachloprid @ 1ml/3lit of water","JHARKAND","RAMGARH","PATRATU                                           ","2014-11-03 08:13:25.490"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","blight disease in potato","blight disease in potato Spray mancozeb @ 2g/lit of water","JHARKAND","RAMGARH","DULMI","2014-11-03 13:05:07.107"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","LEAF SPOT DISEASE IN PAPAYA","LEAF SPOT DISEASE IN PAPAYA Spray carbendazym @ 2.5 gram in 1 litre of water","JHARKAND","RAMGARH","PATRATU                                           ","2014-11-04 07:06:47.983"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Dairy Production","TRANING FOR POULTRY","CONTACT TO BIRSA AGRI UNIVERSITY","JHARKAND","RAMGARH","GOLA                                              ","2014-11-04 16:27:46.827"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","insect problem in mango","Spray carbaril @ 2 gram in 1 litter of water","JHARKAND","RAMGARH","RAMGARH                                           ","2014-11-04 18:15:59.760"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","INSECT PROBLEM IN BEANS","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","JHARKAND","RAMGARH","RAMGARH                                           ","2014-11-04 18:29:41.137"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","NO RAIN","JHARKAND","RAMGARH","MANDU                                             ","2014-11-05 15:31:47.953"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","JHARKAND","RAMGARH","RAMGARH                                           ","2014-11-06 10:09:12.533"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","LEAF CURL IN POTATO","SPRAY IMIDACHLOROPID @1ML/3LIT OF WATER","JHARKAND","RAMGARH","MANDU                                             ","2014-11-06 17:32:39.587"
