"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","farmer want to information about fertilizer dose in wheat crop?","Urea 175 kg, DAP 109 kg and MOP 50 kg per hac.","MADHYA PRADESH","BARWANI","RAJPUR                                            ","2014-11-01 11:15:14.430"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","How to control white fly in cucumber rop?","Spray Dimethoate 30%EC (Rogar) 40 ml per pump.
Spray Daiphenthuran (Pegasas) 10 to 15 gram at per pump.","MADHYA PRADESH","BARWANI","RAJPUR                                            ","2014-11-01 13:25:40.740"
"RABI","AGRICULTURE","Others","Others","Weather","Weather forecasting for Barwani district of Madhya Pradesh?","No rainfall within 5 days in your district.","MADHYA PRADESH","BARWANI","PANSEMAL                                          ","2014-11-02 08:51:41.323"
"RABI","AGRICULTURE","Others","Others","Weather","Weather forecasting for barwani district of Madhya Pradesh?","No rainfall within 5 days in your district.","MADHYA PRADESH","BARWANI","PANSEMAL                                          ","2014-11-02 08:52:08.290"
"RABI","AGRICULTURE","Others","Others","Soil Testing","Farmer want to know about where we doing soil testing in our district?","Recommended for soil testing please contact at your nearest krishi vigyan kendra or krishi upaj mandi.","MADHYA PRADESH","BARWANI","PANSEMAL                                          ","2014-11-02 09:03:48.303"
"RABI","AGRICULTURE","Others","Others","Soil Testing","Farmer want to know about where we doing soil testing in our district?","Recommended for soil testing please contact at your nearest krishi vigyan kendra or krishi upaj mandi.","MADHYA PRADESH","BARWANI","PANSEMAL                                          ","2014-11-02 09:04:10.113"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about varieties of Wheat crop?","Irrigated within time - Lok-1, MP 1142, HI 1077 (Mangala), DL803-3 (kanchan), GW 190, GW 273, GW 322, MP 1142, GW 366, HI 8381 (Malavshree), HI 8498 (Malav shakti).","MADHYA PRADESH","BARWANI","BARWANI                                           ","2014-11-02 17:52:56.753"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","Fruit drop in Cotton ?","Spray of Borex (Boron) @ 50 gm. + NPK 0-52-34 @ 100 gm./pump.","MADHYA PRADESH","BARWANI","PANSEMAL                                          ","2014-11-03 12:27:57.840"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","weather information","????? ????
???? ??: +30°
????????: 1014.5 ???????????? 
?????: +10°
???: 28.9%
????????????: 4 ????????
???? ?? 3.11. 11:30 am
?? ???? ??? Indore
????? ????????, Indore >","MADHYA PRADESH","BARWANI","SENDHAWA                                          ","2014-11-03 13:23:38.163"
"RABI","HORTICULTURE","Vegetables","Cluster Bean","	Plant Protection	","How to control of fungal attack in clusterbean crop?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","BARWANI","THIKRI                                            ","2014-11-03 13:37:14.567"
