"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Market Information","mandi rate of  maize in buranpur mandi ?","Market Arrivals 
 (Tonnes) Origin Variety Minimum Price
 (Rs./Quintal) Maximum Price
 (Rs./Quintal) Modal Price
 (Rs./Quintal) 
Madhya Pradesh  
Burhanpur   29.5     Yellow   1037   1200   1068","MADHYA PRADESH","BURHANPUR","KHAKNAR                                           ","2014-12-01 07:36:41.220"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","how to improve growth ?","spray NPK 19 :19;19 @ 1.5 Kg/acar dissolve in 150 litre of water.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-12-01 15:59:46.563"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","how to control leaf curl of chilly crop ?","Recommended for spray of Dimethoate (Rogar) @ 30 ml per 15 litter water .","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-12-03 08:54:59.963"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","how to control root rot of banana ?","Soil drenching with Carbendazim @ 2 gram / lit of water .","MADHYA PRADESH","BURHANPUR","KHAKNAR                                           ","2014-12-03 10:54:32.610"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","MADHYA PRADESH","BURHANPUR","KHAKNAR                                           ","2014-12-03 11:11:34.160"
"RABI","AGRICULTURE","Others","Others","Market Information","Farmer want to know information about to activate sms advisory scheme ?","To activate sms advisory scheme on your mobile number","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-12-03 12:40:32.017"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","Farmer want to information about how to control of fungal attack in  banana crop?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-12-04 21:53:50.530"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","How to control caterpillars in soyabean crop?","10 ml at 15 liter Spray emamectin benjoate or corajan or fem of water or indoxa carb 10 ml at 15 liter of water.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-12-05 07:37:02.680"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","How to control caterpillars in soyabean crop?","10 ml at 15 liter Spray emamectin benjoate or corajan or fem of water or indoxa carb 10 ml at 15 liter of water.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-12-05 07:37:03.700"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","How to control white fly in chilli crop?","Recommended for Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-12-05 15:26:59.523"
