"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","	Water Management	","water management in wheat?","irrigation scheduling for wheat
?????? ?? ??????u - Crown Root Initiation (21 days after sowing)
?????? ????? ?? ??????t - Late Tillering (42 days after sowing)
???? ??? ?? ??????? - Late Joinging(60 days after sowing)
?????? ??? ?? ??????? - Flowering (80 days after sowing)
???? ??? ??? ???? ?? ??????? - Milk stage (95 days after sowing) and
???? ?? ??????? - Dough Ripe (115 days after sowing)","MADHYA PRADESH","DHAR","DHAR                                              ","2014-12-01 07:56:14.563"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","Market Information","Farmer wants to know about mandi rate of garlic at neemuch  mandi of Madhya Pradesh?","Dear in your's neemuch mandi rate of garlic crop is 1500 Rs. minimum/quintal 7450 Rs. maximum/quintal 2500 Rs. average/quintal.","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-01 09:31:38.217"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","How to control caterpillars in pea crop?","Recommended for Spray of Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac.","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-01 09:40:24.560"
"RABI","ANIMAL HUSBANDRY","Animal","Goat","Integrated Farming","how to start got rearing ?","Please contact with your nearest Veterinary department & bank or laghu udyog nigam or khadi gram udyog.","MADHYA PRADESH","DHAR","NISARPUR                                          ","2014-12-01 10:19:03.863"
"RABI","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","flower drop in pomegranate?","spraying of malathion@ 30 ml /pump","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-01 11:35:43.007"
"RABI","HORTICULTURE","Fruits","Pomegranate","Nutrient Management","Recommended Fertilizers Doses for 3 year old pomegranate tree?","Recommended Fertilizers Doses for 3 year old pomegranate tree   30FYM (kg)	500Nitrogen (g)125	Phosphorous (g)125		    Potassium (g)/tree /year In bearing trees, apply N in 2 split does, starting at the time of first irrigation after bahar treatment and next at 3–4 weeks interval. Full dose of P and K should be applied as single dose with first irrigation.","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-01 11:46:59.177"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","root rot in ginger cause the spoilage in plant what can I do ?","Recommended for Dranching of Cooper oxychloride @ 45 gm./pump + Streptrocyclin @ 2 gm./pump with 15 liter of water.","MADHYA PRADESH","DHAR","MANAWAR                                           ","2014-12-01 12:13:45.420"
"RABI","AGRICULTURE","Others","Others","Market Information","farmer want to know information about mandi registration ?","your number is ragistared","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-01 12:36:58.830"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","farmer want to know information about How to control of fungal attack in crop ?","spray mencojeb + carbandazim 45 gram and steptrocyclin 2 gram at 15 liter of water","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-01 14:25:07.600"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","farmer want to know information about Which fertilizer and nutrient give for better growth in potato crop?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-01 15:09:36.233"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","Fertilizer Use and Availability","spray of weedicide on garlic crop plant become  leaf yellowness what can I do ?","Recommended for spray foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","DHAR","NALCHHA                                           ","2014-12-01 15:34:07.810"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","farmer want to know information about how to control sucking pest in garlic crop?","recommended for to control sucking pest in garlic crop spray fipronil@ 25 ml at 15 liter of water.","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-01 15:53:25.533"
"RABI","AGRICULTURE","Others","Others","Market Information","Farmer want to information about mandi  registration?","Now your number is registered hear for manndi  rate","MADHYA PRADESH","DHAR","DHAR                                              ","2014-12-01 19:12:23.047"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","Which fertilizer and nutrient give for better growth in wheat crop?","Recommended for spray foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","DHAR","DHAR                                              ","2014-12-01 19:19:51.390"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","Which fertilizer and nutrient give for better growth in GARLIC crop?","Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-02 09:02:31.320"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","foliar spray in wheat?","spray of water soluble fertilizer NPK 19:19:19 @     100 g   /pump","MADHYA PRADESH","DHAR","SARDARPUR                                         ","2014-12-02 09:43:22.050"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","farmer want to know information about fungal attack in cotton crop ?","Use copper oxy chloride  50% w  45 gram and steptrocyclin  90% w/w 2 gram at 15 liter of water","MADHYA PRADESH","DHAR","KUKSHI                                            ","2014-12-02 11:36:29.167"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Which fertilizer and nutrient give for better growth in wheat crop?","Recommended for spray foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","DHAR","DHAR                                              ","2014-12-02 12:13:58.977"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","Foliar spray in wheat?","spray of water soluble fertilizer NPK 19:19:19 @     100 g   /pump","MADHYA PRADESH","DHAR","NALCHHA                                           ","2014-12-02 12:50:13.240"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Farmer want to information about how to control of late blight on potato crop","spray Metalaxyl 8% + Mancozeb 64% WP 40 gram steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","DHAR","SARDARPUR                                         ","2014-12-02 12:52:10.770"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","How to control of fungal attack in GRAM crop?","Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","DHAR","DHAR                                              ","2014-12-02 13:45:41.387"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Fertilizer Use and Availability","Which fertilizer  give for better growth in soybean crop?","spray iffco npk 0:52:34 @ 100 gram/pump.","MADHYA PRADESH","DHAR","DHAR                                              ","2014-12-02 13:51:57.780"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","how to control wilt ?","The affected plants should be removed and destroyed. Spot drenching of the solution Kasubi ( kasukamycine 3% SL) @ 250ml/acer + 50ml Cursur ( Flufilazol 40% EC) or Carbendazim (0.1%). Crop rotation with a non- host crop such as cereals.","MADHYA PRADESH","DHAR","DAHI                                              ","2014-12-02 13:53:36.227"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Which fertilizer and nutrient give for better growth in garlic crop?","Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-02 14:30:51.007"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","farmer want to know information about control of flower and fruit dropin mango ?","recommended for to control of flower and fruit drop spray planofix 5 ml per pump","MADHYA PRADESH","DHAR","SARDARPUR                                         ","2014-12-02 14:35:08.283"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","farmer want to know information about How to control soil insect  in garlic  crop?","Apply cartap hydro chloride 7 to 10 kg at per Acer.","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-02 15:39:54.337"
"RABI","AGRICULTURE","Others","Others","Market Information","Farmer wants to start mandi rate facility on mobile phone?","Your mandi rate facility registration has been successfully registered at kishan call center.","MADHYA PRADESH","DHAR","DHARAMPURI                                        ","2014-12-02 15:57:42.773"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","farmer want to know information about How to control caterpillars in pea crop?","Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-12-02 16:27:29.787"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","How to control white fly in brinjal crop?","Recommended for Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.","MADHYA PRADESH","DHAR","NALCHHA                                           ","2014-12-02 16:37:11.573"
