"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Farmer  want number activate in sms facility ?","your number is update resisterd in sms facility","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-01 07:37:19.670"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","How to control Caterpillar,Thrips in chillies crop?","Spinosad 45 % SC @ 160 - 200 ml per Ha.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-01 07:42:32.117"
"RABI","AGRICULTURE","Others","Others","Market Information","Farmer wants to start mandi rate facility on mobile phone?","Your mandi rate facility registration has been successfully registered at kishan call center.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-04 11:55:40.817"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","How to control tobacco caterpillars in gram crop?","Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.","MADHYA PRADESH","JHABUA","JHABUA                                            ","2014-12-04 12:40:16.723"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","How to control of fungal attack in cotton  crop?","Recommended for spray hexaconazol 5% EC 400ml at per acer.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-05 11:09:37.727"
"RABI","AGRICULTURE","Others","Others","Weather","Farmer want to know information about     weather forecast ?","your district no rainfall next 10 days . 
..","MADHYA PRADESH","JHABUA","RAMA                                              ","2014-12-05 16:29:03.673"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","farmer want to know information about  how to increase growth of  wheat crop ?","Ans:- recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-05 17:07:51.600"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about How to control weeds in wheat crop?","Ans- clodinofop propargyl  15% + metsulfuron methyl 1%wp +(vesta) 160 gram/acre spray","MADHYA PRADESH","JHABUA","JHABUA                                            ","2014-12-06 16:07:38.280"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","farmer want to know information about How to control of fungal attack in garlic crop?","recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-07 19:41:57.710"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","farmer want to know information about How to control of fungal attack in garlic crop?","recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-07 19:58:42.247"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","HOW TO CONTROL WEED ON WHEAT CROP.","spray Metsulfuron Methyl 20% WP 8 gram/acre.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-07 21:06:27.040"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to control of fungal attack in tomato crop?","Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-08 08:13:45.373"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","how to increse yield of wheat ?","use npk 191919 100g\pump","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-08 10:47:48.407"
"RABI","AGRICULTURE","Others","Others","Government Schemes","FARMER WANT TO KNOW ABOUT govt. schemes of agriculture ?","Please contact your R.A.E.O officer or agriculture officer of block office or farmer welfare and agriculture development office of your district.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-08 11:00:09.340"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","what is fertilizer dose of wheat crop ?","Urea 175 kg, DAP 109 kg and MOP 50 kg per hac.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-09 15:50:42.090"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","farmer want to know information about  Fertilizer dose in wheat crop ?","Urea 210 kg, DAP 130 kg and MOP 67 kg per hac.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-09 18:42:36.293"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about Which fertilizer and nutrient give for better growth in wheat crop?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-10 18:29:58.967"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","farmer want to know information about  Fertilizer dose in wheat crop ?","Urea 210 kg, DAP 130 kg and MOP 67 kg per hac.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-10 19:48:21.833"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about govt. schemes in horticulture department ?","recommended for to know about govt. schemes in horticulture department  please contect rural agriculture extension officer ..","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-11 12:17:52.453"
"RABI","AGRICULTURE","Others","Others","Weather","Farmer want to know about weather information ?","YOUR DISTRICES NO CHANCE 5 DAYS RAINFALL","MADHYA PRADESH","JHABUA","JHABUA                                            ","2014-12-11 15:36:04.910"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to control red spider in tomato plant?","Recommended for Spray dicofol 18.5 EC 2.5 ml/lit of water.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-11 21:34:27.640"
"RABI","AGRICULTURE","Cereals","Wheat","	Water Management	","farmer want to know information about WATER MANAGEMENT in wheat?","recommended for The crop requires 4 - 6 irrigations depending on the soil type and rainfall. Wheat crop requires minimum of 5 irrigations at the following critical stages.
I – Immediately after sowing
II – Crown root intiation : 15-20 DAS 
III- Active tillering stage : 35-40 DAS
IV- Flowering stage : 50-55 DAS
V- Grain filling stage : 70-75 DAS
Crown root initiation and flowering are the most critical stages. Water stagnation should be voided at the time of germination.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-12 08:10:28.140"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","Which fertilizer and nutrient give for better growth in Wheat crop?","Recommended for Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","MADHYA PRADESH","JHABUA","PETLAWAD                                          ","2014-12-12 15:10:28.137"
