"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Farmer want to Varieties of Wheat crop?","Irrigated within time – poshak, HI 8498 (Malav shakti) , HI 8381 (Malavshree),  HI 1077 (Mangala), DL803-3 (kanchan), HI -8713(kathiya gehu) GW 190, GW 273, GW 322, MP 1142, GW 366, Lok-1, MP 1142.","MADHYA PRADESH","MANDLA","MANDLA                                            ","2014-11-01 14:44:42.693"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Varieties of Wheat crop?","Unirrigated – sujata, MP 3020,HW 2004 (amar), JWS 17, HI 1500, HI 1531, HI 4672 (Malavratna), HI 8627, HI 7483 (Meghdut)
Irrigated within time - Lok-1, MP 1142, HI 1077 (Mangala), DL803-3 (kanchan), GW 190, GW 273, GW 322, MP 1142, GW 366, HI 8381 (Malavshree), HI 8498 (Malav shakti).
Irrigated Late sown- Lok-1, GW 173, DL 788-2 (vidisha), HI 1454 (Abha), MP 4010, HI 1418 (Naveen Chandu19
si), HD 2402, HD 2932 (Pust wheat-111)","MADHYA PRADESH","MANDLA","BICHHIYA                                          ","2014-11-01 18:32:04.337"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Fertilizer dose in wheat crop?","Urea 210 kg, DAP 130 kg and MOP 67 kg per hac.","MADHYA PRADESH","MANDLA","BICHHIYA                                          ","2014-11-01 18:33:04.033"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Agriculture government schemes information?","Please contact your RAEO.","MADHYA PRADESH","MANDLA","MANDLA                                            ","2014-11-02 07:38:30.840"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","farmer want to know information about Spider attack in brinjal crop ?","Spray of properzaide 30 ml / 16 litre of water","MADHYA PRADESH","MANDLA","NAINPUR                                           ","2014-11-02 07:58:11.657"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","what is fertilizer dose of wheat crop ?","Urea260 ,Super Phosphate 375, Potash 50 kilogram per hectore FOR wheat CROP .","MADHYA PRADESH","MANDLA","NAINPUR                                           ","2014-11-02 10:24:28.347"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Farmer wants to know about fertilizer dose   crop Fertilizer dose in  wheat crop?","Recommended for Urea 175 kg, DAP 109 kg and MOP 85 kg per hac.","MADHYA PRADESH","MANDLA","BICHHIYA                                          ","2014-11-02 12:02:53.553"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","What is the recommended dose of fertilizer of Wheat ?","basal dose of fertilizer is 40kg DAP, 20kg Urea , 25kg MOP/acer. Apply remaining half dose of N at crown root initiation stage (15- 20 DAS) by top dressing of Urea @ 35kg/acer.","MADHYA PRADESH","MANDLA","MAWAI                                             ","2014-11-03 07:52:17.883"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","FARMER WANT TO HOW KNOW TO CONTROL FUNGAL INFECTION IN GINGER CROP ?","Recommended for spray  Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump .","MADHYA PRADESH","MANDLA","BICHHIYA                                          ","2014-11-03 08:06:40.883"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","market price","Market Commodity Arrivals Unit of Arrivals Origin Variety Grade Minimum Price Maximum Price Modal Price Unit of Price 
  
Bichhiya Paddy(Dhan) 6.75 Tonnes NR Other FAQ 1370 1380 1370 Rs/Quintal 
 Wheat 40.23 Tonnes  Other FAQ 1450 1450 1450 Rs/Quintal","MADHYA PRADESH","MANDLA","NAINPUR                                           ","2014-11-03 15:14:38.487"
"RABI","AGRICULTURE","Others","Others","Market Information","farmer want to know information about  mandi registration ?","registration completed","MADHYA PRADESH","MANDLA","MANDLA                                            ","2014-11-04 06:33:22.930"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Seed rate of wheat sowing ?","Seed rate of Wheat are @ 100-110 kg./ha.","MADHYA PRADESH","MANDLA","NARAYANGANJ                                       ","2014-11-04 06:47:45.763"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about time of irrigation in wheat crop ?","frist irrigation - 18-21, second irrigation - 40-42, third irrigation - 55-60, forth irrigation - 65-70,five irrigation - 80-85, six irrigation - 100-105","MADHYA PRADESH","MANDLA","MANDLA                                            ","2014-11-05 12:22:02.000"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Farmer want to know information about govt scheme ?","To contact agriculture department for better information","MADHYA PRADESH","MANDLA","BIJADANDI                                         ","2014-11-06 11:44:04.223"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","HOW TO CONTROL ROOT ROT BENGAL GRAM","CARBENDAZIM MENCOZEB 35ML/PUMP SPRAY","MADHYA PRADESH","MANDLA","NAINPUR                                           ","2014-11-06 15:17:10.923"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","how to control caterpillar pea crop","Emamectin benzoate 5 % SG 6g + npk:19:19:19 100g/pump spray","MADHYA PRADESH","MANDLA","BICHHIYA                                          ","2014-11-06 16:45:20.990"
"RABI","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","farmer want to start of mandi slert sms in mobile ?","Your number has been on the market price of the messaging service.","MADHYA PRADESH","MANDLA","MANDLA                                            ","2014-11-07 11:02:30.590"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Farmer wants to information of Varieties of Wheat crop?","Unirrigated – sujata, MP 3020, HW 2004 (amar), JWS 17, HI 1500, HI 1531, HI 4672 (Malavratna), HI 8627, HI 7483 (Meghdut)","MADHYA PRADESH","MANDLA","MANDLA                                            ","2014-11-07 17:26:06.250"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","weather forcast in madla?","10/11               11/11               12/11               13/11               14/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","MADHYA PRADESH","MANDLA","MANDLA                                            ","2014-11-09 19:43:02.400"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","farmer want to know information about  How to control caterpillars in crop?","Troijofos 40 EC 1000 Ml. / hac. Rate of spray.","MADHYA PRADESH","MANDLA","NAINPUR                                           ","2014-11-10 07:30:24.100"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Field Preparation	","How to control caterpillars in soyabean crop?","Recommended for Spray of Monocrotophos 36 s. L. 800 ml. / hac.","MADHYA PRADESH","MANDLA","NAINPUR                                           ","2014-11-10 07:43:26.723"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Farmer want to know information about weather forecast  ?","10/11               11/11               12/11               13/11               14/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","MADHYA PRADESH","MANDLA","BICHHIYA                                          ","2014-11-10 10:01:29.357"
