"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","how to control weed in wheat crop.","spray Sulfosulfuron 75% WG 13.3 gram /acre.","MADHYA PRADESH","NEEMACH","NEEMUCH                                           ","2014-12-01 07:25:02.593"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","how to control yellowing of garlic crop ?","Recommended for spray  Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump .","MADHYA PRADESH","NEEMACH","NEEMUCH                                           ","2014-12-01 07:57:19.890"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","How to control of fungal attack in garlic crop?","Recommended for thofinet mithail 30 gram, spreder ( Apsa 80, Dhanuwid, Sandovid)10 ml per pump..","MADHYA PRADESH","NEEMACH","NEEMUCH                                           ","2014-12-01 09:45:37.943"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","garlic plant protection?","Copper oxychloride(Blue copper) @ 30 g /pump(15 liter water)","MADHYA PRADESH","NEEMACH","JAWAD                                             ","2014-12-01 09:51:36.573"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","How to control of fungal attack in garlic crop?","Recommended for thofinet mithail 30 gram, spreder ( Apsa 80, Dhanuwid, Sandovid)10 ml per pump..","MADHYA PRADESH","NEEMACH","NEEMUCH                                           ","2014-12-01 09:58:56.320"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","farmer want to know information about Fertilizer dose in mustard crop?","Urea 130kg, SSP 250 kg and MOP 66 kg per hac.","MADHYA PRADESH","NEEMACH","NEEMUCH                                           ","2014-12-01 11:02:24.270"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","Farmer want to information about how to control of fungal attack in garlic crop.","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","NEEMACH","JAWAD                                             ","2014-12-01 11:02:51.060"
"RABI","HORTICULTURE","Vegetables","Capsicum","	Plant Protection	","farmer want to know information about How to control sucking pest in capsicum crop?","Lambda Cyhalothrin  5 % EC 16-20 ml per pump spray","MADHYA PRADESH","NEEMACH","NEEMUCH                                           ","2014-12-01 11:21:53.033"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about How to control weeds in wheat crop?","Ans- clodinofop propargyl  15% + metsulfuron methyl 1%wp +(vesta) 160 gram/acre spray","MADHYA PRADESH","NEEMACH","NEEMUCH                                           ","2014-12-01 11:41:38.260"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Which fertilizer and nutrient give for better growth in wheat crop?","Recommended for Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","MADHYA PRADESH","NEEMACH","NEEMUCH                                           ","2014-12-01 12:04:14.907"
