"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Government Schemes","farmer wants to information of government schemes ?","for better information please contact with R.A.E.O.","MADHYA PRADESH","SHEOPUR KALA","VIJAYPUR                                          ","2014-12-01 10:26:33.080"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","Farmer want to know information about fungal attack in 	pea ?","Coper oxichloride 300-350gm(35-40gm/pump) + Streptocyclin 12gm(2gm/pump)/acre","MADHYA PRADESH","SHEOPUR KALA","VIJAYPUR                                          ","2014-12-02 13:01:17.877"
"RABI","HORTICULTURE","Vegetables","Tomato","Fertilizer Use and Availability","Farmer want to know information about fertilizer doses in wheat ?","Tomato-Basal Dose-Urea-50kg,DAP-250kg,MOP-80kg,Top Dressing-Urea-50kg on 30 45 and 60 days","MADHYA PRADESH","SHEOPUR KALA","VIJAYPUR                                          ","2014-12-02 13:14:32.780"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about seed treatment of wheat","recommended for   seed treatment of wheat treat the seed with vitavex 3gm/kg of seed","MADHYA PRADESH","SHEOPUR KALA","SHEOPUR                                           ","2014-12-02 16:19:49.210"
"RABI","AGRICULTURE","Others","Others","Market Information","Farmer wants to start mandi rate facility on mobile phone?","Your mandi rate facility registration has been successfully registered at kishan call center.","MADHYA PRADESH","SHEOPUR KALA","SHEOPUR                                           ","2014-12-02 17:54:23.307"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","how to control aphids of potato crop ?","Recommended for spray of Dimethoate (Rogar) @ 30-35 ml per 15 litter water .","MADHYA PRADESH","SHEOPUR KALA","SHEOPUR                                           ","2014-12-03 12:28:22.250"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","How to control of fungal attack in wheat crop?","Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","SHEOPUR KALA","KARAHAL                                           ","2014-12-03 12:38:31.263"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","how to control fungal disease ?","Spray Daiphenthuran (Pegasas) 10 to 15 gram at per pump.","MADHYA PRADESH","SHEOPUR KALA","SHEOPUR                                           ","2014-12-03 12:44:18.220"
"RABI","AGRICULTURE","Others","Others","Weather","farmer want to weather information of district?","No rainfall chance in your district and weather will some cloudy at next 5 days weather will some cloudy.","MADHYA PRADESH","SHEOPUR KALA","KARAHAL                                           ","2014-12-03 14:54:45.717"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Water Management, Micro Irrigation","irrigation stages on coriander crop.","1st irrigation 30-35, second irrigation -50-60 day, third irrigation - 70-80 fourth irrigation- 90-100 and fifth irrigation-105-110 days.","MADHYA PRADESH","SHEOPUR KALA","VIJAYPUR                                          ","2014-12-04 08:09:47.393"
