"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","farmer want to know information about varieties of Wheat crop?","Irrigated within time - Lok-1, MP 1142, HI 1077 (Mangala), DL803-3 (kanchan), GW 190, GW 273, GW 322, MP 1142, GW 366, HI 8381 (Malavshree), HI 8498 (Malav shakti).","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-12-01 17:46:11.280"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","farmer want to know information about how to control white fly in tomato?","recommended for spray imedaclorpid @5-7 ml/pump","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-12-01 18:46:41.027"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Want to know about govt. scheme ?","please contact RAEO/ADO for more information ..","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-02 13:26:54.937"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Water Management	","what is the timing of irrigarion for gram?","The crop responds to irrigation 45 days after sowing and at the early podding stage. In the absence of winter rains, irrigation is beneficial.","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-03 06:20:13.120"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","How mause control of wheat crop","zinkphasfide 10 gram","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-03 09:14:53.263"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Farmer Want To Know Information About Seed Treatment Of Wheat ?","20 Ec For The Control Of Termites Seeds, Pesticides And Pharmaceutical Cloropairifas 40 Ml 15 Liters Of Water To Make A Slurry.
Treat the seeds with Carbendezim or  Thiram @ 2g/kg of seed 24hrs before sowing or with talc formulation of Trichoderma viride @ 4 g/kg seed (or) Pseudomonas fluorescens @ 10 g/kg seed","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-12-03 18:13:44.313"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","How to control weeds in maize crop?","Recommended for Please spray of 24D 20-25 ml\pump.","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-04 11:19:47.323"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","how to control of mango fruits pest ?","rogor 30-35ml/pump +planophix 4-5ml/pump spray","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-04 14:20:06.633"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","control of weed in wheat crop ?","spray of sulfosulfuron 13.3 gram per acre  .","MADHYA PRADESH","SINGRAULI","WAIDHAN                                           ","2014-12-04 17:53:21.230"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","how to control Phalaris minor of wheat ?","Spray the solution of  Clodinafop -  propargyl 15% WP @ 160 ml/ acar dilution in  150- 160 litar of water .","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-05 07:23:33.500"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Q:-How Can We Control Pest In  Tomato ?","You Can Spray Rogor @  30-35ml/Pump, Or PEGASAS 10-12g/pump, Imedacloropid 5-7ml/Pump,   Npk 19-19-19 Or 0.52.34 @ 100g/Pump To  Control Thrips In Tomato  Crop.","MADHYA PRADESH","SINGRAULI","WAIDHAN                                           ","2014-12-05 07:28:59.637"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Farmer want to know information about control of fungal attack","Coper oxichloride 300-350gm(30-35gm/pump)/acre + Streptocyclin 10-12gm(2gm/pump)/acre","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-05 13:00:02.200"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","Farmer want to know information about control of pest in pigeon ?","Profenofos 40% + Cypermethrin 4% 300-350ml/acre(30-35ml/pump)","MADHYA PRADESH","SINGRAULI","WAIDHAN                                           ","2014-12-05 13:13:10.610"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","varieties of mustard?","Pusa Bold, Terri Uttam, Pusa Jaikisan, Pusa Manik, Pusa Tarak, Pusa Agrani","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-12-06 06:29:32.460"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","How to control of fungal attack in gram crop?","Recommended for thofinet mithail 30 gram per pump.","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-06 08:34:36.893"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","How to control flower drop problem in pigeon pea crop?","Spray Plano fix 4 to 5 Ml at 15 liter of water.","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-06 08:39:33.613"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Which fertilizer and nutrient give for better growth in wheat crop?","Recommended for spray foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-12-06 08:46:49.047"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Credit","dairy farming loan ?","contact to disst. industry centre , banak manager of nerest bank","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-12-06 12:40:32.230"
"RABI","AGRICULTURE","Others","Others","Market Information","Farmer wants to start mandi rate facility on mobile phone?","Your mandi rate facility registration has been successfully registered at kishan call center.","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-12-06 21:24:54.150"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","farmer want to know information about how to control broad & narrow leaf weeds in wheat crop?","spray salfosulfuron 75% WG  + metsulfuron methyl 5%wp @ 16 gram/acre.","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-12-07 17:23:05.953"
"RABI","AGRICULTURE","Others","Others","Market Information","farmer want to know information about mandi registration ?","your mobile number mandi rate registration completed","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-12-07 17:29:07.380"
