"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Capsicum","	Plant Protection	","How to control of fungal attack in capsicum crop?","Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","WEST NIMAR(KHARGAON)","GOGAWAN                                           ","2014-11-01 07:12:37.700"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","want to know about Gram varieties ?","Gram varieties are JG-11, 74, Vishvas, Gorav , Radhe, Avarodhi..","MADHYA PRADESH","WEST NIMAR(KHARGAON)","BARWAH                                            ","2014-11-01 08:17:49.170"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","flower drop in chilli?","Spraying of  Planofix @ 5 ml+ Dimethoate (Rogar) @ 30 ml/pump","MADHYA PRADESH","WEST NIMAR(KHARGAON)","BARWAH                                            ","2014-11-01 08:23:54.373"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Fertilizer Use and Availability","what is fertilizer dose of Bengal gram crop ?","Urea 43 ,Super Phosphate 312, Potash 33 kilogram per hectore FOR Bengal gram CROP .","MADHYA PRADESH","WEST NIMAR(KHARGAON)","BARWAH                                            ","2014-11-01 08:39:54.377"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","how to control mites ?","Insecticide: Dicofol 18.5 EC @ 2.5 ml/ lit or phosalone 35 EC 2 ml / lit or wettable sulphur 50 WP @ 6 gm / lit of water","MADHYA PRADESH","WEST NIMAR(KHARGAON)","BHIKANGAON                                        ","2014-11-01 09:17:20.630"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","how to control white fly in chilli?","Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.","MADHYA PRADESH","WEST NIMAR(KHARGAON)","KASRAWAD                                          ","2014-11-01 09:18:03.207"
"RABI","AGRICULTURE","Others","Others","Government Schemes","market information alert massages ?","after few days massage started on your number","MADHYA PRADESH","WEST NIMAR(KHARGAON)","SEGAON                                            ","2014-11-01 10:10:18.980"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","how to control white fly in chilli?","Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.","MADHYA PRADESH","WEST NIMAR(KHARGAON)","BHIKANGAON                                        ","2014-11-01 10:50:10.780"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","how to control aphids of potato crop ?","Recommended for spray Thiamethaxam 70 % WS @ 5 gram per pump .","MADHYA PRADESH","WEST NIMAR(KHARGAON)","KASRAWAD                                          ","2014-11-01 10:58:58.550"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","How to control Blast disease in chillies crop?","Recommended for Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","MADHYA PRADESH","WEST NIMAR(KHARGAON)","KASRAWAD                                          ","2014-11-01 11:08:21.950"
