"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","blight on brinjal?","Spray M-45 30 gm/15 Lit of Water","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-12-01 07:31:13.997"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","weather in  Aurangabad ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-12-01 07:56:10.083"
"RABI","AGRICULTURE","Others","Others","Weather","farmer had enquired about Weather information?","according to weather report there will be cloudy weather with light rain","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-12-01 08:13:54.123"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","Shoot Borer Attack?","Spray Chloropyriphos 30Ml + Humic Acid 30ml /15 Lit Of Water.","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-12-01 08:19:01.300"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","weather  & disease","Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","AURANGABAD","KHULTABAD","2014-12-01 08:28:52.200"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","fertilizer dose for onion?","fertilizer dose for onion- apply 10:26:26 1 abg/ acre","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-12-01 09:26:46.140"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","Agriculture Mechanization","sowing period of ginger?","sowing period of ginger- april to may","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-12-01 10:39:54.070"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","weather in  aurangabad  ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-12-01 10:42:30.157"
"RABI","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy Weather NO possibility Rainfall.","MAHARASHTRA","AURANGABAD","PHULAMBRI                                         ","2014-12-01 10:50:54.043"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","FERTILIZER DOSE FOR  POTATO---","FERTILIZER DOSE FOR  POTATO---APPLICATION OF 10:26:26 –75 KG+ UREA ---25 KG + 10 KG MICRONUTRIENT + 10 KG HUMIC ACID / ACRE","MAHARASHTRA","AURANGABAD","PHULAMBRI                                         ","2014-12-01 10:52:54.493"
"RABI","HORTICULTURE","Fruits","Mosambi","Fertilizer Use and Availability","fertilizer for mosambi?","00:52:34  5kg/athavad adrip madhun sodave","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-12-01 11:17:07.610"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","weather in aurangabad ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-12-01 11:42:22.950"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","fertilizer dose ?","10:26:26+ urea","MAHARASHTRA","AURANGABAD","SILLOD                                            ","2014-12-01 11:52:40.667"
"RABI","HORTICULTURE","Flowers","Marigold","Seeds and Planting Material","Marigold VAERITY ?","Marigold - Krakerjak, Yellow Supreme, Perit, Inka Orange (syngenta).","MAHARASHTRA","AURANGABAD","KANAND","2014-12-01 11:53:31.860"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","Drip Fertilizers For COTTON","Drip Fertilizers--- application of 00:52:34---- 2 kg + Microla ---- 500 ml in 200 Lit of Water","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-12-01 12:47:01.523"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Asked about SMS Activation ?","Your Registration process successfully completed.","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-12-01 14:18:26.767"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","Attack of Stem borer?","Spray of neem ark 30 ml per pump for control caterpiller.","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-12-01 14:21:43.260"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Asked About SMS Activation?","Your SMS Registration process successfully completed.","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-12-01 14:37:29.280"
"RABI","HORTICULTURE","Flowers","Marigold","Seeds and Planting Material","sowing time of marigold","sowing of marigold after 15 january","MAHARASHTRA","AURANGABAD","KANAND","2014-12-01 14:58:19.223"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","attack of blight on ginger ?","spray saaf 30 gm/ 15 liter of water ginger","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-12-01 15:22:06.693"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Market Information","market rate of pigeaon pea","12/14 ---- SANGAMNER  QUINTAL 20 1350 1350 1350 
   --''-- ---- SHRIRAMPUR  QUINTAL 42 1000 800 900 
   --''-- LOCAL PUNE QUINTAL 106 1475 1450 1462 
   --''-- LOCAL DEULGAON RAJA  NAG 74 950 800 850","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-12-01 15:27:51.973"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","wilt in ginger","apply blue copper 400 gm + humic acid 1 liter per acre through drip for ginger","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-12-01 15:42:20.833"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","Asked about SMS Activation ?","Your Registration process successfully completed.","MAHARASHTRA","AURANGABAD","KANAND","2014-12-01 15:48:30.003"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Attack of Blight?","Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-12-01 15:59:35.797"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Disease Attack -  Blight?","drenching of bavstin 30 gm + humic acid 30 ml/15 lit water","MAHARASHTRA","AURANGABAD","PHULAMBRI                                         ","2014-12-01 16:08:29.110"
