"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked about weather forecasting?","Partly cloudy no possibility of rain","MAHARASHTRA","BEED","BEED","2014-11-01 07:41:54.093"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","WEATHER IN BEED ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-01 08:27:37.880"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","WEATHER IN BEED ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-01 08:27:39.303"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Fungus Attack?","Spray Actra 5 gm/15 Lit of Water.+ Spray Bavistine 30gm/15lit of Water.","MAHARASHTRA","BEED","BEED","2014-11-01 09:27:26.903"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate cotton","market rate cotton-4000 rs","MAHARASHTRA","BEED","MAJALGAON","2014-11-01 09:31:03.547"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation?","YourSMS Registration process successfully completed.","MAHARASHTRA","BEED","BEED","2014-11-01 09:35:40.733"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Attack of White Fly?","Spray Confidor super / Confidor 6ml/15 Lit of Water.","MAHARASHTRA","BEED","PARALI  V .","2014-11-01 09:40:18.330"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Agriculture Mechanization","variety of gram","variety of gram = vijay ,vishal , digvijay","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-01 09:44:43.710"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Asked About SMS Activation?","Your SMS Registration process successfully completed.","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-01 09:50:50.747"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","attack of caterpillar on brinjal ?","spray chloropyriphos 30 ml / 15 liter of water","MAHARASHTRA","BEED","BEED","2014-11-01 09:54:52.123"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","attack of sucking pest on bitter gourd ?","spray supar confidor 6 ml  + bavistin 30 gm / 15 liter of water","MAHARASHTRA","BEED","MAJALGAON","2014-11-01 10:03:54.403"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","VARITIES OF WHEAT?","VARITIES OF WHEAT = GODAVARI, TRAMABAK,","MAHARASHTRA","BEED","BEED","2014-11-01 10:19:28.133"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","Market Information","market rate","market rate-3000-3200rs/quntal","MAHARASHTRA","BEED","BEED","2014-11-01 10:44:02.960"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION ABOUT BEED?","??????? ?????? ????   ,","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-01 11:10:43.490"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","fungs attak?","Spray Redomil Gold 30gm/15Lit of Water.","MAHARASHTRA","BEED","BEED","2014-11-01 11:19:29.770"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","Fertilizer Use and Availability","FERTILIZER DOSE OF GARLIC?","FERTILIZER DOSE OF GARLIC = 10:26:26 1 BAGS + 15 KG UREA /ACRE","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-01 12:08:14.370"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Report?","Partly cloudy weather and light rain","MAHARASHTRA","BEED","BEED","2014-11-01 12:10:02.290"
"RABI","AGRICULTURE","Others","Others","Crop Insurance","crop insurance?","last date 31 octomber 2014","MAHARASHTRA","BEED","BEED","2014-11-01 12:38:12.280"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Attack of White Fly?","Spray Actra 5 gm/15 Lit of Water.","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-01 13:25:15.113"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","fertilizer dose of sugarcane ?","fertilizer dose of sugarcane - apply 10:26:26 + urea","MAHARASHTRA","BEED","WADWANI                                           ","2014-11-01 13:41:37.160"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","Weather Report ?","Cloudy weather Possibility of High to Medium Rainfall","MAHARASHTRA","BEED","BEED","2014-11-01 13:43:14.287"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","no possibility of rain.","MAHARASHTRA","BEED","PARALI  V .","2014-11-01 14:47:43.070"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","Blight Attack?","Spray Redomil Gold 30gm +humic acid 30 ml /15Lit of Water.","MAHARASHTRA","BEED","KAIJ                                              ","2014-11-01 15:00:50.700"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","fertilizer info.","00;52;34  wapar kara","MAHARASHTRA","BEED","BEED","2014-11-01 15:04:36.167"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","Partly cloudy no possibility of rain","MAHARASHTRA","BEED","BEED","2014-11-01 15:05:09.683"
"RABI","AGRICULTURE","Others","Others","Weather","farmer has asked about current weather condition of his tashil?","weather forecast -atmosphrer is cloudy
 no possiblity of light rainfall","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-01 15:16:19.133"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","no possibility of rain.","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-01 15:27:30.253"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","Cloudy weather, no possibility of rainfall.","MAHARASHTRA","BEED","BEED","2014-11-01 15:35:58.210"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","subcidy from nabard kadun?","25 % subcidy ahe","MAHARASHTRA","BEED","BEED","2014-11-01 15:51:45.263"
"RABI","HORTICULTURE","Flowers","Rose","Agriculture Mechanization","variety of rose","variety of ROSE - Gladiator, Baby Pink, Sofia Lawrence.","MAHARASHTRA","BEED","SHIRUR ( KA )","2014-11-01 15:55:10.167"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","fertilizer","10 26 26+urea","MAHARASHTRA","BEED","BEED","2014-11-01 16:03:09.893"
"RABI","AGRICULTURE","Others","Others","Weather","Weather Report?","Partly cloudy, not Possibility of Rainfall","MAHARASHTRA","BEED","AMBAJOGAI                                         ","2014-11-01 16:38:44.160"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","attack of aphids on potato","Spray of actra 10 gm or admire 4 gm per pump on potato","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-01 16:41:20.283"
"RABI","AGRICULTURE","Others","Others","Weather","Weather Report?","Partly cloudy, not Possibility of Rainfall","MAHARASHTRA","BEED","AMBAJOGAI                                         ","2014-11-01 16:42:20.083"
"RABI","AGRICULTURE","Others","Others","Weather","Weather Report  .","cloudy weather ,  no chances of rainfall","MAHARASHTRA","BEED","PARALI  V .","2014-11-01 16:46:58.007"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","seed info.","namdhari","MAHARASHTRA","BEED","BEED","2014-11-01 16:52:46.583"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Attack of Sucking Pest?","Spray Actra 5 gm/15 Lit of Water.","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-01 17:00:49.820"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","cow feed?","??? ???????? ????????? ??? ????","MAHARASHTRA","BEED","PARALI  V .","2014-11-01 17:22:56.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","Cloudy weather, no possibility of rainfall.","MAHARASHTRA","BEED","AMBAJOGAI                                         ","2014-11-01 17:24:51.257"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","fertilizer info.","00;52;34  wapar kara","MAHARASHTRA","BEED","AMBAJOGAI                                         ","2014-11-01 18:42:43.433"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Fungus Attack?","Confidor 6ml/15 Lit of Water.+Spray Bavistine 30gm/15lit of Water.","MAHARASHTRA","BEED","AMBAJOGAI                                         ","2014-11-02 08:14:58.080"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","weather in  beed ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","BEED","DHARUR                                            ","2014-11-02 08:29:49.550"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","weather in  beed ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","BEED","DHARUR                                            ","2014-11-02 08:29:50.310"
"JAYAD","AGRICULTURE","Others","Others","Weather","Asked About Weather report ?","???? ???????, ????? ????? ?? ?????? ???.","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-02 08:32:37.027"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","WEAHER IN BEED ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-02 08:55:33.437"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","WEAHER IN BEED ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-02 08:55:34.283"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Government Schemes","Red leaf of cotton ?","spray mg sulphate 60 gm + zn sulphate 20 gm + urea 100 gm / 15 litre water","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-02 09:16:07.290"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","flower drop?","Spray plano fix 5 ml/15 liter water
??????????? 5 ???? /15 ???? ??????????? ???? ?????? ?????","MAHARASHTRA","BEED","KAIJ                                              ","2014-11-02 10:32:45.153"
"RABI","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","	Plant Protection	","Attack of Blight?","Blue copper -40 gm/15 lit water.","MAHARASHTRA","BEED","BEED","2014-11-02 11:10:01.047"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","fertilizer info.","19;19;19  wapar kara","MAHARASHTRA","BEED","BEED","2014-11-02 11:58:44.680"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","cloudy weather ,  no chances of rainfall","MAHARASHTRA","BEED","BEED","2014-11-02 11:59:45.073"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","wilt in cotton","drenching of ridomil gold 30 gm + humic acid 30 ml per pump","MAHARASHTRA","BEED","BEED","2014-11-02 14:02:08.157"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","attack of mealy bug on cotton","spray of nuvan 20 ml or lannate 15 ml per pump on cotton.","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-02 14:15:11.097"
"RABI","AGRICULTURE","Others","Others","Market Information","Asked About SMS Activation ?","Your Registration process successfully completed","MAHARASHTRA","BEED","KAIJ                                              ","2014-11-02 14:39:22.907"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER  FORCAST?","weather ,no possibility of Light  rainfall","MAHARASHTRA","BEED","BEED","2014-11-02 14:51:36.513"
"KHARIF","AGRICULTURE","Pulses","Rajmash Bean","	Plant Protection	","weather in  beed ?","Weather Information -Cloudy  weather and NO  Possibility of Rainfall","MAHARASHTRA","BEED","DHARUR                                            ","2014-11-02 15:49:12.810"
"KHARIF","AGRICULTURE","Pulses","Rajmash Bean","	Plant Protection	","weather in  beed ?","Weather Information -Cloudy  weather and NO  Possibility of Rainfall","MAHARASHTRA","BEED","DHARUR                                            ","2014-11-02 15:51:03.593"
"RABI","AGRICULTURE","Others","Others","Government Schemes","asked for sms scheme activation","Your Registration process successfully completed","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-02 16:19:20.367"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ATTACK OF SUCKING PEST ?","Spray Actra 5 gm  /15 Lit of Water .","MAHARASHTRA","BEED","BEED","2014-11-02 17:07:38.707"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","foliar spray for cotton ?","foliar spray for cotton- spray urea 150gm + magnesium sulphet 50gm + zinc sulphet 20gm / 15 liter of water","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-02 19:03:11.027"
"RABI","AGRICULTURE","Others","Others","Weather","Asking about Weather Forecast ?","Partly cloudy ,no precipitation chances","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-02 20:13:34.147"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","SMS ACTIVATION","YOUR SMS ACTIVATION IS COMPLETED","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-02 21:50:25.440"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","fangi on cotton","fangi on cotton  - blue copper 30 GM /15 LITER WATER SPRAY","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-03 06:08:08.030"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Vegetative Propagation and Tissue Culture","VARIETY OF BHINDI","VARIETY OF BHINDI  - SHILPA, NISHA, JUILY, NIRMAL 15, NIRMAL 147","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-03 06:11:01.423"
"RABI","AGRICULTURE","Others","Others","Fertilizer Use and Availability","WHEAT HERBICIDE SPARY ?","NO SPARYING","MAHARASHTRA","BEED","BEED","2014-11-03 07:55:58.277"
"RABI","AGRICULTURE","Others","Others","Weather","Weather Information","Partly cloudy and light rain.","MAHARASHTRA","BEED","BEED","2014-11-03 08:12:12.427"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","fertilizer info.","myagneshiyam salphet + uria wapar kara","MAHARASHTRA","BEED","WADWANI                                           ","2014-11-03 08:27:16.083"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Aphids Attack ?","Spray Actra 5 gm/15 Lit of Water.","MAHARASHTRA","BEED","KAIJ                                              ","2014-11-03 08:45:42.117"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","channa seeds ?","virat ,vihar,vijay ,digvijay","MAHARASHTRA","BEED","KAIJ                                              ","2014-11-03 09:00:36.290"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","ASKED ABOUT GROWTH SPRAY?","SPRAY 19:19:19 / 00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER","MAHARASHTRA","BEED","BEED","2014-11-03 09:01:44.950"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","fertilizer info.","00;52;34  wapar kara","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-03 09:16:44.620"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","Cloudy weather, no possibility of rainfall.","MAHARASHTRA","BEED","MAJALGAON","2014-11-03 09:54:44.173"
"KHARIF","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","	Plant Protection	","variety ?","nirma , phale sugandha , phale","MAHARASHTRA","BEED","PARALI  V .","2014-11-03 10:06:09.813"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ATTACK OF BLIGHT?","SPRAY  19:19:19 / 00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-03 10:07:58.943"
"RABI","AGRICULTURE","Others","Others","Government Schemes","exibhition date ?","12-16 November","MAHARASHTRA","BEED","GEORAI                                            ","2014-11-03 10:33:13.470"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Leaf Eating Caterpillar?","spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-03 10:52:34.233"
"RABI","HORTICULTURE","Fruits","Pomegranate","Seeds and Planting Material","RAHURI KRUSHI VIDYAPPT ?","02426 243373","MAHARASHTRA","BEED","ASHTI                                             ","2014-11-03 11:33:32.407"
