"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","weather information of buldana?","weather information of buldana-weather is cloudy","MAHARASHTRA","BULDANA","MOTALA                                            ","2014-12-01 07:54:19.730"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather report ?","Cloudy weather  and  possibility of   rain","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2014-12-01 07:58:45.610"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Fertilizer Use and Availability","Leaf Eating Caterpillar ?","Spray fame 5ml/15 Lit of Water.","MAHARASHTRA","BULDANA","LONAR                                             ","2014-12-01 08:01:02.360"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","fertilizer dose ?","10:26:26+ urea + 10 kilo zinc sulphate","MAHARASHTRA","BULDANA","MOTALA                                            ","2014-12-01 08:34:36.110"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","spray for chilly?","spray for chilly- spray 12:61:0","MAHARASHTRA","BULDANA","SANGRAMPUR                                        ","2014-12-01 08:44:56.960"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","Sucking Pest on cotton?","Sucking Pest on cotton-Spray Confidor super / Confidor 10ml/15 Lit of Water.","MAHARASHTRA","BULDANA","MOTALA                                            ","2014-12-01 08:49:46.557"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Credit","weather in  buldana  ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","BULDANA","SANGRAMPUR                                        ","2014-12-01 08:51:57.053"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","pest","fighter  15 mili /pamp   spray on cotton .","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2014-12-01 08:53:56.503"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","for growth of citrus?","spray 00:52:34 4 kg in 200 lit /acre","MAHARASHTRA","BULDANA","SINDKHEDRAJA","2014-12-01 08:58:06.873"
"RABI","AGRICULTURE","Others","Others","Government Schemes","SMS Activation-","Farmer has requested About SMS Activation?","MAHARASHTRA","BULDANA","BULDANA                                           ","2014-12-01 09:10:24.503"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","seed procees wheat ?","thiram 4.5 gm/1 kg seed.","MAHARASHTRA","BULDANA","D. RAJA","2014-12-01 09:34:59.380"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","seed treatment on wheat?","thirum 3 gram/ 1 kg seed treatment karavi natar azatobactor 250gram/10kg seed treatment karavi","MAHARASHTRA","BULDANA","D. RAJA","2014-12-01 09:58:54.390"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton market rate?","Commodity :COTTON  Rate Per Unit in Rs.  
Date Variety APMC Unit Quantity Lrate Hrate Model 
01-12-2014 MEDIUM STAPLE JAMNER  QUINTAL 315 3750 4050 3900 
30-11-2014 ---- KINWAT  QUINTAL 226 3850 3950 3900 
 LOCAL KATOL  QUINTAL 565 3850 3925 3890","MAHARASHTRA","BULDANA","SINDKHEDRAJA","2014-12-01 10:03:47.327"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","dropping of flower?","Spray Plano fix 5ml/15 Lit of Water.","MAHARASHTRA","BULDANA","BULDANA                                           ","2014-12-01 10:43:05.463"
"KHARIF","AGRICULTURE","Fodder Crops","African Sarson","	Plant Protection	","weather in buldana ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","BULDANA","CHIKHLI                                           ","2014-12-01 10:57:40.170"
"JAYAD","AGRICULTURE","Others","Others","Weather","Asked About Weather report ?","???? ??????? , ????? ?? ?????? ????.","MAHARASHTRA","BULDANA","BULDANA                                           ","2014-12-01 11:02:06.903"
"JAYAD","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Field Preparation	","Leaf Eating Caterpillar?","spray proclaim 5 gm / 15 lit of Water.","MAHARASHTRA","BULDANA","CHIKHLI                                           ","2014-12-01 11:23:40.450"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report ?","weather , no possibility of Light  rainfall","MAHARASHTRA","BULDANA","BULDANA                                           ","2014-12-01 11:26:14.353"
"RABI","HORTICULTURE","Vegetables","Cluster Bean","Seeds and Planting Material","variety of cluster bean?","variety of cluster bean .... pusa navbahar , pusa sadabahar","MAHARASHTRA","BULDANA","D. RAJA","2014-12-01 11:29:08.017"
"RABI","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","fertilizer","19:19:19+ humic acid","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2014-12-01 11:48:19.453"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","flower less in tur?","spray boom flower 2 ml/liter","MAHARASHTRA","BULDANA","BULDANA                                           ","2014-12-01 11:52:16.050"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","weather in buldana ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","BULDANA","MALKAPUR                                          ","2014-12-01 12:14:41.040"
