"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Disease Attack- Blight Attack?","Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-11-01 06:45:52.297"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","attack of caterpillar on tur ?","spray profex supar 30 ml /15 liter of water for tur","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-11-01 07:45:39.620"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","Fertilizer Use and Availability","FERTILIZER FOR GINGER","FERTILIZER FOR GINGER - 10;26;26 1 BAG /ACRE","MAHARASHTRA","CHANDRAPUR","POMBHURNA                                         ","2014-11-01 09:03:06.570"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ATTACK OF SUCKING PEST?","SPRAY CONFIDOR /  ASTRA 5 GRAM+ 19:19:19 / 00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-11-01 09:42:07.960"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ATTACK OF SUCKING PEST?","SPRAY CONFIDOR /  ASTRA 5 GRAM+ 19:19:19 / 00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER","MAHARASHTRA","CHANDRAPUR","BHADRAWATI","2014-11-01 10:20:51.673"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy weather Possibility of High to Medium Rainfall","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-11-01 10:32:01.000"
"KHARIF","AGRICULTURE","Others","Others","Weather","ask about weather information?","no posiblity of rain.","MAHARASHTRA","CHANDRAPUR","MUL                                               ","2014-11-01 15:31:39.600"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","LALAYA ATTACK ON COTTON?","SPRAY MGSO4 60 GM + ZNSO4 60 GM + UREA 100 GM + SSP 200 GM + M 45 20 GM/ 15 LIT OF WATER","MAHARASHTRA","CHANDRAPUR","GONDPIPRI                                         ","2014-11-01 16:32:57.007"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","Partly cloudy weather ,not  possibility of rain.","MAHARASHTRA","CHANDRAPUR","GONDPIPRI                                         ","2014-11-01 17:02:07.797"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather report","cloudy weather ,no chance of rainfall","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-11-01 20:51:56.833"
