"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Asked About Weather  Forecast?","Cloudy weather, possibility of low rainfall.","MAHARASHTRA","GADCHIROLI","CHAMORSHI                                         ","2014-11-03 11:04:29.803"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","THRIPS ON COTTON","THRIPS ON COTTON  - REGENT 1.5 GM /LITER WATER SPRAY","MAHARASHTRA","GADCHIROLI","CHAMORSHI                                         ","2014-11-03 12:09:31.550"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","red might on cotton","red might on cotton  - OMIGHT 30 GM /15 LITER WATRER SPRAY","MAHARASHTRA","GADCHIROLI","CHAMORSHI                                         ","2014-11-03 14:14:07.583"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATRION","CLOUDY WEATHER , NO RAIN CHANCES","MAHARASHTRA","GADCHIROLI","CHAMORSHI                                         ","2014-11-03 20:40:32.947"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","Disease Attack- Blight Attack?","Spray Redomil Gold 30gm + Humic Acid 30ml/15 Lit of Water Drenching.","MAHARASHTRA","GADCHIROLI","DHANORA                                           ","2014-11-04 12:21:53.463"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","fertilizers of chilli?","-chilli fertilizers-108kg urea+313kg SSP+86KG MOP/Ha","MAHARASHTRA","GADCHIROLI","CHAMORSHI                                         ","2014-11-05 15:03:09.360"
"RABI","AGRICULTURE","Others","Others","Weather","Asked about weather forecasting?","Partly cloudy no possibility of rain","MAHARASHTRA","GADCHIROLI","CHAMORSHI                                         ","2014-11-05 18:36:46.963"
"RABI","AGRICULTURE","Others","Others","Weather","Asked about weather forecasting?","Partly cloudy no possibility of rain","MAHARASHTRA","GADCHIROLI","CHAMORSHI                                         ","2014-11-05 18:36:47.710"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather  Forecast?","Cloudy weather,no possibility of rainfall.","MAHARASHTRA","GADCHIROLI","GADCHIROLI                                        ","2014-11-06 07:34:37.757"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","attack pest","Spray Coragen 5ml/15 Lit of Water.","MAHARASHTRA","GADCHIROLI","CHAMORSHI                                         ","2014-11-07 07:01:20.580"
