"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","Leaf Eating Caterpillar?","spray proclaim 5 gm / 15 lit","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 06:50:19.280"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKED ABOUT SMS ACTIVATION ?","sms scheme is activated on your mobile number","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-01 07:32:08.397"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","stem borer on mango?","inject Nuwan 15 ml/15Lit of Water","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-01 08:36:46.223"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","Todays weather condition in kalamnuri","Todays weather condition in kalamnuri is Cloudy
Precip chance: 2%
Humidity: 58%","MAHARASHTRA","HINGOLI","KALAMNURI                                         ","2014-11-01 08:45:17.250"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather report ?","Partly cloudy and no possibility of rain","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 09:24:11.213"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","Fertilizer Dose –","Spray 00-52-34 30gm/15lit of water.","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 09:32:36.913"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","blight on turmeric?","Spray Redomil Gold 30gm/15Lit of Water","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-01 09:36:14.070"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","thrips on cotton?","Spray Polo 25gm /15 Lit of Water","MAHARASHTRA","HINGOLI","AUNDHA  NAGNATH","2014-11-01 10:36:10.667"
"KHARIF","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Varieties","variety of jowar?","variety of jowar ..... vasudha, fule chitra , yashoda","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 10:56:48.543"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","FOR GROWTH OF TURMERIC PLANT?","SPRAY 19:19:19 50 GRAM + MICROLLA 30 MILI IN 15 LIT OF WATER","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-01 13:06:42.690"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","lalaya on cotton?","spray mgso4+12:61:00  favarave","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 13:17:55.850"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","ATTACK OF SUCKING PEST-----","Spray actra 5 gm /15 lt water","MAHARASHTRA","HINGOLI","AUNDHA  NAGNATH","2014-11-01 14:12:40.723"
"JAYAD","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","dropping of tur flowers?","Spray Plano fix 5ml CA 20 GM + BO 20 GM/15 Lit of Water.","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 14:42:29.693"
"RABI","AGRICULTURE","Oilseeds","Soybean (bhat)","Market Information","MARKET RATE OF SOYABEAN?","MARKET RATE OF SOYABEAN IS 3370	2900 RS /QL","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 14:52:31.693"
"RABI","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","govt scheme","info given","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 15:14:28.947"
"RABI","AGRICULTURE","Others","Others","Weather","weather forcast?","Cloudy wheather but no possibility rain 	
?????? ???? ??? ??????? ?????? ????","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 15:19:12.053"
"RABI","AGRICULTURE","Others","Others","Government Schemes","FARMER HAS REQUESTED TO ACTIVATE SMS SERVICE ON HIS MOBILE.","Registration process successfully completed.","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 15:26:04.977"
"RABI","AGRICULTURE","Others","Others","Weather","Weather Report","Partly cloudy, not Possibility of Rainfall","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-01 16:04:19.840"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","Disease Attack- Blight Attack?","Blue copper -40 gm+  humic acid 30 ml /15 lit water.","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 16:29:03.757"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather report ?","Partly cloudy and no possibility of rain","MAHARASHTRA","HINGOLI","AUNDHA  NAGNATH","2014-11-01 16:52:17.870"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","fertilizer info.","19;19;19   wa[par kara","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 16:54:38.190"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","Partly cloudy no possibility of rain","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 16:55:19.320"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Sucking Pest?","????? 5 ????? + ????? 15 ???? ????? ?? ???? ????","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-01 17:20:09.973"
"RABI","AGRICULTURE","Others","Others","Weather","Weather Report  .","cloudy weather ,  no chances of rainfall","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-01 17:42:20.323"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","Attack  Stem Borer?","Spray Nuwan 15ml/ 15Lit of Water.","MAHARASHTRA","HINGOLI","BASMAT","2014-11-01 18:34:10.040"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Disease Attack-
Blight Attack?","Blue copper - 40 gm/15 lit water .","MAHARASHTRA","HINGOLI","KALAMNURI                                         ","2014-11-01 19:10:03.670"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","weather in  hingoli ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-02 08:17:41.377"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","weather in  hingoli ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-02 08:17:42.830"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER , NO RAIN CHANCES","MAHARASHTRA","HINGOLI","BASMAT","2014-11-02 08:48:45.200"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","fertilizer info.","00;52;34  wapar kara","MAHARASHTRA","HINGOLI","BASMAT","2014-11-02 09:21:08.793"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","SMS ACTIVATION","YOUR SMS ACTIVATION IS DIACTIVATED","MAHARASHTRA","HINGOLI","AUNDHA  NAGNATH","2014-11-02 10:04:04.940"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","cloudy weather ,  no chances of rainfall","MAHARASHTRA","HINGOLI","AUNDHA  NAGNATH","2014-11-02 10:06:30.310"
"RABI","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","wilt on acid lime?","blue coper 2.5 gram/liter chi alavani karavi","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-02 10:22:25.680"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","kand kuj?","blue coper+quinolphos 2 ml/literc hci alavani karavi","MAHARASHTRA","HINGOLI","BASMAT","2014-11-02 10:49:25.667"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","attack of caterpillar on tur","spray profex supar 30 ml / 15 liter of water for controlling caterpillar on tur","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-02 11:19:55.870"
"KHARIF","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT","VARIETY OF WHEAT  - TAPOVAN , TRABAK, HD-2189,","MAHARASHTRA","HINGOLI","BASMAT","2014-11-02 12:59:18.070"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","Govt. Schemes?","50-60 % subsidies, loan pls visit nearer nationalised bank.","MAHARASHTRA","HINGOLI","KALAMNURI                                         ","2014-11-02 14:02:26.987"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Leaf Eating Caterpillar ?","Spray Polo 5gm /15 Lit of Water.","MAHARASHTRA","HINGOLI","BASMAT","2014-11-02 14:14:55.057"
"RABI","AGRICULTURE","Others","Others","Market Information","Asked About SMS Activation ?","Your Registration process successfully completed","MAHARASHTRA","HINGOLI","BASMAT","2014-11-02 14:16:34.983"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","ONION VARITIES?","ONION VARITIES ARE N 2- 4- 1, BHIMA KIRAN, BHIMA SHAKTI, AGRIFOUND LIGHT RED, PHULE SAFED","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-02 14:36:56.430"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","fertilizer dose for cotton","apply DAP 1 bag + magnesium sulphate 10 kg per pump","MAHARASHTRA","HINGOLI","BASMAT","2014-11-02 15:04:48.010"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Fertilizer Use and Availability","fertilizer dose?","SPRAY 00:52:34 –60 GRAM + MICROLA –40 ML IN 15 LIT OF WATER","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-02 15:12:50.137"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","cloudy weather ,  no chances of rainfall","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-02 15:57:30.530"
"RABI","AGRICULTURE","Others","Others","Government Schemes","crop insuraqnce ?","guide to visit TAO.","MAHARASHTRA","HINGOLI","KALAMNURI                                         ","2014-11-02 16:58:47.310"
"KHARIF","HORTICULTURE","Vegetables","","Vegetative Propagation and Tissue Culture","variety of watermilon","sugarbaby, sugarquin","MAHARASHTRA","HINGOLI","BASMAT","2014-11-02 18:16:13.477"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","Leaf Eating Caterpillar ?","Spray fame 5ml/15 Lit of Water.","MAHARASHTRA","HINGOLI","BASMAT","2014-11-03 07:59:40.133"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather report ?","Partly cloudy, no chances of rain","MAHARASHTRA","HINGOLI","BASMAT","2014-11-03 08:13:59.960"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","fertilizer info.","19;19;19  wapar kara","MAHARASHTRA","HINGOLI","BASMAT","2014-11-03 08:28:40.427"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","Leaf Eating Caterpillar ?","Spray Profex Super 30 ml / 15 lit of water","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-03 08:29:36.890"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER , NO RAIN CHANCES","MAHARASHTRA","HINGOLI","BASMAT","2014-11-03 08:45:52.283"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","ask about variety of gram?","digvijay , virat, vikas","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-03 08:47:56.103"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","BLIGHT ON TURMARIC","BLUE COPPER 30 GM /15 LITER WATER SPRAY","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-03 09:22:21.840"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","ATTACK OF BLIGHT?","SPRAY CONFIDOR /  ASTRA 5 GRAM+ 19:19:19 / 00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-03 09:42:50.173"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","fertilizer info.","00;52;34  wapar kara","MAHARASHTRA","HINGOLI","AUNDHA  NAGNATH","2014-11-03 10:04:45.453"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","LEAF CURL ON COTTON","LEAF CURL ON COTTON  - ACTRA 5 GM + REDOMIL GOLD 30 GM /15 LITER WAFTER SPRAY","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-11-03 10:12:48.350"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","mar","Humic Acid 30ml+ m-45 20 gm+ 19:19:19 50 gm/15 Lit of Water Drenching.","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-11-03 11:05:29.220"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER , NO RAIN CHANCES","MAHARASHTRA","HINGOLI","BASMAT","2014-11-03 11:16:08.303"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked About Weather  Forecast?","?? ???? ??????? ??? , ??????? ??????  ????","MAHARASHTRA","HINGOLI","BASMAT","2014-11-03 12:48:42.080"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","fertilize info","00;52;34  wapar kara","MAHARASHTRA","HINGOLI","AUNDHA  NAGNATH","2014-11-03 12:50:06.740"
