"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","Flower Drop?","Spray Boom flower 20ml/15lit of Water.","MAHARASHTRA","OSMANABAD","PARANDA                                           ","2014-11-01 06:29:37.280"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","nutrients for bud development?","spray 0 52 34  -  50 gram  / 15 litre water","MAHARASHTRA","OSMANABAD","KALAMB","2014-11-01 07:17:34.367"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy weather Possibility of High to Medium Rainfall","MAHARASHTRA","OSMANABAD","OSMANABAD                                         ","2014-11-01 09:00:52.030"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER IN OSMANABAD ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","OSMANABAD","PARANDA                                           ","2014-11-01 09:58:07.463"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER IN OSMANABAD ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","OSMANABAD","PARANDA                                           ","2014-11-01 09:58:08.400"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Fungus Attack?","Spray Actra 5 gm/15 Lit of Water.+ Spray Bavistine 30gm/15lit of Water.","MAHARASHTRA","OSMANABAD","BHOOM                                             ","2014-11-01 10:13:12.800"
"RABI","AGRICULTURE","Others","Others","Weather","regarding registration for sms scheme","your registration is successful for   kisan sms portal","MAHARASHTRA","OSMANABAD","KALAMB","2014-11-01 11:23:07.617"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Report?","Partly cloudy weather and light rain","MAHARASHTRA","OSMANABAD","KALAMB","2014-11-01 11:59:25.270"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Reporting","coww diesease?","visit animal husbandry doctor","MAHARASHTRA","OSMANABAD","OSMANABAD                                         ","2014-11-01 12:06:08.887"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER IN  OSMANABAD ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","OSMANABAD","PARANDA                                           ","2014-11-01 12:10:10.277"
