"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation?","Your SMS  Registration process successfully completed","MAHARASHTRA","PARBHANI","GANGAKHED                                         ","2014-11-01 07:14:40.090"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","FOR GROWTH OF ONION VEGETABLE CROP?","SPRAY 19:19:19 50 GRAM + MICROLLA 30 MILI + HUMIC ACID 30 MILI IN 15 LIT OF WATER","MAHARASHTRA","PARBHANI","MANWAT","2014-11-01 08:02:51.990"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","Market Information","MARKET RATE OF SOYABEAN","MARKET RATE OF SOYABEAN  -  PIVLA PARBHANI QUINTAL 917 3350 3200 3300","MAHARASHTRA","PARBHANI","JINTUR                                            ","2014-11-01 08:57:40.697"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","asked about market rate of cotton ?","RS 3950-4025/qtl deulgaon raja cotton market","MAHARASHTRA","PARBHANI","SAILU","2014-11-01 10:21:29.690"
"RABI","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","fungs attak?","Spray Redomil Gold 30gm/15Lit of Water.","MAHARASHTRA","PARBHANI","PALAM                                             ","2014-11-01 10:38:12.407"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","SMS ACTIVATION","YOUR SMS ACTIVATION IS COMPLETED","MAHARASHTRA","PARBHANI","MANWAT","2014-11-01 10:56:38.740"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","WEATHER IN  PARBAHNI ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","PARBHANI","PARBHANI                                          ","2014-11-01 11:02:55.820"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ATTACK OF SUCKING PEST?","SPRAY CONFIDOR /  ASTRA 5 GRAM+ 19:19:19 / 00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER","MAHARASHTRA","PARBHANI","MANWAT","2014-11-01 11:15:10.850"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","mealy bug on sugarcane?","spray Chloropyriphos  30 ml /15 Lit of Water.","MAHARASHTRA","PARBHANI","PATHRI                                            ","2014-11-01 11:29:07.910"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","flowering in tur?","spray boomflower 20 mili + boran 20 gm  / 15 litre water","MAHARASHTRA","PARBHANI","GANGAKHED                                         ","2014-11-01 12:13:54.087"
