"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Attack of White Grub ?","Use Fertera 4 kg /acre / Regent 4 kg / acre.","MAHARASHTRA","PUNE","INDAPUR                                           ","2014-11-01 06:31:27.330"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked about weather forecasting?","Partly cloudy no possibility of rain","MAHARASHTRA","PUNE","PURANDAR","2014-11-01 08:39:34.473"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Agriculture Mechanization","spray for growth of coriender","SPRAY FOR GROWTH OF COTTON - 60 GM 19:19:19 +30 ML MICROLA / 15 LIT OF WATER","MAHARASHTRA","PUNE","JUNNAR                                            ","2014-11-01 08:42:42.073"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","fertilizer for coconut","19;19;19 60 gm + microla 30 ml + humic acid 30 ml /15 liter water drenchi ng","MAHARASHTRA","PUNE","PURANDAR","2014-11-01 08:46:40.643"
"RABI","AGRICULTURE","Others","Others","Government Schemes","asked about agriculture website ( for market rate of commodity  )","http://www.msamb.com","MAHARASHTRA","PUNE","JUNNAR                                            ","2014-11-01 08:49:31.453"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","GOVT. SKIM FOR WELL","GOVT. SKIM FOR WELL  - 60,000 RS / 100 % SUBSEEDI","MAHARASHTRA","PUNE","PURANDAR","2014-11-01 09:05:16.540"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER IN PUNE ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","PUNE","BHOR                                              ","2014-11-01 09:32:30.920"
"KHARIF","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","for growth of cowpea?","spray 19:19:19 50 gram + microlla 30 mili + humic acid 30 mili + radomild gold 30 gram in 15 lit of water","MAHARASHTRA","PUNE","BHOR                                              ","2014-11-01 09:49:39.233"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","fertilizer dose for onion","fertilizer dose for onion- apply 1 bag dap + 35 kg mop 25 kg urea /acre","MAHARASHTRA","PUNE","BARAMATI                                          ","2014-11-01 10:25:55.307"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Agriculture Mechanization","fertilizer dose for maize","fertilizer dose for maize - apply 1 bag urea + 2 1/2 bag ssp + 35 kg mop /acre","MAHARASHTRA","PUNE","INDAPUR                                           ","2014-11-01 10:37:17.080"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Market Information","brinjal market rate?","brinjal market rate .... 1700 - 2000 R s/ Quintal","MAHARASHTRA","PUNE","PURANDAR","2014-11-01 10:48:17.797"
"RABI","HORTICULTURE","Flowers","Tuberose","Fertilizer Use and Availability","fertilizer dose","2 bag 10:26:26+ 1 bag urea","MAHARASHTRA","PUNE","SHIRUR                                            ","2014-11-01 12:32:38.950"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","Asked About SMS Activation?","Your SMS Registration process successfully completed.","MAHARASHTRA","PUNE","HAVELI                                            ","2014-11-01 14:55:58.307"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","blight on onion?","?????/ ???/ ????? 30 ?????/15 ???? ??????????? ???? ?????? ?????.
Spray Tilt 30gm/15 Lit of Water.","MAHARASHTRA","PUNE","JUNNAR                                            ","2014-11-01 15:01:06.827"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","fertilizer","10 26 26+urea","MAHARASHTRA","PUNE","SHIRUR                                            ","2014-11-01 16:22:01.733"
