"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","Asked About SMS Activation?","Your SMS Registration process successfully completed.","MAHARASHTRA","RAIGARH","PANVEL                                            ","2014-11-01 10:58:12.333"
"RABI","AGRICULTURE","Others","Others","Government Schemes","asked about Agrone Exhibition date ?","Agrone Exhibition date - 12 December 2014","MAHARASHTRA","RAIGARH","MAHAD                                             ","2014-11-02 10:40:19.207"
"KHARIF","AGRICULTURE","Others","Others","Weather","Govt. Schemes Drip Irrigation subsidies
?","50-60 % subsidies, guide to visit TAO.","MAHARASHTRA","RAIGARH","KHALAPUR                                          ","2014-11-03 20:25:58.317"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy weather Possibility of High to Medium Rainfall","MAHARASHTRA","RAIGARH","PANVEL                                            ","2014-11-05 10:42:12.857"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report","Cloudy weather,no possibility of rainfall.","MAHARASHTRA","RAIGARH","PEN                                               ","2014-11-06 08:25:52.163"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","INFORMATION ABOUT MUSHROOM CULTIVATION?","GIVEN","MAHARASHTRA","RAIGARH","SHRIVARDHAN","2014-11-09 15:14:18.050"
"RABI","AGRICULTURE","Others","Others","Government Schemes","deactivation of sms service","KISSAN STOP-51969","MAHARASHTRA","RAIGARH","ALIBAG                                            ","2014-11-12 14:18:57.767"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","SMS Activation-","Sms scheme is activated successfully","MAHARASHTRA","RAIGARH","SUDHAGAD                                          ","2014-11-12 14:57:42.613"
"RABI","AGRICULTURE","Others","Others","Weather","Todays weather condition in raigad","Todays weather condition in raigad is 
Partly cloudy, possible thunderstorms with rain
Precip chance: 51%
Humidity: 58%","MAHARASHTRA","RAIGARH","PANVEL                                            ","2014-11-14 15:55:57.077"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","Sucking Pest?","Spray Karate 15ml /15 Lit of Water.","MAHARASHTRA","RAIGARH","ALIBAG                                            ","2014-11-15 17:27:29.710"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","sucking pest ?","Spray Rogar 15ml/15 Lit of Water.","MAHARASHTRA","RAIGARH","ALIBAG                                            ","2014-11-15 17:37:05.923"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","soil survay ?","25 -30 cm in deep to collect the soil","MAHARASHTRA","RAIGARH","PANVEL                                            ","2014-11-16 08:47:29.387"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Shoot Borer Attack?","Spray Nuwan 20ml/15Lit of Water.","MAHARASHTRA","RAIGARH","MAHAD                                             ","2014-11-16 21:23:45.943"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Agriculture Mechanization","planting time of bitter gourd","planting time of bitter gourd -jan -feb","MAHARASHTRA","RAIGARH","PEN                                               ","2014-11-19 09:05:48.050"
"RABI","AGRICULTURE","Others","Others","Government Schemes","asked about govt schemes?","pls visit nearer nationalised bank","MAHARASHTRA","RAIGARH","POLADPUR                                          ","2014-11-19 10:04:08.320"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","seed treatment for bitter gourd?","apply 2 gram bavistin 1 kg seed for funguse control","MAHARASHTRA","RAIGARH","PEN                                               ","2014-11-19 10:27:14.473"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","Asked About SMS Activation?","Your SMS  Registration process successfully completed","MAHARASHTRA","RAIGARH","ALIBAG                                            ","2014-11-19 18:43:48.437"
"RABI","HORTICULTURE","Fruits","Lemon","	Plant Protection	","attack of sucking pest on lemon ?","spray actra 5gm + M-45 40gm / 15 liter of water for controlling sucking  on lemon","MAHARASHTRA","RAIGARH","PEN                                               ","2014-11-20 15:44:58.880"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","Asked About SMS Activation?","Your SMS  Registration process successfully completed","MAHARASHTRA","RAIGARH","MAHAD                                             ","2014-11-21 14:50:02.430"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","contact no . of shetakari magzine","?????? ?????,
???? ?????????,?.??.,""???? ???""
?????????,
???? ??? ???
??? ??.-???/???????","MAHARASHTRA","RAIGARH","URAN                                              ","2014-11-22 12:23:25.063"
"KHARIF","AGRICULTURE","Millets","Buck Wheat (Kaspat)","	Plant Protection	","Asked About Weather report","Partly cloudy, possibility of light  rain up to 18 nov","MAHARASHTRA","RAIGARH","URAN                                              ","2014-11-22 12:34:46.763"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","variety?","paddy - karjat -1,2,3,4,5,6,indrayani","MAHARASHTRA","RAIGARH","URAN                                              ","2014-11-22 12:57:07.727"
"RABI","AGRICULTURE","Others","Others","Weather","weather info.","Today’s weather-partly cloudy, possibility of rain","MAHARASHTRA","RAIGARH","SHRIVARDHAN","2014-11-24 11:08:58.153"
"RABI","HORTICULTURE","Fruits","Mango","Fertilizer Use and Availability","fertilizer?","use 19:19:19 2 kg + microlla 1 lit + magnesium sulphate 2 kg + zinc sulphate 2 kg + boron 2 kg / acre.","MAHARASHTRA","RAIGARH","MHASALA","2014-11-24 17:54:17.510"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","Caterpillar Attack?","Spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","RAIGARH","ALIBAG                                            ","2014-11-25 07:35:51.470"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Thrips Attack ?","Spray Actra 5 gm/15 Lit of Water.","MAHARASHTRA","RAIGARH","PEN                                               ","2014-11-25 12:56:30.430"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Cultural Practices","herbicide?","not recamanded","MAHARASHTRA","RAIGARH","KHALAPUR                                          ","2014-11-26 17:22:25.570"
"RABI","AGRICULTURE","Others","Others","Weather","farmer had enquired about Weather information?","according to weather report there will be clear weather with no rain","MAHARASHTRA","RAIGARH","ROHA                                              ","2014-11-27 10:18:34.547"
"RABI","AGRICULTURE","Others","Others","Weather","sms registration ?","sms scheme is registered on your mobile number","MAHARASHTRA","RAIGARH","MAHAD                                             ","2014-11-28 10:01:45.553"
"RABI","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER FORCAST?","Weather is Partly cloudy ,not possibility of rain","MAHARASHTRA","RAIGARH","ROHA                                              ","2014-11-28 10:23:03.673"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Powdery Mildew Attack?","spary  REDOMIL GOLD 30gm /15Lit of Water.","MAHARASHTRA","RAIGARH","ROHA                                              ","2014-11-28 10:35:12.797"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER , NO RAIN  CHANCES","MAHARASHTRA","RAIGARH","ALIBAG                                            ","2014-11-28 12:03:56.157"
"RABI","HORTICULTURE","Flowers","Chrysanthemum","Agriculture Mechanization","chrysanthemum VARITIES?","Varieties
Standard types: Bonfire Orange, Bonfire Yellow.
Spray types: Reagan Yellow, Reagan White, Nanako, etc.,","MAHARASHTRA","RAIGARH","ALIBAG                                            ","2014-11-28 12:14:33.387"
