"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Custard Apple","Fertilizer Use and Availability","SIZE IMPROVEMENT OF CUSTARD APPLE?","SPRAY 00:52:34 60 GM + M 45 30 GM + MICROLLA 30 ML / 15 LIT OF WATER","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-12-02 10:45:31.900"
"RABI","AGRICULTURE","Others","Others","Weather","farmer has asked about current weather condition of his tashil?","?????? ?????  - ???? ??????? ?????, ??????? ?????? ????","MAHARASHTRA","RATNAGIRI","CHIPALUN","2014-12-02 21:52:10.297"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","Flower Drop","Spray Boom flower 20ml/15lit of Water.","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-12-05 07:09:00.020"
"KHARIF","HORTICULTURE","Vegetables","Watermelon","	Plant Protection	","INTERCROP","INTERCROP  - CORINDER , CABBAGE, CAULIFLOWER","MAHARASHTRA","RATNAGIRI","RAJAPUR                                           ","2014-12-05 09:03:41.020"
"JAYAD","AGRICULTURE","Others","","	Field Preparation	","soil test lab?","soilratnagiri@gmail.com
ssstl.ratnagiri@agri.maharashtra.gov.i
n
02352-222228","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-12-05 18:07:24.080"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Leaf Eating Caterpillar?","Spray Coragen 5ml/15 Lit of Water.","MAHARASHTRA","RATNAGIRI","KHED                                              ","2014-12-05 19:25:19.017"
"RABI","HORTICULTURE","Fruits","Sapota","Agriculture Mechanization","sapota propagation","sapota propagation -air layring , soft wood grafting , approach grafting","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-12-06 10:32:10.377"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Govt. Schemes-","guide to visit TAO.","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-12-06 10:48:29.983"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","COW BREED ?","COW BREED - GIR HOSTEN FRIJON","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-12-08 11:21:51.397"
"RABI","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER FORCAST?","Weather is Partly cloudy ,not possibility of rain","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-12-08 15:00:05.260"
"RABI","AGRICULTURE","Others","Others","Government Schemes","SMS Activation","Your SMS Service has been activated","MAHARASHTRA","RATNAGIRI","LANJA                                             ","2014-12-09 14:45:17.807"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ATTACK OF ROOT ROT?","DREANCHING OF BAVISTIN ----30 GRAM   + HUMIC ACID ---- 50 ML IN 15 LIT OF WATER","MAHARASHTRA","RATNAGIRI","LANJA                                             ","2014-12-09 15:51:14.417"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation ?","Your Registration process successfully completed","MAHARASHTRA","RATNAGIRI","SANGMESHWAR","2014-12-11 10:36:14.367"
"RABI","AGRICULTURE","Others","Others","Weather","Asking about weather forecast","Partly cloudy,,No Possibility of Rain","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-12-12 14:43:07.347"
"RABI","AGRICULTURE","Others","Others","Weather","Asked about weather forecasting?","Partly cloudy and possibility of light rain","MAHARASHTRA","RATNAGIRI","CHIPALUN","2014-12-15 09:08:08.800"
"RABI","HORTICULTURE","Vegetables","Drum Stick","Seeds and Planting Material","Drumstick-","Drumstick- Kokan Ruchira , Co-1, PKM-1 , Pratik -1.-","MAHARASHTRA","RATNAGIRI","LANJA                                             ","2014-12-17 15:20:28.423"
"RABI","AGRICULTURE","Others","Others","Government Schemes","SMS Dectivation-","KISSAN STOP ????? ???? ???? ????? ????? ?????????? ?? ???? ???? ????? ????? .","MAHARASHTRA","RATNAGIRI","LANJA                                             ","2014-12-18 17:25:32.000"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","attack of nematode in banana ?","drenching nemazol for controlling nematode in banana","MAHARASHTRA","RATNAGIRI","CHIPALUN","2014-12-18 21:35:05.403"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Caterpillar Attack ?","Spary profex super 30 ml / 15 liter of water.","MAHARASHTRA","RATNAGIRI","SANGMESHWAR","2014-12-21 08:37:53.453"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report?","cloudy and there are no possibility of rains.","MAHARASHTRA","RATNAGIRI","LANJA                                             ","2014-12-21 13:09:19.137"
"RABI","AGRICULTURE","Others","Others","Government Schemes","sms scheme activation?","Your SMS Registration process successfully completed.","MAHARASHTRA","RATNAGIRI","LANJA                                             ","2014-12-21 15:31:09.013"
