"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","SATARA","WAI","2014-11-01 06:59:36.957"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","seed treatment for sugarcane ?","seed treatment for sugarcane- dip in bavistin 100gm + malathion 300 ml in 100 liter of water for 10 minuts before plantation","MAHARASHTRA","SATARA","KOREGAON","2014-11-01 07:42:44.880"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy weather Possibility of High to Medium Rainfall","MAHARASHTRA","SATARA","PHALTAN","2014-11-01 09:21:11.670"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ferttilizer dose","2 bag 10:26:26+ 1 bag urea +10 kg amonium sulphate + 10 kg zink sulphate + nimboli ark","MAHARASHTRA","SATARA","KARAD","2014-11-01 10:50:18.217"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy weather Possibility of High to Medium Rainfall","MAHARASHTRA","SATARA","PHALTAN","2014-11-01 12:47:31.523"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","blight on ginger?","Spray Redomil Gold 30gm/15Lit of Water.
?????/ ???/ ????? 30 ?????/15 ???? ??????????? ???? ?????? ?????.
Spray Tilt 30gm/15 Lit of Water.","MAHARASHTRA","SATARA","KOREGAON","2014-11-01 13:08:09.503"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","attack of blight on ginger ?","spray redomil gold 30 gm / 15 liter of water for ginger","MAHARASHTRA","SATARA","KOREGAON","2014-11-01 13:22:02.837"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Report","cloudy weather ,  no chances of rainfall","MAHARASHTRA","SATARA","MAN","2014-11-01 13:57:21.013"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","Shoot Borer Attack?","spray Chloropyriphos 30ml + M45 30 GM + HUMIC ACID 30 ML/15 Lit of Water. 	Phorate 10G 10kg/Acre Application.","MAHARASHTRA","SATARA","MAN","2014-11-01 15:22:05.280"
"RABI","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","	Plant Protection	","herbicide application","spraying of 2 4 d","MAHARASHTRA","SATARA","MAN","2014-11-01 15:28:49.233"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","zukenia all cultivation managemnt","info given","MAHARASHTRA","SATARA","KHATAV","2014-11-01 15:39:19.970"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","seed treatment in onion?","bavistinchi madhye budvun lavave","MAHARASHTRA","SATARA","SATARA","2014-11-01 16:49:31.427"
"RABI","AGRICULTURE","Others","Others","Weather","Asked about Weather report ?","Partly claudy, no Chances of rain on today.","MAHARASHTRA","SATARA","KHATAV","2014-11-01 17:52:14.457"
