"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","attack of mite ?","omite 5 mi / 15 lit of water","MAHARASHTRA","THANE","AMBERNATH                                         ","2014-11-03 10:02:55.290"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","SMS ACTIVATION","YOUR SMS ACTIVATION IS COMPLETED","MAHARASHTRA","THANE","PALGHAR                                           ","2014-11-03 17:39:29.190"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation ?","Sms scheme is activated successfully","MAHARASHTRA","THANE","KALYAN                                            ","2014-11-04 12:27:27.617"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","fertilizer dose for onion","fertilizer dose for onion- apply 1 bag dap + 35 kg mop 25 kg urea /acre","MAHARASHTRA","THANE","MURBAD                                            ","2014-11-04 21:26:03.160"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","fertilizer dose?","SPRAY 19:19:19 100 GM WITH MICROLLA 30 ML IN 10 LTR OF WATER","MAHARASHTRA","THANE","PALGHAR                                           ","2014-11-06 09:36:40.303"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather  Forecast?","Cloudy weather,no possibility of rainfall.","MAHARASHTRA","THANE","JAWHAR                                            ","2014-11-06 10:21:34.983"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","Leaf Eating Caterpillar ?","Spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","THANE","WADA                                              ","2014-11-07 10:46:27.467"
"RABI","AGRICULTURE","Others","Others","Government Schemes",". Asked About SMS Activation?","Your SMS  Registration process successfully completed","MAHARASHTRA","THANE","DAHANU                                            ","2014-11-09 11:52:32.420"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","Powdery Mildew Attack?","Spray Redomil Gold 30gm/15Lit of Water.","MAHARASHTRA","THANE","VASAI                                             ","2014-11-11 08:58:35.520"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Fungus Attack?","Confidor 6ml/15 Lit of Water.+Spray Bavistine 30gm/15lit of Water.","MAHARASHTRA","THANE","PALGHAR                                           ","2014-11-12 08:34:23.887"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","ASKED ABOUT POMOGRANET FERTILIZER DOSES ?","Spray Microlla 30 ml/15 Lit of Water.","MAHARASHTRA","THANE","DAHANU                                            ","2014-11-12 09:35:01.497"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Cattle shed Planning and Management","krushi vibhag","02148-226617","MAHARASHTRA","THANE","TALASARI                                          ","2014-11-12 10:23:40.273"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","froad kcc?","paise bharu naka","MAHARASHTRA","THANE","AMBERNATH                                         ","2014-11-12 19:21:38.630"
"RABI","HORTICULTURE","Fruits","Banana","Water Management, Micro Irrigation","water requirement for banana","water requirement for banana in novembar 4 liter per hour per plant","MAHARASHTRA","THANE","PALGHAR                                           ","2014-11-13 11:18:13.937"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather  Forecast?","Cloudy weather, possibility of rainfall.","MAHARASHTRA","THANE","AMBERNATH                                         ","2014-11-13 11:30:55.430"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","FERTILIZE3R FOR BRINJAL","FERTILIZE3R FOR BRINJAL  - 19;19;19 60 GM + MICROLA 30 ML + HUMIC ACID 30 ML /15 LITER WATER SPRAY","MAHARASHTRA","THANE","MOKHADA                                           ","2014-11-13 12:41:11.467"
"RABI","HORTICULTURE","Vegetables","Tomato","Fertilizer Use and Availability","fertilizer?","apply 19;19;19 + microlla","MAHARASHTRA","THANE","MOKHADA                                           ","2014-11-13 12:47:55.977"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Agriculture Mechanization","attack white grube on okra","white grube on okra -drenching lasenta 150 gm/acre","MAHARASHTRA","THANE","MURBAD                                            ","2014-11-13 13:41:24.087"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Govt.  Schemes ?","guide to visit TAO.","MAHARASHTRA","THANE","THANE                                             ","2014-11-13 15:58:34.523"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","ATTACK OF SUCKING PEST?","SPRAY 19:19:19 50 GRAM ?+ MICROLLA 30 MILI + HUMIC ACID 30 MILI IN 15 LIT OF WATER","MAHARASHTRA","THANE","AMBERNATH                                         ","2014-11-13 16:30:00.460"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","WILT ON TOMATO","WILT ON TOMATO  - BAVISTIN 30 GM  + HUMIC ACI D 30 ML /15 LITE RWATER DRENCHING","MAHARASHTRA","THANE","BHIWANDI","2014-11-14 10:28:17.547"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Asked about SMS Activation ?","Your Registration process successfully completed.","MAHARASHTRA","THANE","AMBERNATH                                         ","2014-11-14 12:44:16.603"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy weather Possibility of High to Medium Rainfall","MAHARASHTRA","THANE","KALYAN                                            ","2014-11-14 19:10:31.010"
