"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER IN WASHIUM  ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-11-01 08:41:35.603"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER IN WASHIUM  ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-11-01 08:41:36.553"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER IN WASHIUM  ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-11-01 08:41:37.620"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER IN  WASHIM ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-11-01 08:47:06.917"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER IN  WASHIM ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-11-01 08:47:07.477"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Fertilizer Use and Availability","Leaf Eating Caterpillar ?","Spray fame 5ml/15 Lit of Water.","MAHARASHTRA","WASHIM","MANORA                                            ","2014-11-01 09:26:36.697"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Shoot Borer Attack","Spray monocrotophos 15ml/15 Lit of Water.","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-11-01 09:52:11.700"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATON","CLOUDY WEATHER , NO RAIN CHNACES","MAHARASHTRA","WASHIM","RISOD                                             ","2014-11-01 10:54:26.990"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy weather Possibility of High to Medium Rainfall","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-11-01 11:56:55.250"
"RABI","AGRICULTURE","Oilseeds","Soybean (bhat)","Varieties","soybean variety for rabi season?","soybean variety for rabi season ..... vikram","MAHARASHTRA","WASHIM","RISOD                                             ","2014-11-01 12:05:05.543"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","Weather Report ?","Cloudy Weather no  possibility Rainfall.","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-11-01 12:56:40.117"
"RABI","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","Wilt","Apply ridomil gold 400 gm + humic acid 1 liter 100 liter of water","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-11-01 13:31:22.287"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","Leaf Eating Caterpillar?","spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","WASHIM","MANORA                                            ","2014-11-01 14:08:25.283"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","Leaf Eating Caterpillar?","spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","WASHIM","MANORA                                            ","2014-11-01 14:11:34.330"
"JAYAD","AGRICULTURE","Others","Others","Weather","Asked About Weather report ?","Partly cloudy and no possibility of rain","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-11-01 14:47:57.337"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","fertilizer","10 26 26+urea","MAHARASHTRA","WASHIM","WASHIM                                            ","2014-11-01 15:47:55.393"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","fertilizer dose of sugarcane ?","fertilizer dose of sugarcane - apply 10:26:26 2 bag + urea 1 bag / acre","MAHARASHTRA","WASHIM","WASHIM                                            ","2014-11-01 16:43:34.587"
"RABI","AGRICULTURE","Beekeeping","Beekeeping","Training and Exposure Visits","bee keeping?","contacat sarika madam 9423577196","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-11-01 16:50:46.450"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather Report ?","???? ?????? ?????  ----- ???? ??????? ??? ??? ??????? ?????? ???????  ??? ?? ??? ????????? .","MAHARASHTRA","WASHIM","RISOD                                             ","2014-11-01 16:53:16.373"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","gram variety?","vijay, jaki9218","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-11-01 18:58:12.417"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy weather Possibility of High to Medium Rainfall","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-11-01 19:48:53.913"
"RABI","AGRICULTURE","Others","Others","Weather","Weather Report  .","cloudy weather ,  no chances of rainfall","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-11-01 20:00:28.623"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","asked about varieties of gram ?","varieties of gram- Vijay ,digvijay, vishal","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-11-01 21:06:22.200"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","weather in  washim  ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","WASHIM","WASHIM                                            ","2014-11-02 07:57:05.757"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","Leaf Eating Caterpillar ?","Spray Proclaim 5gm/15lit of Water.","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-11-02 08:09:26.037"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","fungs attak?","Spray Redomil Gold 30gm/15Lit of Water.","MAHARASHTRA","WASHIM","MANORA                                            ","2014-11-02 09:31:40.623"
