"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","ASKING ABOUT THE CULTURAL PRACTICES OF POTATO.","DETAILS GIVEN(DIP THE CUT TUBER WITH DITHANE M45@2GM/LT OF WATER FOR 10 MIN)","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-04 13:21:52.390"
"KHARIF","ANIMAL HUSBANDRY","Animal","Dog","Disease Management","Asking about the medicine for dog","Advice-Albomar-10ml once daily at bed time x3 days. Trisoliv-10ml twice daily x 15 days. Zincovit-10ml once daily x30 days. Sinarest tab.- 1 tab. orally    s. o.s","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-07 09:14:30.253"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF STEM BORER IN MANGO.","SUGGESTED TO INJECT MONOCROTOPHOS IN BORE HOLE AND PLUG WITH MUD OR COTTON.","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-09 09:11:26.740"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF FRUIT ROT IN TOMATO.","SUGGESTED TO SPRAY DEFENOCONAZOLE 25% @1ML/LT OF WATER.","MANIPUR","IMPHAL WEST","IMPHAL WEST I                                     ","2014-12-09 13:59:29.240"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","AKING ABOUT THE CONTROL FOR VIRAL DISEASE IN CHILLI.","SUGGESTED TO SPRAY DIMETHOATE @2ML/LT OF WATER AT 15 DAYS OF INTERVAL.","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-09 15:11:30.583"
"KHARIF","ANIMAL HUSBANDRY","Animal","Goat","Disease Management","Asking about the medicine for goat","Advice- Bestozyme-5ml twice daily x15 days Novamox-7 mltwice daily x5 days","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-13 15:43:09.827"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-13 16:14:59.520"
"KHARIF","ANIMAL HUSBANDRY","Animal","Goat","Disease Management","Asking about the medicine for goat","Advice-Novamox-10ml twice daily x5 days.Reglan-5ml twice daily x3 days.","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-14 12:15:50.923"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF THRIPS IN ONION.","SUGGESTED CLEAN CULTIVATION,REGULAR HOEING,FLOODING OF INFESTED FIELD AND SPRAY DIMETHOATE 30 EC @1ML/LT OF WATER OR METHYL DEMETON @1ML/LT OF WATER EITH TEEPOL @0.5 ML.FOR CHILLI APPLIED CARBOFURAN 3G IN THE FIELD AT THE TIME OF TRANSPLANTING AND IN NURSERY TIME SPRAY CARBENDAZIM @ 1ML/LT OF WATER.","MANIPUR","IMPHAL WEST","IMPHAL WEST I                                     ","2014-12-14 16:03:11.217"
"RABI","HORTICULTURE","Vegetables","Cabbage","Bio-Pesticides and Bio-Fertilizers","Management of cabbage caterpillar.","I suggest him to spray liquid formulation of entomopathogenic fungi OH @ 10 ml per litre of water 3 times at 7 days interval.","MANIPUR","IMPHAL WEST","IMPHAL WEST I                                     ","2014-12-15 17:55:17.887"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","Management of cabbage caterpillar.","I suggest him to spray OH @ 10 ml per litre of water or Neem oil @ 5 ml per litre of water.","MANIPUR","IMPHAL WEST","IMPHAL WEST I                                     ","2014-12-15 17:57:09.180"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT THE PRECAUTION FOR FUNGAL DISEASE.","SUGGESTED TO DRENCH THE SOIL WITH CARBENDAZIM BRFORE PLANTING THE POTATO.","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-16 13:14:38.900"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF DIE BACK OR FRUIT ROT IN CHILLI.","SUGGESTED TO SPRAY DEFENOCONAZOLE 25% @1ML/LT OF WATER OR COPPER OXYCHLORIDE @2GM/LT OF WATER AT 15 DAYS OF INTERVAL.","MANIPUR","IMPHAL WEST","IMPHAL WEST I                                     ","2014-12-17 09:52:16.660"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING ABOUT THE DAMPING OFF IN BRINJAL.","SUGGESTED TO SPRAY COPPER OXYCHLORIDE @2.5GM/4 LT OF WATER.MICRONUTRIENTS-SPRAY TRICONTANOL PLUS SODIUM BORATE @1MG/LT OF WATER OR BORAX 35 MG/LT OF WATER AND 15 DAYS OF AFTER TRANSPLANTING AND AT THE TIME OF FULL BLOOM TO INCREASE THE YIELD.","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-18 11:30:09.680"
"RABI","HORTICULTURE","Vegetables","Others","Cultural Practices","ASKING ABOUT THE CULTURAL PRACTICES OF MESTA.","DETAILS GIVEN(TREAT THE SEED WITH CARBENDAZIM @ 1GM/KG OF SEED OR TRICODERMA VIRIDE @4GM/KG OF SEED OR OR PSEUDOMONAS FLUORESCENS @10 GM/KG OF SEED OR AZOSPIRILLUM @40GM/400GM OF SEED)","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-18 14:41:55.127"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","ASKING ABOUT THE CONTROL FOR FOG, EFFECT IN CORRIANDER AND SOIL BORN DISEASE FOR MESTA.","SUGGESTED TO SPRAY DIMETHYL SULPHOXIDE @75GM/1000 LT OF WATER, CYCOCEL @0.05 SULFURIC ACID=@1ML/LT OF WATER
GLUCOSE 0.5%(0.5GM/LT OF WATER).FOR MESTA(SHOUGRI) SOIL DRENCHING WITH CARBENDAZIM OR COPPER OXYCHLORIDE","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-21 15:08:14.013"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Query on mixing of pesticides with fertiliser.","Pesticides are mix with fertiliser only in some cases such as fertigation chamber, but it is usually not recomendaed because it may cause some chemical reaction which may be harmful to plants.","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-22 17:16:25.147"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","ASKING ABOUT THE FERT.USE AND AVAILABILITY FOR MUSTARD.","SUGGESTED TO APPLIED UREA 5 KG AND 5 KG AT 30 AND 60 DAYS.","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-24 13:30:03.890"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING ABOUT THE FERT.DOSE FOR CHILLI.","DETAILS GIVEN(FERT DOSE UREA 35KG,DAP 35 KG AND MOP 15 KG /SANGAM,HALF OF THE UREA AND FULL DOSE OF DAP AND MOP AT THE TIME OF FIELD PREPARATION AND HALF OF THE UREA TOP DRESSED AT 30 35 DAYS OF TRANSPLANTING).","MANIPUR","IMPHAL WEST","IMPHAL WEST I                                     ","2014-12-26 11:38:42.440"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the agricultural","Answer is transferred to Agri-expert","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-26 12:01:37.597"
"RABI","HORTICULTURE","Vegetables","Pumpkin","Cultural Practices","ASKING ABOUT THE CULTURAL PRACTICES OF PUMPKIN.","DETSILS GIVEN(VARIETY CO 1, CO 2, Arka suryamuki and Arka Chandan.SOWING June- July and December- January are suitable seasons FOR PUMPKIN).","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-26 12:09:02.480"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Market Information","ASKED ABOUT TRAINING ON DAIRY","ADVISED HIM TO CONTACT DAIRY DEVELOPMENT BOARD","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-28 14:32:15.193"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Asking about the medicine for poultry","Advice-Lixen powder-5gm/lit. of water daily x5 days. Vimeral-5ml/lit. of water","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-29 14:46:51.707"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","ASKING ABOUT THE VETY, PROBLEM.","SUGGESTED HIM CALL AFTER 10 AM.","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-30 08:46:00.623"
"RABI","HORTICULTURE","Vegetables","Cucumber","Cultural Practices","ASKING ABOUT THE VARIETY OF CUCUMBER ,BOTTLE GOURD AND PUMPKIN.","DETAILS GIVEN(CUCUMBER-Japanese Long Green, Straight Eight and Poinsettee.BOTTLE GOURD-PUSA NAVEEN, PUSA SUMMER PROLIFIC LONG OR Sharmjivi AND PUMPKIN-CO 1, CO 2, Arka suryamuki and Arka Chandan).SUGGESTED TO APPLY AZOSPIRILLUM AND PHOSPHOBACTERIA @2KG /HA SUCH AND PSEUDOMONAS 2.5 KG /HA ALONG WITH FYM 50 KG AND NEEM CAKE@100 KG BEFORE PLOUGHING.","MANIPUR","IMPHAL WEST","IMPHAL WEST II                                    ","2014-12-31 11:15:39.720"
