"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Cultural Practices","SEED TREATMENT","CARBENDAZIM 2GM/1KG OF SEEDS","ODISHA","BALANGIR","BANGOMUNDA                                        ","2014-11-02 15:23:03.590"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF EATING CARTER PILAR","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","BALANGIR","DEOGAON                                           ","2014-11-02 18:07:41.987"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","LEAF CURL","ABAMECTIN 1ML/1LITRE OF WATER","ODISHA","BALANGIR","AGALPUR                                           ","2014-11-03 20:19:49.377"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borer","SPINOSAD 1ML/3LITRES OF WATER","ODISHA","BALANGIR","DEOGAON                                           ","2014-11-04 13:59:20.830"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ROOT ROT","RIDOMIL MZ 2.5GM/1LITRE OF WATER","ODISHA","BALANGIR","AGALPUR                                           ","2014-11-04 15:57:51.150"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","THERE IS NO RAIN WITHIN 5DAYS AS PER IMD REPORT","ODISHA","BALANGIR","PATNAGARH                                         ","2014-11-04 17:14:56.820"
"RABI","AGRICULTURE","Others","Others","Government Schemes","REGARDING REGISTRATION","YOUR NAME HAS BEEN REGISTRED","ODISHA","BALANGIR","BALANGIR                                          ","2014-11-04 17:42:04.980"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","SUCKING PEST IN GROUNDNUT","RECOMMENDED FOR SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR SUCKING PEST IN GROUNDNUT .","ODISHA","BALANGIR","TITLAGARH                                         ","2014-11-05 17:43:55.873"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT IN PADDY","RECOMMENDED FOR SPRAY HEXACONOZOL 400ML/ 200 LIT WATER ACRE FOR CONTROL OF SHEATH BLIGHT IN PADDY.","ODISHA","BALANGIR","PATNAGARH                                         ","2014-11-05 18:19:44.350"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APHID  PEST IN PADDY","RECOMMENDED FOR SPRAY ACEPHETE 2GM/ LIT WATER FOR CONTROL OF APHID PEST IN PADDY.","ODISHA","BALANGIR","LOISINGA                                          ","2014-11-05 19:18:53.987"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BROWN PLANT HOPPER IN PADDY","RECOMMENDED TO SPRAY DADACEI 4ML/1 LITER OF WATER","ODISHA","BALANGIR","KHAPRAKHOL                                        ","2014-11-05 20:47:38.317"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","POTATO CULTIVATION","DETAIL PACKAGE OF PRACTICE EXPLAINED ABOUT POTATO CULTIVATION.","ODISHA","BALANGIR","DEOGAON                                           ","2014-11-06 06:27:42.257"
"RABI","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","FLOWER DROP IN COWPEA","RECOMMENDED FOR SPRAY PLANOFIX 1ML/ 5 LIT WATER FOR CONTROL OF FLOWER DROP IN COWPEA.","ODISHA","BALANGIR","BALANGIR                                          ","2014-11-06 06:38:13.640"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","POTATO CULTIVATION","DETAIL PACKAGE OF PRACTICE GIVEN OF POTATO CULTIVATION","ODISHA","BALANGIR","TITLAGARH                                         ","2014-11-06 08:44:48.037"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","RECOMMENDED FOR SPRAY FOSALIAN 2GM/ LIT WATER FOR CONTROL OF BPH IN PADDY.","ODISHA","BALANGIR","BALANGIR                                          ","2014-11-06 09:59:58.313"
"RABI","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","APHID PEST IN RIDGEGOURD","RECOMMENDED FOR SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST IN RIDGEGOURD.","ODISHA","BALANGIR","BANGOMUNDA                                        ","2014-11-06 12:09:45.783"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Government Schemes","MSP OF PADDY","Rs.1360/- PER QTL.","ODISHA","BALANGIR","PATNAGARH                                         ","2014-11-06 15:09:37.823"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ACABC","CONTACT DAO OFFICE","ODISHA","BALANGIR","BALANGIR                                          ","2014-11-06 15:59:10.903"
"RABI","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","FRUITS DROPS IN PUMPKIN","RECOMMENDED FOR SPRAY EITHREAL 4ML/ LIT WATER FOR CONTROL OF FRUIT DROPS IN PUMPKIN","ODISHA","BALANGIR","AGALPUR                                           ","2014-11-07 08:18:04.323"
"RABI","HORTICULTURE","Vegetables","Beans ","Fertilizer Use and Availability","FERTILIZER DOSE OF BEANS","RECOMMENDED FOR SPRAY NITROGEN-15KG, PHOSPHROUS -10KG AND POTASH 15 KG GIVEN FOR FERTILIZER DOSE OF BEANS.","ODISHA","BALANGIR","KHAPRAKHOL                                        ","2014-11-07 08:52:27.103"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","BALANGIR","PATNAGARH                                         ","2014-11-07 14:07:01.873"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","THERE IS NO RAIN WITHIN 24HOURS AS PER IMD REPORT","ODISHA","BALANGIR","KHAPRAKHOL                                        ","2014-11-07 15:21:35.563"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Government Schemes","MSP","Rs.1360/- PER QTL.","ODISHA","BALANGIR","AGALPUR                                           ","2014-11-07 17:51:58.670"
"RABI","HORTICULTURE","Flowers","Rose","Cultural Practices","FOR MORE FLOWER","BOOM FLOWER 2ML/1LITRE OF WATER","ODISHA","BALANGIR","TITLAGARH                                         ","2014-11-08 14:02:47.550"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GUNDHI BUG","MALATHEON 2ML/1LITRE OF WATER","ODISHA","BALANGIR","PATNAGARH                                         ","2014-11-08 16:21:58.970"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","HORMONE","MIRACULAN 1ML/1LITRE OF WATER","ODISHA","BALANGIR","MURIBAHAL                                         ","2014-11-08 20:49:06.503"
