"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","RECOMMENDED FOR SPRAY FOSALIAN 200ML/ 200 LIT WATER ACRE FOR CONTROL OF BPH IN PADDY.","ODISHA","BALASORE","REMUNA                                            ","2014-11-01 06:48:32.257"
"RABI","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","FISH FEEDING","CONTACT FISHERY OFFICER, BALASORE DIST.","ODISHA","BALASORE","BALESHWAR                                         ","2014-11-01 07:56:32.380"
"RABI","HORTICULTURE","Fruits","Banana","Cultural Practices","PROQUREMENT OF BANANA","CONTACT KRUSHIVIGYAN KENDRA, BALASORE DIST.","ODISHA","BALASORE","BHOGRAI                                           ","2014-11-01 10:26:43.807"
"RABI","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","ROOT ROT","RIDOMIL MZ 2.5GM/1LITRE OF WATER","ODISHA","BALASORE","BHOGRAI                                           ","2014-11-01 18:42:20.697"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Cultural Practices","PIT FILLING","500GM+ASH+CHLOROPYRIPHOS 50GM/PITCOMPOST FERTILISER 3KG+SALT 50KG+ORGANIC","ODISHA","BALASORE","BALESHWAR                                         ","2014-11-01 18:59:27.767"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","BETTER GROWTH AND YIELD IN PADDY","RECOMMENDED FOR SPRAY MULTI-K 7.5 GM/ LIT WATER FOR CONTROL OF BETTER GROWTH AND YIELD IN PADDY.","ODISHA","BALASORE","BASTA                                             ","2014-11-02 08:21:34.003"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLB in paddy","plantomycin 1gm + copper oxychloride 2gm + 1litre water","ODISHA","BALASORE","SIMULIA                                           ","2014-11-02 17:54:19.480"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","SPRAY OF UREA","SPRAY UREA 7GM/1LITRE OF WATER","ODISHA","BALASORE","SORO                                              ","2014-11-02 20:04:14.977"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER IN PADDY","RECOMMENDED FOR SPRAY QUANIALPHOUS 2ML/ LIT WATER FOR CONTROL OF STEM BORER IN PADDY.","ODISHA","BALASORE","BALESHWAR                                         ","2014-11-03 10:38:34.630"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APHID PEST IN PADDY","RECOMMENDED FOR SPRAY ACEPHETE 2GM/ LIT WATER FOR CONTROL OF APHID PEST IN PADDY.","ODISHA","BALASORE","BALIAPAL                                          ","2014-11-03 13:08:11.397"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PADDY BPH","RECOMMENDED TO SPRAYING WITH  ACEPHATE 75%SP @ 2G/LITRE OF WATER","ODISHA","BALASORE","BASTA                                             ","2014-11-03 20:43:51.857"
"RABI","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","FERTILISER DOSE","COW DUND 500GM + AMONIUM SULPHATE 50GM/PLANT","ODISHA","BALASORE","SIMULIA                                           ","2014-11-03 21:01:04.503"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Cultural Practices","VARIETIES","SWATI,SADHANA,CO 1,CO 2,CO 3.","ODISHA","BALASORE","BAHANAGA                                          ","2014-11-03 21:16:14.893"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","FOR BETTER GROWTH AND YIELD IN PADDY","RECOMMENDED FOR SPRAY MULTI-K 7.5 GM/ LIT WATER FOR  BETTER GROWTH AND YIELD IN PADDY.","ODISHA","BALASORE","KHAIRA                                            ","2014-11-04 16:18:03.193"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","BETTER GROWTH AND YIELD IN COTTON","RECOMMENDED FOR SPRAY MULTI-K 7.5 GM/ LIT WATER FOR  BETTER GROWTH AND YIELD IN COTTON.","ODISHA","BALASORE","BASTA                                             ","2014-11-04 18:18:19.010"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","LEAF CATTER PILLAR IN CAULIFLOWER","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CATTER PILLAR IN CAULIFLOWER.","ODISHA","BALASORE","SIMULIA                                           ","2014-11-04 18:35:04.603"
