"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","LEAF BURN DISEASES IN BITTER GOURD","RECOMMENDED FOR SPRAY MANCOZEAB 2GM/ LIT WATER FOR CONTROL OF LEAF BURN DISEASES IN BITTER GOURD.","ODISHA","BARGARH","SOHELLA                                           ","2014-11-01 09:48:58.247"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Grain discoluration of paddy","Recommended to spray carbendazim-Mancozeb(Saaf/Sixer) 2gm per litre of water to control Grain discoluration in paddy","ODISHA","BARGARH","SOHELLA                                           ","2014-11-01 10:22:08.637"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","RECOMMENDED FOR SPRAY FOSALAIN 20O ML/200 LIT WATER ACRE FOR CONTROL OF BPH IN PADDY.","ODISHA","BARGARH","PADAMPUR                                          ","2014-11-01 10:23:01.540"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","SUCKING PEST IN CHILLIE","RECOMMENDED FOR SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF SUCKING PEST IN CHILLIE.","ODISHA","BARGARH","AMBABHONA                                         ","2014-11-01 11:04:30.977"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","RAINFALL FORECAST IN BARAGARH DIST","NO RAINFALL OCCURS IN BARAGARH DIST UPTO 3RD NOVEMBER 2014","ODISHA","BARGARH","AMBABHONA                                         ","2014-11-01 11:10:38.337"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","gundhi bug","MALATHEON 2ML/1LITRE OF WATER","ODISHA","BARGARH","GAISILET                                          ","2014-11-01 16:05:57.990"
"RABI","HORTICULTURE","Vegetables","Tomato","Cultural Practices","FLOWER DROP","PLANOFIX 1ML/5LITRES OF WATER","ODISHA","BARGARH","JHARBANDH                                         ","2014-11-01 16:42:44.467"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","THERE IS NO RAIN WITHIN 5DAYS AS PER IMD REPORT","ODISHA","BARGARH","BIJEPUR                                           ","2014-11-01 17:10:03.527"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","THERE IS NO RAIN WITHIN 5DAYS AS PER IMD REPORT","ODISHA","BARGARH","SOHELLA                                           ","2014-11-01 20:56:25.090"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","HORMONE FOR SPRAY","MIRACULON 1ML/1LITRE OF WATER","ODISHA","BARGARH","PADAMPUR                                          ","2014-11-01 21:16:28.100"
