"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APHID PEST IN PADDY","RECOMMENDED FOR SPRAY TATAMIDA 1ML/3 LIT WATER FOR CONTROL OF APHID PEST IN PADDY.","ODISHA","BHADRAK","BHANDARIPOKHARI                                   ","2014-11-01 07:35:53.200"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Rice earhead bugs","Recommended to spray Malathion 50 EC or D.D.V.P 1ml per litre of water to control Rice earhead bugs","ODISHA","BHADRAK","BHADRAK                                           ","2014-11-01 08:24:10.553"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown plant hopper of paddy","Recommended to spray Acephate 75% SP 2gm per litre of water to control Brown plant hopper of paddy","ODISHA","BHADRAK","DHAMANAGAR                                        ","2014-11-01 08:27:02.650"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown plant hopper of paddy","Recommended to spray Triazophos 40% EC 2.5ml per litre of water to control Brown plant hopper of paddy","ODISHA","BHADRAK","BONTH                                             ","2014-11-01 08:30:49.840"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APHID PEST IN PADDY","RECOMMENDED FOR SPRAY ACEPHETE 400GM/ 200 LIT WATER ACRE FOR CONTROL OF APHID PEST IN PADDY.","ODISHA","BHADRAK","BHADRAK                                           ","2014-11-01 08:48:49.680"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","RECOMMENDED FOR SPRAY FOSALAIN 200ML/200 LIT WATER ACRE FORCONTROL OF BPH IN PADDY.","ODISHA","BHADRAK","BONTH                                             ","2014-11-02 07:50:04.007"
"RABI","HORTICULTURE","Vegetables","Dolichos Bean","	Plant Protection	","BETTER GROWTH AND YIELD IN DOLICHOUS BEAN","RECOMMENDED FOR SPRAY MULTI-K 7.5 GM/ LIT WATER FOR BETTER GROWTH AND YIELD IN DOLICHOUS BEAN.","ODISHA","BHADRAK","CHANDABALI                                        ","2014-11-03 10:57:47.637"
"RABI","HORTICULTURE","Vegetables","Mushroom","Cultural Practices","TRAINING","CONTACT OUAT PH NO 9938225087","ODISHA","BHADRAK","BONTH                                             ","2014-11-03 20:48:13.953"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown plant hopper of paddy","Recommended to spray Acephate 75% SP 2gm per litre of water to control Brown plant hopper of paddy","ODISHA","BHADRAK","TIHIDI                                            ","2014-11-04 09:13:19.350"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Market Information","REGARDING PURCHASE OF COW","CONTACT VAS OF YOUR BLOCK","ODISHA","BHADRAK","BASUDEVPUR                                        ","2014-11-04 16:28:25.880"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH","ACEPHATE 2GM/1LITRE OF WATER","ODISHA","BHADRAK","BASUDEVPUR                                        ","2014-11-04 17:00:57.550"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GUNDHI BUG","MALATHEON 2ML/1LITRE OF WATER","ODISHA","BHADRAK","BASUDEVPUR                                        ","2014-11-04 17:58:18.960"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","FERTILISER FOR SPRAY","MULTI K 5GM/1LITRE OF WATER","ODISHA","BHADRAK","TIHIDI                                            ","2014-11-04 18:55:27.113"
"RABI","AGRICULTURE","Others","Others","Government Schemes","REGARDING PURCHASE OF FARM MECHINARY","CONTACT DAO OFFICE","ODISHA","BHADRAK","BASUDEVPUR                                        ","2014-11-04 19:58:21.560"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","TIP BURN","MANCOZEB 3GM/1LITRE OF WATER","ODISHA","BHADRAK","BASUDEVPUR                                        ","2014-11-04 20:28:15.910"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ROOT ROT IN BRINJAL","RECOMMENDED FOR SPRAY SAAF 2GM/ LIT WATER FOR CONTROL OF ROOT ROT IN BRINJAL.","ODISHA","BHADRAK","BONTH                                             ","2014-11-05 15:19:31.913"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","WILTING DISEASES OF BRINJAL","RECOMMENDED FOR SPRAY COPPER OXICHLORIDE 30GM+ STREPTOCYCLIN 1.5 GM WITH 10 LIT WATER   FOR CONTROL OF WILTING DISEASES OF BRINJAL.","ODISHA","BHADRAK","BHANDARIPOKHARI                                   ","2014-11-05 16:12:02.217"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","POTATO CULTIVATION","DETAIL PACKAGE OF PRACTICE EXPLAINED ABOUT IN POTATO CULTIVATION.","ODISHA","BHADRAK","DHAMANAGAR                                        ","2014-11-05 20:18:56.067"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","APHID PEST IN MARIGOLD","RECOMMENDED FOR SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST  IN MARIGOLD.","ODISHA","BHADRAK","BONTH                                             ","2014-11-05 20:54:16.343"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF CATTERPILLAR IN PADDY","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CATTERPILLAR IN PADDY.","ODISHA","BHADRAK","BHADRAK                                           ","2014-11-05 21:38:50.050"
"RABI","HORTICULTURE","Fruits","Lemon","	Plant Protection	","SEED TREATMENT IN LEMON","RECOMMENDED FOR SPRAY CAPTAN 2GM/ LIT WATER FOR CONTROL OF SEED TREATMENT IN LEMON.","ODISHA","BHADRAK","BHADRAK                                           ","2014-11-06 08:40:11.610"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT IN PADDY","RECOMMENDED FOR SPRAY HEXACONOZOL 400ML/ 200 LIT WATER FOR CONTROL OF SHEATH BLIGHT IN PADDY.","ODISHA","BHADRAK","TIHIDI                                            ","2014-11-06 09:14:18.010"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","LEAF CURL IN BRINJAL","RECOMMENDED FOR SPRAY TRIZOPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CURL IN BRINJAL.","ODISHA","BHADRAK","BASUDEVPUR                                        ","2014-11-06 10:45:45.997"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","VITAMINE FOR SPRAY","AGROMIN GOLD 1ML/1LITRE OF WATER","ODISHA","BHADRAK","BONTH                                             ","2014-11-06 17:28:53.990"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","BHADRAK","TIHIDI                                            ","2014-11-06 19:03:25.087"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","WILTING DISEASES OF CHILLIE","RECOMMENDED FOR SPRAY COPPEROXICHLORIDE 30GM+ STREPTOCYCLIN 1.5GM WITH 10 LIT WATER SPRAY FOR CONTROL OF WILTING DISEASES OF CHILLIE.","ODISHA","BHADRAK","DHAMANAGAR                                        ","2014-11-07 06:50:11.727"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","RECOMMENDED FOR SPRAY FOSALAIN 200ML/ 200 LIT WATER ACRE FOR CONTROL OF BPH IN PADDY.","ODISHA","BHADRAK","BONTH                                             ","2014-11-07 07:03:55.357"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","COCONUT CULTIVATION","DETAIL PACKAGE OF PRACTICE EXPLAINED ABOUT COCONUT CULTIVATION.","ODISHA","BHADRAK","BONTH                                             ","2014-11-07 10:16:21.470"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","FRUIT DROPS IN COCONUT","RECOMMENDED FOR APPLY DAP-700GM, UREA-400GM, POTASH -600GM AND COWDUNG 7 CARTOONS GIVEN FOR CONTROL OF FRUIT DROPS IN COCONUT.","ODISHA","BHADRAK","BHANDARIPOKHARI                                   ","2014-11-07 12:28:56.710"
"RABI","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","POND MANAGEMENT","CONTACT EXPERT","ODISHA","BHADRAK","BHANDARIPOKHARI                                   ","2014-11-07 15:15:49.980"
"RABI","AGRICULTURE","Others","Others","Government Schemes","SUBSIDY","CONTACT AHO OF YOUR BLOCK","ODISHA","BHADRAK","BHADRAK                                           ","2014-11-07 19:13:32.577"
"RABI","HORTICULTURE","Vegetables","Leafy Vegetable","Cultural Practices","SOWING METHOD","WET 10HOURS BEFORE BROADCASTING","ODISHA","BHADRAK","CHANDABALI                                        ","2014-11-07 19:56:40.810"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","APHID PEST IN MARIGOLD","RECOMMENDED FOR SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST IN MARIGOLD .","ODISHA","BHADRAK","BHADRAK                                           ","2014-11-08 08:00:58.130"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","LEAF CATTER PILLAR IN BRINJAL","RECOMMENDED FOR SPRAY TATAMIDA 1ML/ 3LIT WATER FOR CONTROL OF LEAF CATTERPILLAR IN BRINJAL.","ODISHA","BHADRAK","CHANDABALI                                        ","2014-11-08 10:07:43.800"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH","BUPROFEZIN 2ML/1LITRE OF WATER","ODISHA","BHADRAK","BHANDARIPOKHARI                                   ","2014-11-08 16:45:58.457"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","VITAMINE","AGROMIN GOLD 200ML/ACRE","ODISHA","BHADRAK","CHANDABALI                                        ","2014-11-08 17:56:49.613"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH","BUPROFEZIN 2ML/1LITRE OF WATER","ODISHA","BHADRAK","TIHIDI                                            ","2014-11-09 18:12:50.417"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ROOT ROT","RIDOMIL MZ 2.5GM/1LITRE OF WATER","ODISHA","BHADRAK","BASUDEVPUR                                        ","2014-11-09 20:48:05.030"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","RECOMMENDED FOR SPRAY FOSALIAN 200ML/ 200 LIT WATER ACRE FOR CONTROL OF BPH IN PADDY.","ODISHA","BHADRAK","BHADRAK                                           ","2014-11-10 11:03:29.060"
"RABI","HORTICULTURE","Flowers","Chrysanthemum","Cultural Practices","GRAFTING OF KANEAR","CONTACT AHO OF YOUR BLOCK","ODISHA","BHADRAK","DHAMANAGAR                                        ","2014-11-11 14:01:27.300"
"RABI","AGRICULTURE","Others","Others","Government Schemes","REGARDING SIM ACTIVATION","CONTACT 59059","ODISHA","BHADRAK","BASUDEVPUR                                        ","2014-11-11 14:41:22.763"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","LEAF EATING CATERPILLAR","CHLOROPYRIPHOS 2ML/1LITRE OF WATER","ODISHA","BHADRAK","BASUDEVPUR                                        ","2014-11-11 16:41:54.010"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF CATTER PILLAR IN PADDY","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CATTER PILLAR IN PADDY.","ODISHA","BHADRAK","CHANDABALI                                        ","2014-11-11 17:07:25.600"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GUNDHI BUG","DDVP 1ML/1LITRE OF WATER","ODISHA","BHADRAK","CHANDABALI                                        ","2014-11-11 17:51:51.473"
