"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Cultural Practices","FRUIT DROPS IN COCOCONUT","RECOMMENDED FOR APPLY UREA-500GM, DAP-700GM, MOP-600GM AND COWDUNG 6 BASKET GIVEN.FOR CONTROL OF FRUIT DROPS IN COCONUT","ODISHA","JAJAPUR","BARI                                              ","2014-11-01 10:52:08.610"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FOR BETTER GROWTH AND YIELD IN BRINJAL","RECOMMENDED FOR SPRAY MULTI-K 7.5 GM / LIT WATER FOR CONTROL OF FOR BETTER GROWTH AND YIELD IN BRINJAL.","ODISHA","JAJAPUR","BARI                                              ","2014-11-03 10:31:57.130"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","VARIETIES","TARINI,UTKAL.","ODISHA","JAJAPUR","JAJPUR                                            ","2014-11-03 14:24:19.900"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Cultural Practices","REGARDING DETAILS CULTIVATION","CONTACT AHO OF YOUR BLOCK","ODISHA","JAJAPUR","JAJPUR                                            ","2014-11-04 19:08:13.043"
"RABI","HORTICULTURE","Vegetables","Watermelon","Cultural Practices","WATER MELON CULTIVATION","DETAIL PACKAGE OF PRACTICE EXPLAINED  ABOUT WATER MELON CULTIVATION.","ODISHA","JAJAPUR","JAJPUR                                            ","2014-11-05 14:23:41.460"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","LEAF CURL IN BITTERGOURD","RECOMMENDED FOR SPRAY ACEPHETE 1GM/ LIT WATER FOR CONTROL OF LEAF CURL IN BITTERGOURD.","ODISHA","JAJAPUR","DASARATHAPUR                                      ","2014-11-05 19:58:02.653"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","LEAF CATTERPILLAR IN COCOCUNT","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CATTER PILLAR IN COCONUT.","ODISHA","JAJAPUR","JAJPUR                                            ","2014-11-05 20:21:36.880"
"RABI","HORTICULTURE","Vegetables","Mushroom","Cultural Practices","MUSHROOM CULTIVATION","DETAIL PACKAGE OF PRACTICE EXPLAINED IN MUSHROOM CULTIVATION.","ODISHA","JAJAPUR","DANAGADI                                          ","2014-11-05 20:30:17.910"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","LEAF CURL IN BRINJAL","RECOMMENDED FOR SPRAY TRIZOPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CURL IN BRINJAL.","ODISHA","JAJAPUR","DASARATHAPUR                                      ","2014-11-05 21:31:28.987"
"RABI","AGRICULTURE","Others","Others","Soil Testing","SOIL TREATMENT","APPLY BLEACHING POWDER 12KG/ACRE","ODISHA","JAJAPUR","KOREI                                             ","2014-11-06 18:30:58.580"
"RABI","HORTICULTURE","Vegetables","Tomato","Cultural Practices","DETAILS PROCEDURE OF CULTIVATION","CONTACT AHO OF YOUR BLOCK","ODISHA","JAJAPUR","DASARATHAPUR                                      ","2014-11-06 21:26:40.790"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","POWDERY MILDEW IN PADDY","RECOMMENDED FOR SPRAY SULPHUR 2GM/ LIT WATER FOR CONTROL OF POWDERY MILDEW IN PADDY.","ODISHA","JAJAPUR","BADCHANA                                          ","2014-11-07 07:10:47.510"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","LEAF CATTER PILLAR IN ECULEPTOUS","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CATTER PILLAR IN ECULAPTOUS .","ODISHA","JAJAPUR","JAJPUR                                            ","2014-11-07 12:38:29.387"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GUNDHI BUG","MALATHEON 2ML/1LITRE OF WATER","ODISHA","JAJAPUR","BINJHARPUR                                        ","2014-11-07 17:54:21.823"
