"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Leaf folder in paddy","Recommended for  Leaf folder in paddy    Spray chlorpyriphos 2 ml /litre of water","PUDUCHERRY","KARAIKAL","Kottucherry","2014-12-02 20:41:53.880"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","green leaf hopper in paddy","recommended for imidachlopride 2ml/lit of water","PUDUCHERRY","KARAIKAL","Nedungadu","2014-12-04 21:38:51.477"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","top dressing for paddy","recommended for ammonium sulphate 30kg/ac","PUDUCHERRY","KARAIKAL","Nedungadu","2014-12-09 11:29:45.950"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Paddy thrips","Recommended for Spray monocrotophos 2 ml/liter of water","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-12-09 15:44:53.703"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Tillering stage fertilizer management for paddy","Recommended for apply ammonium sulphate 30 kg + potash 20 kg + neem cake 5 kg +Micro food 5kg/ ac","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-12-14 11:05:23.453"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","sugarcane fertilizer management","Recommended for apply magnesium sulphate 5 kg / ac","PUDUCHERRY","KARAIKAL","Kottucherry","2014-12-20 19:30:14.370"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown Plant hopper in paddy","Recommended for Brown Plant hopper in paddy Spray imidaclopride 2 ml/lit","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-12-23 10:24:38.767"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","Recommended for apply DAP 50 kg + zinc sulphate 10kg /ac","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-12-23 14:44:10.300"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown plant hopper in paddy","recommended for spray imidacloprid 1ml/ lit.","PUDUCHERRY","KARAIKAL","Thirunallar","2014-12-24 13:40:47.313"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","recommended for profenophos 2 ml+ neem oil oil 3ml/ litre of water.","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-12-27 08:27:14.160"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast in karaikal","recommended for the forecast ;today rain","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-12-27 18:51:16.700"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report karaikal","Recommended for Weather report karaikal today have rain","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-12-28 12:39:05.227"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast in karaikkal","recommended for the forecast ;today rain","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-12-29 15:40:41.523"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","Recommended for spray chlorpyrifos 2ml / lit","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-12-31 10:45:52.130"
