"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","kvk contact number","recommended to contact 04147-250001,250002","PUDUCHERRY","PUDUCHERRY","Puducherry","2014-12-01 17:37:00.713"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Rice earhead bug","recommended for spray Malathion 2ml/lit of water","PUDUCHERRY","PUDUCHERRY","OZHUKARAI                                         ","2014-12-02 12:00:45.407"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy fertilizer management","Recommended for apply micro mixture 5kg / ac","PUDUCHERRY","PUDUCHERRY","Puducherry","2014-12-03 12:01:25.047"
"KHARIF","AGRICULTURE","Millets","FingerMillet  (Ragi/Mandika)","	Plant Protection	","Ragi sowing season and variety","Recommended for Ragi sowing season : September - October and variety : Paiyur 1, CO 13, CO (Ra) 14","PUDUCHERRY","PUDUCHERRY","VILLIANUR                                         ","2014-12-04 19:35:11.497"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","Recommended for spray quinalphos 2ml + neem oil 3ml + teepol 1ml / lit of water","PUDUCHERRY","PUDUCHERRY","VILLIANUR                                         ","2014-12-05 16:25:49.767"
"RABI","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Fertilizer management for banana","Recommended for apply urea 150gm+superphosphate 200gm+potash 200gm /plant","PUDUCHERRY","PUDUCHERRY","VILLIANUR                                         ","2014-12-07 21:22:10.883"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy foliar application details","Recommended for spray urea 100gm + super phosphate 200gm + potash 100gm / tank","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM                                       ","2014-12-08 12:26:42.253"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","paddy varieties","Recommended for paddy varietiesADT 36, ADT 39, ASD 16, ASD 18, ADT 43, ADT (R) 45, MDU 5, CO 47,CORH 3, ADT 43, ADT (R) 45","PUDUCHERRY","PUDUCHERRY","Puducherry","2014-12-08 16:35:54.357"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blb in paddy","recommended for spray bacteriomycin 18 g/ acre.","PUDUCHERRY","PUDUCHERRY","VILLIANUR                                         ","2014-12-09 15:46:37.327"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","Paddy market rate","Recommended for Paddy market rate rs 1341-1440	/quintal","PUDUCHERRY","PUDUCHERRY","VILLIANUR                                         ","2014-12-09 16:10:24.727"
