"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","INFORMATION REGARDING FOR THE SUITABLE EARLY VARIETIES OF WHEAT(KANAK)?","THE SUITABLE EARLY VARIETIES OF WHEAT(KANAK):-WH-1105(2014),PBW-660(2014),HD-2967,PBW-621,DBW-17,PBW-502,WH-542,PWD-291,PDW-233,TL-2908,HD-2733,WH-711, & BERBET.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-01 08:04:08.080"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","Seeds and Planting Material","INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PEA(MATAR)?","THE SUITABLE VARIETIES OF PEA(MATAR)- EARLY VARIETIES- MATAR AGETA-6, ARKEL & MEDIUM VARIETIES- PUNJAB -89,MITHI PHALI.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-01 12:00:24.780"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","Fertilizer Use and Availability","INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF PEA(MATAR) SOWING?","THE FERT. DOSE AT THE TIME OF PEA(M) SOWING-F.Y.M.-300Q.,SSP-155KG,MOP-20KG & UREA-45KG  PER ACRE.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-01 12:02:24.723"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","INFORMATION REGARDING WEATHER FORECAST ?","WEATHER REPORT : TODAY THERE ARE NO CHANCES OF RAIN .","PUNJAB","PATHANKOT","PATHANKOT","2014-11-01 16:03:48.797"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","INFORMATION REGARDING WEATHER FORECAST ?","WEATHER REPORT : TODAY THERE ARE NO CHANCES OF RAIN .","PUNJAB","PATHANKOT","PATHANKOT","2014-11-01 16:05:20.540"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","INFORMATION REGARDING THE SUITABLE VARIETIES OF WHEAT FOR RUNNING SEASON?","SUITABLE VARIETIES OF WHEAT FOR RUNNING SEASON ARE-WH  1105, PBW-621, HD-2967, PBW-550, DBW-17, PBW-502, WH-542, PBW 660","PUNJAB","PATHANKOT","PATHANKOT","2014-11-02 09:13:45.720"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","information regarding weather ?","weather  is clear and no chances of rainfall today.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-02 17:40:16.253"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather?","Partly sunny and no chance of rainfall.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-03 08:45:04.817"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","""some clouds and no chances of rainfall .
""","PUNJAB","PATHANKOT","PATHANKOT","2014-11-04 15:38:26.137"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","NO CHANCE OF RAINFALL TODAY.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-05 15:59:31.417"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Information regarding weather ?","SOME CLOUDS AND CHANCES OF RAINFALL .","PUNJAB","PATHANKOT","PATHANKOT","2014-11-07 13:35:32.577"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","INFORMATION REGARDING FOR THE SEED RATE OF WHEAT IN ONE ACRE?","THE SEED RATE OF WHEAT IN ONE ACRE IS-40-45 KG.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-14 15:57:18.053"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","NO CHANCES OF RAINFALL TODAY .","PUNJAB","PATHANKOT","PATHANKOT","2014-11-15 08:58:40.163"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","INFORMATION REGARDING SEED RATE OF WHEAT /ACRE?","40 KG /ACRE IS SUFFICIENT FOR AN ACRE.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-21 10:32:48.767"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","INFORMATION REGARDING THE NEW VARIETIES OF WHEAT ?","THE NEW VARIETIES OF WHEAT ARE WH 1105 AND PBW 660.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-21 16:58:47.037"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","INFORMATION REGARDING FOR THE FERT.DOSE IN WHEAT AT THE TIME OF SOWING?","FERT.DOSE IN WHEAT AT THE TIME OF SOWING.-DAP-55KG,MOP-30KG,10 KG ZINC(21%) & UREA-20KG.","PUNJAB","PATHANKOT","PATHANKOT","2014-11-21 19:16:24.477"
