"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","INFORMATION REGARDING IMPROVED VARIETIES OF WHEAT CROP ?","A:  VARIETIES OF WHEAT :-WH 1105,HD-2967,PBW-621,DBW-17,PBW-550,PBW-502,PBW-343,PDW-291.","PUNJAB","RUPNAGAR","RUPNAGAR                                          ","2014-11-01 06:49:35.907"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","INFORMATION REGARDING VARIETIES OF WHEAT ?","WH-1105,HD-2967,PBW-621,DBW-17,PBW-550,PBW-502 .","PUNJAB","RUPNAGAR","RUPNAGAR                                          ","2014-11-01 09:23:08.003"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","INFORMATION REGARDING IMPROVED VARIETIES OF WHEAT?","IMPROVED VARIETIES OF WHEAT: HD 2967,WH 1105,PBW 621,DBW 17,PBW 550,PBW 502,","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-11-01 09:52:15.483"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","INFORMATION REGARDING IMPROVED VARIETIES OF WHEAT?","IMPROVED VARIETIES OF WHEAT: HD 2967,WH 1105,PBW 621,DBW 17,PBW 550,PBW 502,","PUNJAB","RUPNAGAR","RUPNAGAR                                          ","2014-11-01 10:58:47.640"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR WEATHER CONDITION ?","WEATHER IS CLEAR AND NO CHANCE OF RAINFALL.","PUNJAB","RUPNAGAR","RUPNAGAR                                          ","2014-11-01 11:13:09.757"
"RABI","AGRICULTURE","Fodder Crops","Barseem","	Plant Protection	","INFORMATION REGARDING FOR THE REGULAR GROWTH OF BARSEEM?","FOR THE REGULAR GROWTH OF BARSEEM,PLS APPLY 3KG SULPHUR+25KG UREA/ACRE.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-11-01 12:53:26.390"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","INFORMATION REGARDING FOR THE SUITABLE EARLY VARIETIES OF WHEAT(KANAK)?","THE SUITABLE EARLY VARIETIES OF WHEAT(KANAK):-WH-1105(2014),PBW-660(2014),HD-2967,PBW-621,DBW-17,PBW-502,WH-542,PWD-291,PDW-233,TL-2908,HD-2733,WH-711, & BERBET.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-11-01 18:51:47.700"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","INFORMATION REGARDING SOWING TIME OF HD-2967?","LAST WEEK OF OCTOBER TO LAST WEEK OF NOVEMBER.","PUNJAB","RUPNAGAR","NURPUR BEDI                                       ","2014-11-01 19:06:04.210"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Information regarding fertilizers dose at sowing time in Wheat?","Fertilizers dose at sowing time in wheat:- 55 Kg. DAP, 20 Kg. Potash and 20-25 Kg. Urea per acre.","PUNJAB","RUPNAGAR","ANANDPUR SAHIB                                    ","2014-11-02 08:15:11.067"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","INFORMATION REGARDING VARIETY OF WHEAT ?","INFORMATION REGARDING VARIETY OF WHEAT-WH-1105,HD -2967, PBW 621,DBW 17,PBW  550.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-11-02 09:16:03.823"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","INFORMATION REGARDING IMPROVED VARIETIES OF ONION ?","IMPROVED VARIETIES OF ONION : PRO-6,PUNJAB WHITE ,PUNJAB NAROYA .","PUNJAB","RUPNAGAR","ANANDPUR SAHIB                                    ","2014-11-02 09:19:06.693"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","information regarding the control of early shoot borer ?","apply 10kg cartap hydrochloride or regent mix in 20kg sand / acre .","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-11-02 09:22:53.740"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF WHEAT FOR RUNNING SEASON?","IMPROVED VARITIES OF WHEAT IS WH-1105, PBW-660,HD-2967,PBW-621,DBW-17PBW-550,PBW-502, PBW-343 .","PUNJAB","RUPNAGAR","RUPNAGAR                                          ","2014-11-02 10:16:02.967"
"RABI","HORTICULTURE","Vegetables","Leafy Vegetable","Seeds and Planting Material","INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF GARLIC(LASHAN) CROP?","THE SUITABLE VARIETIES OF GARLIC(LASHAN) CROP IS-:PG-17,YAMUNA SAFED-5.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-11-02 10:17:22.070"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR WEATHER ?","CLOUDY WEATHER BUT NO CHANCE OF RAINFALL  TODAY","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-11-02 10:49:10.783"
