"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","WEATHER IS NORAMAL  NO CHANCE OF RAIN FALL TODAY .","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BALACHAUR                                         ","2014-11-01 09:47:36.850"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR WEATHER CONDITION ?","WEATHER IS CLEAR AND NO CHANCE OF RAINFALL.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BALACHAUR                                         ","2014-11-01 09:49:48.607"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF RUST DISEASE ATTACK IN PEA CROP?","FOR THE CONTROL OF RUST DISEASE ATTACK IN PEA,SPRAY 500GM MENCOZEB(M-45) MIXED WITH 200LITRE WATER PER ACRE.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","SAROYA                                            ","2014-11-01 10:35:51.270"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF EARLY BLIGHT DISEASE IN POTATO(ALOO) CROP?","FOR THE CONTROL OF EARLY BLIGHT DISEASE IN POTATO(ALOO) CROP,SPRAY THE CROP WITH 500GM COPPER OXYCHLORIDE PER ACRE IN 200 LITRE OF WATER.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BALACHAUR                                         ","2014-11-01 13:54:44.830"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR WEATHER ?","WEATHER IS CLEAR NO CHANCES OF RAINFALL .","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","NAWANSHAHR                                        ","2014-11-01 15:17:58.280"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF WHEAT(KANAK) PER ACRE?","THE SUITABLE SEED RATE OF WHEAT(KANAK) PER ACRE IS-NORMAL VARIETIES:-FOR PBW-550-45 KG,.FOR WH-542-35 KG & FOR OTHER VARIETIES-40 KG.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","NAWANSHAHR                                        ","2014-11-01 15:25:41.870"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","INFORMTION REGARDING SUITABLE  VARIETIES OF WHEAT CROP ?","VARIETIES OF WHEAT : WH-1105,HD-2967,PBW-621,DBW-17,PBW-550,PBW-502,PBW-343,PDW-291.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","AUR                                               ","2014-11-01 16:31:59.960"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF  POTATO(ALOO) PLANTING?","THE FERT. DOSE AT THE TIME OF POTATO(ALOO) PLANTING-F.Y.M.-250Q.,SSP-155KG,MOP-40KG & UREA-165KG(AS TOP DRESSING-.3 TIME)  PER ACRE.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BANGA                                             ","2014-11-01 17:39:44.563"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF BRINJAL(BAINGAN)  FRUIT & SHOOT BORER?","FOR THE CONTROL OF BRINJAL(BAINGAN)  FRUIT & SHOOT BORER,PLS SPRAY 500ML PROFENOPHOSE+100ML DDVP OR 60ML CORAGEN(CHLORANTRANILIPROLE)IN 150 LITER OF WATER/ACRE.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","NAWANSHAHR                                        ","2014-11-02 08:11:53.103"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF POWDERY MILDEW DISEASE ATTACK IN PEA CROP?","SPRAY TO INDOPHIL M-45 @ 400 GM IN 200 LITER OF WATER / ACRE .","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","NAWANSHAHR                                        ","2014-11-02 08:17:09.890"
