"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL POSSIBILITY IN NEXT FIVE DAYS  BUT CLOUDY","RAJASTHAN","BARMER","SHEO                                              ","2014-11-01 06:45:39.967"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION","RAINFALL POSSIBILITY NEXT FIVE DAYS","RAJASTHAN","BARMER","BAYTOO                                            ","2014-11-01 07:17:24.923"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARMER","SINDHARI                                          ","2014-11-01 07:32:39.540"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRICT","MAY BE RAIN POSSIBILITY ON  1 NOV. IN YOUR DISTRIC","RAJASTHAN","BARMER","SHEO                                              ","2014-11-01 07:34:45.147"
"RABI","HORTICULTURE","Medicinal and Aromatic Plants","Indian Clover (Senji Sweet Clover)","Cultural Practices","TELL ME ABOUT VARIETIES OF ISABGOL","GI-8 ,RI-1 ARE VARIETIES OF ISABGOL","RAJASTHAN","BARMER","CHOHTAN                                           ","2014-11-01 07:37:52.893"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN FALL IN NEXT 5DAY","RAJASTHAN","BARMER","BARMER                                            ","2014-11-01 07:41:10.813"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","Seeds and Planting Material","TELL ME  CUMIN VARITY","CUMIN VARIETY= GC 4, RZ 209, RZ 19","RAJASTHAN","BARMER","BARMER                                            ","2014-11-01 07:41:59.023"
"RABI","AGRICULTURE","Fodder Crops","Guar","Market Information","TELL ME MANDI RATE OF GWAR","BARMER  GOWAR 5275 RS/QT","RAJASTHAN","BARMER","BARMER                                            ","2014-11-01 07:46:05.203"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","2 MM RAIN MAY BE ON 1 NOV.","RAJASTHAN","BARMER","BAYTOO                                            ","2014-11-01 07:58:22.920"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","RAIN POSSIBILITY IN NEXT 2-3 DAYS","RAJASTHAN","BARMER","SIWANA                                            ","2014-11-01 08:01:40.323"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","2 MM RAIN MAY BE ON 1 NOV.","RAJASTHAN","BARMER","DHORIMANNA                                        ","2014-11-01 08:06:57.077"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRICT","MAY BE RAIN POSSIBILITY ON  1,2 NOV. IN YOUR DISTRIC","RAJASTHAN","BARMER","BAYTOO                                            ","2014-11-01 08:12:53.740"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARMER","BARMER                                            ","2014-11-01 08:30:04.500"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRICT","MAY BE RAIN POSSIBILITY ON  1,2 NOV. IN YOUR DISTRIC","RAJASTHAN","BARMER","SIWANA                                            ","2014-11-01 08:35:51.797"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","LIGHT RAIN MAY BE NEXT 2-3 DAYS","RAJASTHAN","BARMER","CHOHTAN                                           ","2014-11-01 08:38:10.363"
"RABI","HORTICULTURE","Condiments and Spices","Cumin","Seeds and Planting Material","TELL ME CUMIN VARIETY ?","JEERA VARIETY - RZ 19, RZ 209, GC-4","RAJASTHAN","BARMER","CHOHTAN                                           ","2014-11-01 08:41:57.100"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARMER","SHEO                                              ","2014-11-01 08:42:58.273"
