"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","TELL ME WEED CONTROL OF WHEAT","ALL WEED CONTROL IN WHEAT CROPS SPRAY VISTA ( CLODINAPHOP 15 % + METASULFURANMETHYL 1%) 64 GM PAR HEC AFTER 30-35 DAYS","RAJASTHAN","BUNDI","NAINWA                                            ","2014-11-01 07:26:22.823"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","TELL ME STEM FLI CONTROL IN PEA","SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER","RAJASTHAN","BUNDI","HINDOLI                                           ","2014-11-01 08:10:33.353"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","TELL ME SUCKING PEST CONTROL IN CAULIFLOWER","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","BUNDI","NAINWA                                            ","2014-11-01 15:22:50.933"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","TELL ME WEED CONTROL OF GARLIC","SPRAY OF PENDIMETHILIN 30 EC 2.5 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION","RAJASTHAN","BUNDI","HINDOLI                                           ","2014-11-01 16:06:45.947"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME WEATHER INFORMETION IN MY DISTRICT","NO RAIN POSSIBILITY IN NEXT 4-5 DAYS","RAJASTHAN","BUNDI","TALERA                                            ","2014-11-01 18:41:22.883"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT","= KALYAN SONA,RAJ - 1482,LOK - 1,WH  - 147,RAJ - 3077,RAJ -6560,RAJ - 4120","RAJASTHAN","BUNDI","HINDOLI                                           ","2014-11-01 21:03:38.453"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","effected by termite","USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION","RAJASTHAN","BUNDI","KESHORAIPATAN                                     ","2014-11-01 21:06:58.873"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","TELL ME FLOWER DROPPING CONTROL  POMEGRANATE ?","TELL ME FLOWER DROPPING CONTROL  
SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","BUNDI","KESHORAIPATAN                                     ","2014-11-02 09:53:24.353"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","fungal disease control in tomato","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER","RAJASTHAN","BUNDI","NAINWA                                            ","2014-11-02 10:42:55.490"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Seeds and Planting Material","TELL ME CORIANDER VARIETY ?","CORIANDER VARIETY - RCR-41,436,684,480,C.S-6","RAJASTHAN","BUNDI","TALERA                                            ","2014-11-02 11:49:12.180"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN FALL NIXT 5 DAYS","RAJASTHAN","BUNDI","NAINWA                                            ","2014-11-02 13:33:35.233"
