"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","WEATHER REPORT OF WHEAT","VARIETY OF WHEAT= RAJ 4037, RAJ 3077, RAJ 3765, RAJ 1482, RAJ 4120 , PBW 343, PBW 550","RAJASTHAN","CHURU","CHURU                                             ","2014-11-01 06:54:50.733"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS,","RAJASTHAN","CHURU","RAJGARH                                           ","2014-11-01 07:05:40.500"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","NO RAIN POSSIBILITY IN NEXT 5 DAYS,BUT SKY CLOUDLY","RAJASTHAN","CHURU","RAJGARH                                           ","2014-11-01 08:01:35.410"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION","NO RAIN  NEXT 5 DAYS BUT CLOUDY SKY   FALL","RAJASTHAN","CHURU","TARANAGAR                                         ","2014-11-01 08:39:31.957"
"RABI","HORTICULTURE","Fruits","Ber","	Plant Protection	","tell me FRUIT CONTROL IN BER","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER FOR FLOWER DROP CONTROL","RAJASTHAN","CHURU","RAJGARH                                           ","2014-11-01 09:30:51.997"
"RABI","HORTICULTURE","Condiments and Spices","Fenugreek","	Plant Protection	","TELL ME WEEDICIDEIN METHI","SPRAY OF PENDIMETHILIN 2.5 LITER PER HA AFTER SOWING BEFORE GERMINATION","RAJASTHAN","CHURU","RAJGARH                                           ","2014-11-01 09:37:31.363"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","TELL ME  WHEAT VARIETY","WHEAT VARIETY - PBW-343,RAJ-3077,4037,3777,3765,4083,4120,4079,PBW-550,373,WH-1080","RAJASTHAN","CHURU","RAJGARH                                           ","2014-11-01 09:38:26.920"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL POSSIBILITY IN NEXT FIVE DAYS  BUT CLOUDY","RAJASTHAN","CHURU","CHURU                                             ","2014-11-01 09:47:58.247"
"RABI","HORTICULTURE","Fruits","Ber","	Plant Protection	","TELL ME FRUIT BORER IN BER","SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER","RAJASTHAN","CHURU","CHURU                                             ","2014-11-01 10:04:08.470"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","NO RAIN POSSIBILITY IN NEXT 5 DAYS,BUT SKY CLOUDLY","RAJASTHAN","CHURU","RAJGARH                                           ","2014-11-01 10:24:29.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","NO RAIN POSSIBILITY IN NEXT 5 DAYS,BUT SKY CLOUDLY","RAJASTHAN","CHURU","RAJGARH                                           ","2014-11-01 10:36:39.727"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","FUNGUS PROBLEM OF ONION","SPRAY MANCOZEB 75% WP 2 GM PER LITER WATER","RAJASTHAN","CHURU","RATANGARH                                         ","2014-11-01 10:37:36.467"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME VARIETY OF WHEAT","variety of wheat- raj.-4037,4120,3077,lock-1 |","RAJASTHAN","CHURU","SUJANGARH                                         ","2014-11-01 11:00:42.820"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","SPRAY OF    MICRONUTRIENT IN ANAR","SPRAY OF    MICRONUTRIENT   4 GM PER LITER WATER","RAJASTHAN","CHURU","TARANAGAR                                         ","2014-11-01 11:18:52.650"
"RABI","AGRICULTURE","Others","Others","Soil Testing","TELL ME SOIL TESTING INFO.","DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL","RAJASTHAN","CHURU","CHURU                                             ","2014-11-01 11:27:29.550"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","2 MM RAIN MAY BE ON 1 NOV.","RAJASTHAN","CHURU","RAJGARH                                           ","2014-11-01 11:31:06.703"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS, BUT SOME CLOUD POSSIBILITY","RAJASTHAN","CHURU","SUJANGARH                                         ","2014-11-01 11:47:33.727"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN CHURU","NO RAIN FALL POSSIBILITY IN NEXT 5 DAYS IN YOUR DIST","RAJASTHAN","CHURU","TARANAGAR                                         ","2014-11-01 12:17:56.670"
