"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRICT","NO RAINFALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","NAGAUR","MUNDWA                                            ","2014-11-01 06:23:40.660"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL POSSIBILITY IN NEXT FIVE DAYS  BUT CLOUDY","RAJASTHAN","NAGAUR","LADNU                                             ","2014-11-01 07:00:09.093"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION","RAINFALL POSSIBILITY NEXT FIVE DAYS","RAJASTHAN","NAGAUR","NAGAUR                                            ","2014-11-01 07:01:55.123"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN TODAY","RAJASTHAN","NAGAUR","NAGAUR                                            ","2014-11-01 07:21:41.370"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","2 MM RAIN MAY BE ON 1 NOV","RAJASTHAN","NAGAUR","MERTA                                             ","2014-11-01 07:37:02.690"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","RAIN POSSIBILITY IN NEXT 2-3 DAYS","RAJASTHAN","NAGAUR","JAYAL                                             ","2014-11-01 07:42:32.500"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","2 MM RAIN MAY BE ON 1 NOV.","RAJASTHAN","NAGAUR","NAGAUR                                            ","2014-11-01 07:46:26.843"
"RABI","AGRICULTURE","Others","Others","Government Schemes","TELL ME SUBSIDY IN WORMY COMPOST UNIT","SUBSIDY ON WORMY COMPOST UNIT 50% OF COST OR 50,000 RS MAXIMUM","RAJASTHAN","NAGAUR","DIDWANA                                           ","2014-11-01 07:53:12.560"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","TELL ME GROWTH IN BHINDI","SPRAY OF WATER  SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER","RAJASTHAN","NAGAUR","DEGANA                                            ","2014-11-01 08:05:30.953"
"RABI","AGRICULTURE","Others","Others","Varieties","TELL ME WEATHER INFORMATION","2 MM RAIN MAY BE ON 1 NOV.","RAJASTHAN","NAGAUR","DEGANA                                            ","2014-11-01 08:30:57.110"
"RABI","AGRICULTURE","Others","Others","Market Information","Tell me mandi rate of moong guar in medta","MEDTA CITY  GOWAR 5111 rs/qt , MEDTA CITY  MOTH 5300 rs/qt","RAJASTHAN","NAGAUR","MERTA                                             ","2014-11-01 08:46:51.460"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","RAINFALL POSSIBILITY NEXT 1-2 DAYS","RAJASTHAN","NAGAUR","NAGAUR                                            ","2014-11-01 08:50:44.503"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION","NO RAIN  NEXT 5 DAYS BUT CLOUDY SKY   FALL","RAJASTHAN","NAGAUR","MERTA                                             ","2014-11-01 08:55:34.220"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","NAGAUR","NAGAUR                                            ","2014-11-01 09:19:04.640"
