"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME VARIETY OF WHEAT","???? ?? ??????- ??????????-343,550,373,???-4037,3777,3765,4120,4079,????????-1080","RAJASTHAN","RAJSAMAND","RAILMAGRA                                         ","2014-11-02 09:26:34.977"
"RABI","AGRICULTURE","Others","Others","Government Schemes","TELL ME SIZE OF FARM POND MADE UNDER NHM","20 METER X 20 METER X 3 METER","RAJASTHAN","RAJSAMAND","KUMBHALGARH                                       ","2014-11-02 15:33:52.937"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Seeds and Planting Material","TELL ME VARIETY OF PEA ?","VARIETY OF PEA= KASHI SHAKTI","RAJASTHAN","RAJSAMAND","RAJSAMAND                                         ","2014-11-02 16:41:50.297"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN  NEXT 5 DAYS BUT CLOUDY SKY  FALL","RAJASTHAN","RAJSAMAND","BHIM                                              ","2014-11-02 16:51:32.993"
"RABI","AGRICULTURE","Cereals","Wheat","Government Schemes","TELL ME ABOUT REPAY OF AG. LOAN TAKE FROM LAND DEVELOPMENT BANK","PLZ CONTACT AT LAND DEVELOPMENT BANK FROM WHERE TAKE AG. LOAN","RAJASTHAN","RAJSAMAND","KUMBHALGARH                                       ","2014-11-02 18:40:27.017"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","Varieties","TELL ME VARIETY OF BARLEY ?","BARLEY VARIETY - RD2052,RD31,RD103,BL2,RD2503,2508,2035,2552,2624,2660","RAJASTHAN","RAJSAMAND","RAJSAMAND                                         ","2014-11-03 11:09:58.553"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","TELL ME DISEASE CONTROL OF PEA","SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER","RAJASTHAN","RAJSAMAND","KHAMNOR                                           ","2014-11-03 12:57:10.773"
"RABI","AGRICULTURE","Others","Others","Government Schemes","TELL ME WEATHER INFORMATION","NO RAINFALL IN NEXT 5 DAYS IN YOUR DISTRICT","RAJASTHAN","RAJSAMAND","RAJSAMAND                                         ","2014-11-03 14:26:58.737"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","TELL ME VARIETY OF BENGAL GRAM","GRAM VARIETY - GNG-663,469,C235,G130,H208,RSG-44,2,888,895,973,807,963,902,945,GNG- 1581","RAJASTHAN","RAJSAMAND","BHIM                                              ","2014-11-03 16:22:50.670"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","RAJSAMAND","RAILMAGRA                                         ","2014-11-04 07:58:47.550"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Seeds and Planting Material","TELL ME VARIETY OF CORIANDER","RAINFED VARIETY OF CORIANDER= CS-6","RAJASTHAN","RAJSAMAND","BHIM                                              ","2014-11-04 08:10:01.883"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","NEMATOD CONTROL IN VEGETABLE","USE CARBOFURAN 3% G 25-30 KG PER HA","RAJASTHAN","RAJSAMAND","BHIM                                              ","2014-11-04 11:16:02.777"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate of cotton","BEAWAR  KAPAS AMERICAN 4350 / qu.","RAJASTHAN","RAJSAMAND","BHIM                                              ","2014-11-04 13:29:18.733"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME WHEAT VARIETY FOR UDAIPUR DIVISON","RAJ-4037, RAJ-4120, PBW-343","RAJASTHAN","RAJSAMAND","RAJSAMAND                                         ","2014-11-04 16:11:11.490"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME NOT OPAN FRUIT IN COTTON","DROPALTRA 50 GRAM/BIGHA","RAJASTHAN","RAJSAMAND","RAILMAGRA                                         ","2014-11-04 20:47:28.277"
"RABI","AGRICULTURE","Others","Others","Government Schemes","TELL ME INFO ABOUT BEEKEEPING","CONTACT YOUR NEAREST KVK","RAJASTHAN","RAJSAMAND","BHIM                                              ","2014-11-05 12:09:51.193"
"RABI","AGRICULTURE","Others","Others","Varieties","TELL ME WEATHER INFORMATION","NO RAINFALL IN NEXT 5 DAYS","RAJASTHAN","RAJSAMAND","KHAMNOR                                           ","2014-11-05 14:06:24.747"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME VARIETY OF WHEAT","VARIETY OF WHEAT -WH 1080","RAJASTHAN","RAJSAMAND","BHIM                                              ","2014-11-06 07:54:56.233"
"RABI","AGRICULTURE","Others","Others","Soil Testing","TELL ME SOIL TESTING INFO .","GO TO  YOUR DISTRICT LEVEL SOIL TESTING LABORATORY FOR SOIL TESTING ?","RAJASTHAN","RAJSAMAND","RAJSAMAND                                         ","2014-11-06 09:50:16.050"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME NUTRIENTS DEFICIENCY IN BAIL","SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER","RAJASTHAN","RAJSAMAND","RAILMAGRA                                         ","2014-11-06 10:17:20.650"
"RABI","AGRICULTURE","Fodder Crops","Guar","Market Information","TELL ME MARKET RATE OF GUAR ?","UDAIPUR  GOWAR 5120 RS/QT","RAJASTHAN","RAJSAMAND","AMET                                              ","2014-11-07 16:16:45.090"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","TELL ME CONTROL OF FLOWER DROPOING IN BRINJAL ?","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","RAJSAMAND","RAJSAMAND                                         ","2014-11-08 13:07:22.423"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER FORECASTING","NOT RAINFALL NEXT FIVE DAYS","RAJASTHAN","RAJSAMAND","DEOGARH                                           ","2014-11-08 20:35:33.170"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","Varieties","TELL ME VARIETY OF BARLEY","VARIETY OF BARLEY = RD -2052,RD -31,RD -2508,RD -2503,RD -2035,RD -2624,RD -2660,RD -2715","RAJASTHAN","RAJSAMAND","DEOGARH                                           ","2014-11-09 14:27:02.713"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","TELL ME ABOUT DISEASE CONTROL IN OKRA","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","RAJASTHAN","RAJSAMAND","AMET                                              ","2014-11-09 14:37:40.140"
"RABI","HORTICULTURE","Fruits","Citrus","Cultural Practices","TELL ME PLANTING TIME OF LEMON","JULY AUGUST PLANTING TIME OF LEMON","RAJASTHAN","RAJSAMAND","DEOGARH                                           ","2014-11-10 06:31:21.777"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME WHEAT VARIETY ?","WHEAT VARIETY - PBW-343,RAJ-3077,4037,3777,3765,4083,4120,4079,PBW-550,373,WH-1080","RAJASTHAN","RAJSAMAND","DEOGARH                                           ","2014-11-10 09:40:37.920"
"RABI","HORTICULTURE","Fruits","Lemon","	Plant Protection	","TELL ME DAI BACK DISEASE CONTROL IN LEMON","COPPEROXICLORIDE 3 GRAM/LITER SPRAY","RAJASTHAN","RAJSAMAND","AMET                                              ","2014-11-10 14:50:50.343"
"KHARIF","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME VARITIES OF WHEAT","RAJ-4037,3077,3765,LOK-01,VARITIES OF WHEAT","RAJASTHAN","RAJSAMAND","BHIM                                              ","2014-11-11 11:39:03.740"
"RABI","AGRICULTURE","Others","Others","Government Schemes","TELL ME SUBCIDICE ON GREEN HOUSE","50% SUBCIDICE ON GREEN HOUSE","RAJASTHAN","RAJSAMAND","KHAMNOR                                           ","2014-11-12 14:51:24.330"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS,","RAJASTHAN","RAJSAMAND","KUMBHALGARH                                       ","2014-11-13 11:16:50.750"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","TEL ME SUBSIDY ON GREEN HOUSE","50% SUBSIDY ON GREEN HOUSE","RAJASTHAN","RAJSAMAND","RAILMAGRA                                         ","2014-11-13 11:57:14.987"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","tell me thrips in brinjal","SPRAY OF QUINOLPHOS 25% EC 2 ML PER LITER WATER","RAJASTHAN","RAJSAMAND","DEOGARH                                           ","2014-11-13 12:21:06.693"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TELL ME LEAF CURUL CONTROL IN CHILLIES","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","RAJASTHAN","RAJSAMAND","DEOGARH                                           ","2014-11-13 15:52:56.287"
