"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME VARIETY OF WHEAT","variety of wheat- raj.-4037,4120,3077,lock-1 |","RAJASTHAN","TONK","TONK                                              ","2014-11-01 09:32:56.463"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","Varieties","TELL ME BARLEY VARIETY ?","BARLEY VARIETY - RD2052,RD31,RD103,BL2,RD2503,2508,2035,2552,2624,2660","RAJASTHAN","TONK","TONK                                              ","2014-11-01 09:42:28.790"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","WHEAT VARIETY","WHEAT VARIETY - PBW-343,RAJ-3077,4037,3777,3765,4083,4120,4079,PBW-550,373,WH-1080","RAJASTHAN","TONK","TONK                                              ","2014-11-01 10:05:01.400"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","TELL ME CONTROL OF SAW FLY IN MUSTARD ?","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","RAJASTHAN","TONK","TODARAISINGH                                      ","2014-11-01 10:20:32.763"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","tell me variety of wheat","WHEAT VARIETY - PBW-343,RAJ-3077,4037,3777,3765,4083,4120,4079,PBW-550,373,WH-1080","RAJASTHAN","TONK","NEWAI                                             ","2014-11-01 11:25:08.180"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","TELL ME ABOUT PEST AND DISEASE IN TOMATO","SPRAY OF COC 45 GRAM +PROPHANOPHOS 30 ML /15 LITER WATER IN TOMATO","RAJASTHAN","TONK","MALPURA                                           ","2014-11-01 12:45:21.297"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","tell me insect control in mustard ?","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","RAJASTHAN","TONK","DEOLI                                             ","2014-11-01 14:01:50.037"
"RABI","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","TELL ME WEATHER REPORT","NO RAINFALL NEXT FIVE DAYS","RAJASTHAN","TONK","TODARAISINGH                                      ","2014-11-01 15:53:53.990"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","TONK","NEWAI                                             ","2014-11-01 16:02:46.847"
"RABI","AGRICULTURE","Others","Others","Market Information","cotton rate in kakri mandi","not available","RAJASTHAN","TONK","TONK                                              ","2014-11-01 16:41:17.410"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","yellow leaf in papaya and thrip attack","asiphat + mankojab 75 sp  2 gram /par liter","RAJASTHAN","TONK","NEWAI                                             ","2014-11-01 17:53:11.447"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","TELL ME CONTROL OF PAINTED BUG IN MUSTERD","MITHYAL PARATHION 2%WP 20KG PER ha.","RAJASTHAN","TONK","DEOLI                                             ","2014-11-01 18:46:51.387"
"RABI","HORTICULTURE","Condiments and Spices","Fenugreek","Cultural Practices","TELL ME SEED RATE OF FENUGREEK","CARBANDAJIM 2 GRAM/KG SEED","RAJASTHAN","TONK","MALPURA                                           ","2014-11-01 20:13:53.177"
"RABI","AGRICULTURE","Fodder Crops","Lucerne (Alfalfa)","	Plant Protection	","TELL ME CONTROL OF TERMITE IN RIJKA ?","USE  Fipronil 0.3% GR 12-15 KG PER HA","RAJASTHAN","TONK","NEWAI                                             ","2014-11-02 07:48:57.557"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","TELL ME SEED TREATMEAT OF GRAM","seed treatment in gram CARBENDAZIM  2 GM PER kg seed + incecticide choloropyrios 20 ec 8 ml per kg seed + rizobium 3 packet (600 gram ) 400 gram gud 500 ml water hot mix, seed treat
""","RAJASTHAN","TONK","MALPURA                                           ","2014-11-02 07:54:11.247"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","CUT WORM CONTROL IN MUSTARD","APPLY METHYL PARATHION 2 % 20 KG PER HECTARE MIXING WITH 50 KG DUST","RAJASTHAN","TONK","NEWAI                                             ","2014-11-02 07:57:38.593"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME VARIETY OF WHEAT","VARIETY OF WHEAT= RAJ 4037, RAJ 3077, RAJ 3765, RAJ 1482, RAJ 4120 , PBW 343, PBW 550","RAJASTHAN","TONK","TONK                                              ","2014-11-02 08:15:53.717"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","TELL ME FLOWER DROPPING CONTROL IN  GUAVA","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER FOR FLOWER DROP CONTROL","RAJASTHAN","TONK","DEOLI                                             ","2014-11-02 08:59:22.540"
