"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","Surajpur","BHAIYATHAN","2014-11-02 13:22:22.843"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","how to control insect in chilli ?","use emmamectin benjoate","CHHATTISGARH","Surajpur","PRATAPPUR","2014-11-03 10:32:32.010"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ???? ??? ?? ??? ???? ??, ?? ??? ?? ????? ??? ?? ???? ?????? ??? ???????? ?? ? ???? ?????? ??? ??????? ?? ????? ??? ??? ???? ???? ???? ?","????????????? 20 ??????? 2500 ??.??. ?? ?????????????? 80 ??????? 600 ??.??.","CHHATTISGARH","Surajpur","PREMNAGAR","2014-11-04 08:28:10.553"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","how to control weeds ?","Pre-emergence spray of herbicide Fluchloralin 700 ml in 500 lit/ha.  Thinning is done 30 days after sowing. Subsequent weeding is done as and when necessary.","CHHATTISGARH","Surajpur","RAMANUJNAGAR","2014-11-04 15:14:59.630"
"RABI","HORTICULTURE","Vegetables","Mushroom","	Plant Protection	","mushroom seed production ?","conntact to igkv , raipur  kvk , training centre","CHHATTISGARH","Surajpur","BHAIYATHAN","2014-11-05 18:27:51.220"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Farmer want to information about Fungal attack in paddy crop ?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of watr.","CHHATTISGARH","Surajpur","PRATAPPUR","2014-11-06 08:05:18.860"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","which fertilizer and nutrient give for better growth in PADDY crop?","Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","CHHATTISGARH","Surajpur","BHAIYATHAN","2014-11-06 11:12:13.057"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","weeds control in pea ?","apply metribuzin @ 250 gram / acre","CHHATTISGARH","Surajpur","RAMANUJNAGAR","2014-11-06 17:26:29.413"
"KHARIF","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","How to control white fly in potato crop?","Spray of imidaclorprid 17.8%SL 5 to 6 ml per pump.","CHHATTISGARH","Surajpur","SURAJPUR","2014-11-08 10:27:27.720"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","farmer want to know information about Seed treatment in  crop.","Use bavastim 3 gm per kg of seed","CHHATTISGARH","Surajpur","SURAJPUR","2014-11-08 11:09:27.843"
