"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","brinjal foliar application details","Recommended for brinjal foliar spray for 19:19:19 50 gm/tank","TAMILNADU","ARIYALUR","T. PALUR                                          ","2014-11-01 07:19:01.503"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","thrips in paddy","Recommended for spray Imidacloprid 2ml / lit","TAMILNADU","ARIYALUR","T. PALUR                                          ","2014-11-01 08:48:23.370"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","rhinocerous beetle in coconut.","Recommended for Root feeding Monocrotophos 10ml + water 10ml / tree","TAMILNADU","ARIYALUR","JAYAMKONDAM                                       ","2014-11-01 16:03:19.710"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","cotton foliar application details","Recommendd for spray TNAU cotton plus 2.5kg / 200 lit / ac","TAMILNADU","ARIYALUR","ARIYALUR                                          ","2014-11-01 17:15:29.660"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","Cotton flower dropping","recommended for Spray cotton plus 2.5kg/ac mix apsha 80 100ml/ac","TAMILNADU","ARIYALUR","ARIYALUR                                          ","2014-11-01 17:37:11.373"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy thrips","recommended for spray imidachloprid 1ml/ lit.","TAMILNADU","ARIYALUR","THIRUMANUR                                        ","2014-11-01 17:41:50.483"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana fertilizer management","Recommended for apply 150 gm urea + 200 gm super phosphate + 200 gm potash /plant","TAMILNADU","ARIYALUR","JAYAMKONDAM                                       ","2014-11-01 20:22:56.813"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Market Information","maize season","recommended for january- febraury.","TAMILNADU","ARIYALUR","SENDURAI                                          ","2014-11-02 07:50:49.620"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Market Information","maize market rate","Recommended for maize market rate : 1200 - 1320 Rs./Quintal","TAMILNADU","ARIYALUR","ANDIMADAM                                         ","2014-11-02 09:49:24.327"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","aphids in cotton","recommended for spray imidachloprid 1 ml/ lit.","TAMILNADU","ARIYALUR","T. PALUR                                          ","2014-11-02 11:55:17.197"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Cultural Practices","bitter gourd sowing season","Recommended for bitter gourd sowing season : January","TAMILNADU","ARIYALUR","T. PALUR                                          ","2014-11-02 12:11:06.317"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","bitter gourd leaf virus","recommended for Spray methyl dematon 2ml/lit","TAMILNADU","ARIYALUR","T. PALUR                                          ","2014-11-02 12:25:06.903"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","weeds control in paddy","Recommended for apply butachlor 500gm + sand 20 kg / ac on 3rd after sowing","TAMILNADU","ARIYALUR","SENDURAI                                          ","2014-11-02 12:45:03.583"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","ARIYALUR","SENDURAI                                          ","2014-11-02 13:30:18.777"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","block level agri department contact number","recommended for the contact number; 04331253624","TAMILNADU","ARIYALUR","ARIYALUR                                          ","2014-11-02 14:25:02.390"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","early shoot borer in maize","Recommended for spray chlorpyrifos 2ml/lit of water","TAMILNADU","ARIYALUR","ARIYALUR                                          ","2014-11-02 15:00:43.213"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","Top dressing fertilizer management for sugarcane","recommended for apply urea 80 + potash 25kg /ac","TAMILNADU","ARIYALUR","JAYAMKONDAM                                       ","2014-11-02 15:41:02.083"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","ARIYALUR","JAYAMKONDAM                                       ","2014-11-02 15:52:59.713"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","ARIYALUR","ARIYALUR                                          ","2014-11-02 15:56:21.077"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","asking about mushroom training details","Recommended for TNAU Mushroom dept. contact no. 0422 - 6611336","TAMILNADU","ARIYALUR","SENDURAI                                          ","2014-11-02 18:04:27.390"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","sugarcane top dressing fertilizer management","Recommended for apply urea 80 kg + potash 25 kg / ac","TAMILNADU","ARIYALUR","SENDURAI                                          ","2014-11-02 20:17:19.440"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","Recommended for spray chlorpyrifos 2ml+neem oil +teepol 1ml/lit of water","TAMILNADU","ARIYALUR","ANDIMADAM                                         ","2014-11-03 07:21:26.167"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top fertilizer management","recommended for apply urea 25 kilo + potash 15 kilo + neem cake 5 kilo / acre","TAMILNADU","ARIYALUR","THIRUMANUR                                        ","2014-11-03 08:12:27.210"
"KHARIF","HORTICULTURE","Flowers","Jasmine","Seeds and Planting Material","asking about marikolunthu seeds availability details","Recommended TNAU Medicinal Dept. contact no. 0422 - 6611365","TAMILNADU","ARIYALUR","JAYAMKONDAM                                       ","2014-11-03 08:24:45.747"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","paddy sowing season and variety","Recommended for paddy sowing season : December - January and variety : ADT (R) 49 ADT 36, ASD 16, ASD 18, MDU 5, CO 47, ADT 43, ADT 45, CORH 3","TAMILNADU","ARIYALUR","JAYAMKONDAM                                       ","2014-11-03 10:18:19.350"
"KHARIF","HORTICULTURE","Fruits","Banana","Field Preparation","banana seedlings availability","recommended for contact to Krishi Vigyan Kendra, Sirugamani - Phone:0431-2614417 Mobile:9042074442","TAMILNADU","ARIYALUR","SENDURAI                                          ","2014-11-03 10:21:27.643"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton aphids","Recommended for spray methyl demeton 2.5ml+ neem oil 3ml+ teepol 1ml/lit of water","TAMILNADU","ARIYALUR","ARIYALUR                                          ","2014-11-03 14:17:01.903"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report for ariyalur","recommended as chances for raining","TAMILNADU","ARIYALUR","ARIYALUR                                          ","2014-11-03 15:06:26.233"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","recommended for today is  a rainy day","TAMILNADU","ARIYALUR","T. PALUR                                          ","2014-11-03 15:18:27.303"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy stem borer","recommended for spray cartap haidrochloride 2 g/ lit.","TAMILNADU","ARIYALUR","SENDURAI                                          ","2014-11-03 15:40:56.290"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","khaira disease in paddy","recommended for spray zinch sulphate 500gm/acre","TAMILNADU","ARIYALUR","JAYAMKONDAM                                       ","2014-11-03 16:44:14.457"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy basal fertilizer management","Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac","TAMILNADU","ARIYALUR","THIRUMANUR                                        ","2014-11-03 18:15:36.973"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","ARIYALUR","SENDURAI                                          ","2014-11-03 18:38:24.507"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Cotton aphid","recommended for spray Imidacloprid 2ml/lit of water","TAMILNADU","ARIYALUR","ARIYALUR                                          ","2014-11-03 19:14:24.960"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy Gall midge:","recommended for spray Chlorpyriphos 20% EC 2 ml /  1 litre of water","TAMILNADU","ARIYALUR","THIRUMANUR                                        ","2014-11-04 06:24:47.563"
