"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Jamun","Cultural Practices","Jamun fertilizer management","Recommended for apply fym 2kg/tree","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-02 16:53:56.560"
"RABI","AGRICULTURE","Others","Others","Weather","Chennai weather report","recommended for today is a  rainy day","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-03 21:43:49.717"
"KHARIF","HORTICULTURE","Vegetables","Beans ","Nutrient Management","beans flower drop","recommended for spray planofix 5ml/10 lit of water","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-05 08:48:10.630"
"RABI","HORTICULTURE","Vegetables","Lab Lab","	Plant Protection	","cotton leaf feeder","Recommended for lab lab  leaf feeder spray chlorpyrifos 2ml+neem oil +teepol 1ml/lit of water","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-05 16:03:12.673"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","contact to agriculture training centre","Recommended for contact to agriculture training centre number 044-2626348","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-07 10:36:28.657"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Agriculture Mechanization","Coconut inter cropping","Groundnut, sesamum, sunflower, tapioca, turmeric and banana","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-07 19:05:07.207"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Asking about medicinal plant growers contact number","Recommended for contact to this number; 9363176018, 9442147400","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-07 20:27:30.347"
"RABI","AGRICULTURE","Others","Others","Seeds","contact to kvk dept","Recommended for contact to kvk dept number 04567-230250","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-08 18:01:33.317"
"RABI","HORTICULTURE","Fruits","Citrus","Field Preparation","spacing for citrus","recommended citrus spacing 5-6 M","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-08 20:33:38.863"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-09 07:37:12.427"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","coconut fertilizer management","Recommended for apply FYM 10kg / tree","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-10 13:26:28.740"
"RABI","HORTICULTURE","Fruits","Mango","Government Schemes","Drip irrigation details","Recommended for Explain & contact ADH officer:04175 - 233337","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-11 14:12:32.570"
"KHARIF","AGRICULTURE","Others","Others","Seeds","forestry department no of thiruvannamalai","recommended number for forestry department 04175-254018","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-12 06:40:38.360"
"RABI","AGRICULTURE","Others","Others","Government Schemes","asking about kisan credit card details","Recommended contact to nationalized bank","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-13 16:08:24.370"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","kvk no of kancheepuram","recommended number for kancheepuram kvk is 044-27452371","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-16 14:16:40.510"
"RABI","AGRICULTURE","Others","Others","Seeds","contact to agriculture dept","Recommended for contact to agriculture dept number 044-26263484","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-16 15:56:42.700"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","Recommended for spray quinalphos 2ml + neem oil 3ml + teepol 1ml / lit of water","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-17 11:31:39.273"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Bio-Pesticides and Bio-Fertilizers","Button shedding in coconut","Recommended for root feeding with TNAU coconut tonic 200 ml / tree","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-11-18 10:21:51.043"
