"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Citrus","Nutrient Management","citru fertilizer management","Recommended for apply 200 gm urea + 100gm super phosphate + 100gm potash /ac","TAMILNADU","COIMBATORE","AVANASHI                                          ","2014-11-01 07:37:22.367"
"KHARIF","HORTICULTURE","Vegetables","Leafy Vegetable","	Plant Protection	","caterpillar in greens","recommended for spray neem oil 3ml+ teepol 1ml/lit of water","TAMILNADU","COIMBATORE","THONDAMUTHUR                                      ","2014-11-01 08:52:13.507"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in coimbatore","have no rain in coimbatore","TAMILNADU","COIMBATORE","AVANASHI                                          ","2014-11-01 11:12:01.807"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Anthracnose in cotton","recommended for spray carbendasim 2 g/ lit.","TAMILNADU","COIMBATORE","SULTANPET                                         ","2014-11-01 15:04:53.363"
"KHARIF","HORTICULTURE","Vegetables","Radish","Cultural Practices","radish season","recommended for september","TAMILNADU","COIMBATORE","POLLACHI NORTH                                    ","2014-11-01 15:30:27.850"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","fertilizer management for coconut","Recommedned for apply 1.300 kg urea + 2 kg superphosphate + 2 kg potash + 5 kg neem cake + 50 kg FYM + 1 kg micro nutrient /tree /year on two split","TAMILNADU","COIMBATORE","POLLACHI NORTH                                    ","2014-11-01 15:53:27.373"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","copra market rate","recommended as Rs 9265-9705/quintal.","TAMILNADU","COIMBATORE","ANAMALAI                                          ","2014-11-01 16:38:44.570"
"KHARIF","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","Cowpea foliar nutrient application","recommended for Spray DAP 20 gram /liter","TAMILNADU","COIMBATORE","KINATHUKADAVU                                     ","2014-11-01 17:05:05.957"
"KHARIF","HORTICULTURE","Vegetables","Cowpea (Vegetable)","Fertilizer Use and Availability","Cowpea foliar nutrient application","recommended for Spray DAP 20 gram /liter","TAMILNADU","COIMBATORE","KINATHUKADAVU                                     ","2014-11-01 17:06:08.510"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","cotton foliar application details","Recommended for spray TNAU cotton plus 2.5kg / 200 lit / ac","TAMILNADU","COIMBATORE","KARAMADAI                                         ","2014-11-01 17:07:23.080"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Market Information","market rate for groundnut","Recommended for market rate for groundnut Rs 3500-4500/quintal","TAMILNADU","COIMBATORE","POLLACHI NORTH                                    ","2014-11-01 17:37:42.460"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","coconut fertilizer management","Recommended for apply urea 1.300kg + super phosphate 2kg + pottash 2 kg + neem cake 5kg + farm yard manure 50kg + micro mixture 1kg /tree/year","TAMILNADU","COIMBATORE","ANAMALAI                                          ","2014-11-01 17:55:45.163"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Onion Thrips control details","Recommended for spray Fipronil 5 % SC 2 ml/lit of water","TAMILNADU","COIMBATORE","KARAMADAI                                         ","2014-11-01 18:24:20.160"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Market Information","market rate for chilli","Recommended for market rate for chilli Rs 20.00-21.00/kg","TAMILNADU","COIMBATORE","SULTANPET                                         ","2014-11-01 18:33:49.960"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","Turmeric leaf spot","Recommended for spray carbandazim 2 gm /liter of water","TAMILNADU","COIMBATORE","AVANASHI                                          ","2014-11-01 18:36:58.003"
"KHARIF","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Cultural Practices","varieties for sorghum","Recommended for varieties for sorghum Sept. – Oct.","TAMILNADU","COIMBATORE","TIRUPPUR                                          ","2014-11-01 19:16:57.367"
"KHARIF","AGRICULTURE","Others","Others","Weather","Ciombatore weather report","recommended for today is a  rainy day","TAMILNADU","COIMBATORE","SULTANPET                                         ","2014-11-01 19:42:34.573"
